vendor,product,version,location,cve_number,severity,score,source,cvss_version,cvss_vector,paths,remarks,comments
ffmpeg,ffmpeg,5.1.4,NotFound,CVE-2023-6601,UNKNOWN,unknown,NVD,unknown,unknown,,NewFound,
ffmpeg,ffmpeg,5.1.4,NotFound,CVE-2023-6602,MEDIUM,5.3,NVD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N,,NewFound,
ffmpeg,ffmpeg,5.1.4,NotFound,CVE-2023-6603,HIGH,7.5,NVD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,,NewFound,
ffmpeg,ffmpeg,5.1.4,NotFound,CVE-2023-6604,UNKNOWN,unknown,NVD,unknown,unknown,,NewFound,
ffmpeg,ffmpeg,5.1.4,NotFound,CVE-2023-6605,UNKNOWN,unknown,NVD,unknown,unknown,,NewFound,
ffmpeg,ffmpeg,5.1.4,NotFound,CVE-2024-31578,UNKNOWN,unknown,NVD,unknown,unknown,,NewFound,
ffmpeg,ffmpeg,5.1.4,NotFound,CVE-2024-31585,UNKNOWN,unknown,NVD,unknown,unknown,,NewFound,
ffmpeg,ffmpeg,5.1.4,NotFound,CVE-2024-36617,UNKNOWN,unknown,NVD,unknown,unknown,,NewFound,
ffmpeg,ffmpeg,5.1.4,NotFound,CVE-2024-7055,HIGH,8.8,NVD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,,NewFound,
ffmpeg,ffmpeg,5.1.4,NotFound,CVE-2024-7272,HIGH,8.8,NVD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,,NewFound,
ffmpeg,ffmpeg,5.1.4,NotFound,CVE-2025-1373,MEDIUM,5.5,NVD,3,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,,NewFound,
ffmpeg,ffmpeg,5.1.4,NotFound,CVE-2025-1594,HIGH,8.8,NVD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,,NewFound,
ffmpeg,ffmpeg,5.1.6,NotFound,CVE-2023-6601,UNKNOWN,unknown,NVD,unknown,unknown,,NewFound,
ffmpeg,ffmpeg,5.1.6,NotFound,CVE-2023-6602,MEDIUM,5.3,NVD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N,,NewFound,
ffmpeg,ffmpeg,5.1.6,NotFound,CVE-2023-6603,HIGH,7.5,NVD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,,NewFound,
ffmpeg,ffmpeg,5.1.6,NotFound,CVE-2023-6604,UNKNOWN,unknown,NVD,unknown,unknown,,NewFound,
ffmpeg,ffmpeg,5.1.6,NotFound,CVE-2023-6605,UNKNOWN,unknown,NVD,unknown,unknown,,NewFound,
ffmpeg,ffmpeg,5.1.6,NotFound,CVE-2024-31578,UNKNOWN,unknown,NVD,unknown,unknown,,NewFound,
ffmpeg,ffmpeg,5.1.6,NotFound,CVE-2024-31585,UNKNOWN,unknown,NVD,unknown,unknown,,NewFound,
ffmpeg,ffmpeg,5.1.6,NotFound,CVE-2024-36617,UNKNOWN,unknown,NVD,unknown,unknown,,NewFound,
ffmpeg,ffmpeg,5.1.6,NotFound,CVE-2025-1373,MEDIUM,5.5,NVD,3,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,,NewFound,
ffmpeg,ffmpeg,5.1.6,NotFound,CVE-2025-1594,HIGH,8.8,NVD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,,NewFound,
unknown,markdown,3.10.2,NotFound,CVE-2023-42821,HIGH,7.5,NVD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,,NewFound,
unknown,markdown,3.10.2,NotFound,GMS-2020-366,UNKNOWN,unknown,GAD,unknown,unknown,,NewFound,
unknown,pip,24.0,/home/jason/SBOM EVal and Validation/sbomCVE/sbom_env/bin/pip,CVE-2025-8869,MEDIUM,6.5,GAD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:N/I:H/A:N,,NewFound,
unknown,pip,24.0,/home/jason/SBOM EVal and Validation/sbomCVE/sbom_env/bin/pip,CVE-2026-1703,LOW,3.5,GAD,3,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:U/C:N/I:L/A:N,,NewFound,
pypa,pip,24.0,/home/jason/SBOM EVal and Validation/sbomCVE/sbom_env/bin/pip,CVE-2018-20225,HIGH,7.8,NVD,3,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,,NewFound,
unknown,protobuf,4.25.1,NotFound,CVE-2025-4565,MEDIUM,5.3,GAD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L,,NewFound,
unknown,protobuf,4.25.1,NotFound,CVE-2026-0994,HIGH,8.6,GAD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:N/I:N/A:H,,NewFound,
google,protobuf,4.25.1,NotFound,CVE-2024-7254,HIGH,7.5,GAD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,,NewFound,
