vendor,product,version,location,cve_number,severity,score,source,cvss_version,cvss_vector,paths,remarks,comments
unknown,y18n,4.0.0,NotFound,CVE-2020-7774,CRITICAL,9.8,NVD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,,NewFound,
y18n_project,y18n,4.0.0,NotFound,CVE-2020-7774,CRITICAL,9.8,NVD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,,NewFound,
unknown,semver,7.0.0,NotFound,CVE-2022-25883,MEDIUM,5.3,GAD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L,,NewFound,
npmjs,semver,7.0.0,NotFound,CVE-2022-25883,MEDIUM,5.3,GAD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L,,NewFound,
unknown,braces,2.3.2,NotFound,CVE-2024-4068,UNKNOWN,unknown,NVD,unknown,unknown,,NewFound,
jonschlinkert,braces,2.3.2,NotFound,CVE-2024-4068,UNKNOWN,unknown,NVD,unknown,unknown,,NewFound,
unknown,json5,2.1.3,NotFound,CVE-2022-46175,HIGH,8.8,NVD,3,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,,NewFound,
json5,json5,2.1.3,NotFound,CVE-2022-46175,HIGH,8.8,NVD,3,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,,NewFound,
unknown,ansi-regex,3.0.0,NotFound,CVE-2021-3807,HIGH,7.5,NVD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,,NewFound,
ansi-regex_project,ansi-regex,3.0.0,NotFound,CVE-2021-3807,HIGH,7.5,NVD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,,NewFound,
unknown,minimatch,3.0.4,NotFound,CVE-2022-3517,HIGH,7.5,NVD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,,NewFound,
unknown,minimatch,3.0.4,NotFound,CVE-2026-26996,HIGH,7.5,GAD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,,NewFound,
unknown,minimatch,3.0.4,NotFound,CVE-2026-27903,HIGH,7.5,GAD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,,NewFound,
unknown,minimatch,3.0.4,NotFound,CVE-2026-27904,HIGH,7.5,GAD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,,NewFound,
minimatch_project,minimatch,3.0.4,NotFound,CVE-2022-3517,HIGH,7.5,NVD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,,NewFound,
unknown,decode-uri-component,0.2.0,NotFound,CVE-2022-38778,MEDIUM,6.5,NVD,3,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,,NewFound,
unknown,decode-uri-component,0.2.0,NotFound,CVE-2022-38900,HIGH,7.5,NVD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,,NewFound,
decode-uri-component_project,decode-uri-component,0.2.0,NotFound,CVE-2022-38778,MEDIUM,6.5,NVD,3,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,,NewFound,
decode-uri-component_project,decode-uri-component,0.2.0,NotFound,CVE-2022-38900,HIGH,7.5,NVD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,,NewFound,
unknown,ajv,6.10.2,NotFound,CVE-2025-69873,LOW,2.9,GAD,3,CVSS:3.1/AV:L/AC:H/PR:N/UI:N/S:U/C:N/I:N/A:L,,NewFound,
unknown,semver,5.7.1,NotFound,CVE-2022-25883,MEDIUM,5.3,GAD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L,,NewFound,
npmjs,semver,5.7.1,NotFound,CVE-2022-25883,MEDIUM,5.3,GAD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L,,NewFound,
unknown,minimist,1.2.5,NotFound,CVE-2021-44906,CRITICAL,9.8,NVD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,,NewFound,
substack,minimist,1.2.5,NotFound,CVE-2021-44906,CRITICAL,9.8,NVD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,,NewFound,
unknown,ansi-regex,4.1.0,NotFound,CVE-2021-3807,HIGH,7.5,NVD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,,NewFound,
ansi-regex_project,ansi-regex,4.1.0,NotFound,CVE-2021-3807,HIGH,7.5,NVD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,,NewFound,
unknown,form-data,3.0.0,NotFound,CVE-2025-7783,HIGH,8.7,GAD,3,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:C/C:H/I:H/A:N,,NewFound,
unknown,word-wrap,1.2.3,NotFound,CVE-2023-26115,HIGH,7.5,NVD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,,NewFound,
word-wrap_project,word-wrap,1.2.3,NotFound,CVE-2023-26115,HIGH,7.5,NVD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,,NewFound,
unknown,eslint,6.8.0,NotFound,CVE-2025-50537,MEDIUM,5.5,GAD,3,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:H,,NewFound,
unknown,diff,3.5.0,/usr/bin/diff,CVE-2026-24001,MEDIUM,5.3,GAD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L,,NewFound,
unknown,base,0.11.2,NotFound,CVE-2017-1000217,HIGH,8.8,GAD,3,CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,,NewFound,
unknown,base,0.11.2,NotFound,CVE-2020-5230,HIGH,7.5,NVD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N,,NewFound,
unknown,braces,3.0.2,NotFound,CVE-2024-4068,UNKNOWN,unknown,NVD,unknown,unknown,,NewFound,
jonschlinkert,braces,3.0.2,NotFound,CVE-2024-4068,UNKNOWN,unknown,NVD,unknown,unknown,,NewFound,
