vendor,product,version,location,cve_number,severity,score,source,cvss_version,cvss_vector,paths,remarks,comments
oracle,mysql,^2.14.1,NotFound,CVE-2018-0735,MEDIUM,5.9,NVD,3,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:N/A:N,,NewFound,
oracle,mysql,^2.14.1,NotFound,CVE-2018-3061,MEDIUM,4.9,NVD,3,CVSS:3.0/AV:N/AC:L/PR:H/UI:N/S:U/C:N/I:N/A:H,,NewFound,
oracle,mysql,^2.14.1,NotFound,CVE-2018-3071,MEDIUM,4.9,NVD,3,CVSS:3.0/AV:N/AC:L/PR:H/UI:N/S:U/C:N/I:N/A:H,,NewFound,
oracle,mysql,^2.14.1,NotFound,CVE-2019-2731,MEDIUM,5.4,NVD,3,CVSS:3.0/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:L/A:L,,NewFound,
oracle,mysql,^2.14.1,NotFound,CVE-2019-7317,MEDIUM,5.3,NVD,3,CVSS:3.1/AV:N/AC:H/PR:N/UI:R/S:U/C:N/I:N/A:H,,NewFound,
oracle,mysql,^2.14.1,NotFound,CVE-2020-14760,HIGH,7.5,NVD,2,AV:N/AC:L/Au:S/C:N/I:P/A:C,,NewFound,
oracle,mysql,^2.14.1,NotFound,CVE-2020-14814,MEDIUM,6.8,NVD,2,AV:N/AC:L/Au:S/C:N/I:N/A:C,,NewFound,
oracle,mysql,^2.14.1,NotFound,CVE-2020-14830,MEDIUM,6.8,NVD,2,AV:N/AC:L/Au:S/C:N/I:N/A:C,,NewFound,
oracle,mysql,^2.14.1,NotFound,CVE-2020-14837,MEDIUM,6.8,NVD,2,AV:N/AC:L/Au:S/C:N/I:N/A:C,,NewFound,
oracle,mysql,^2.14.1,NotFound,CVE-2020-14839,MEDIUM,6.8,NVD,2,AV:N/AC:L/Au:S/C:N/I:N/A:C,,NewFound,
oracle,mysql,^2.14.1,NotFound,CVE-2020-14845,MEDIUM,6.8,NVD,2,AV:N/AC:L/Au:S/C:N/I:N/A:C,,NewFound,
oracle,mysql,^2.14.1,NotFound,CVE-2020-14846,MEDIUM,6.8,NVD,2,AV:N/AC:L/Au:S/C:N/I:N/A:C,,NewFound,
