vendor,product,version,location,cve_number,severity,score,source,cvss_version,cvss_vector,paths,remarks,comments
unknown,base64,0.3.0,/usr/bin/base64,CVE-2017-1000430,CRITICAL,9.8,NVD,3,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,,NewFound,
unknown,i18n,1.14.8,/usr/share/i18n,CVE-2020-7791,HIGH,7.5,NVD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,,NewFound,
i18n_project,i18n,1.14.8,/usr/share/i18n,CVE-2020-7791,HIGH,7.5,NVD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,,NewFound,
unknown,json,2.19.1,/usr/lib/python3.12/json,CVE-2020-7712,HIGH,7.2,NVD,3,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H,,NewFound,
unknown,json,2.19.1,/usr/lib/python3.12/json,CVE-2022-45688,HIGH,7.5,NVD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,,NewFound,
unknown,json,2.19.1,/usr/lib/python3.12/json,CVE-2022-45689,HIGH,7.5,NVD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,,NewFound,
unknown,json,2.19.1,/usr/lib/python3.12/json,CVE-2022-45690,HIGH,7.5,NVD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,,NewFound,
unknown,json,2.19.1,/usr/lib/python3.12/json,CVE-2023-5072,HIGH,7.5,GAD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,,NewFound,
unknown,json,2.19.1,/usr/lib/python3.12/json,GHSA-rm7j-f5g5-27vv,HIGH,7.5,GAD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,,NewFound,
unknown,json,2.19.1,/usr/lib/python3.12/json,GMS-2023-1111,UNKNOWN,unknown,GAD,unknown,unknown,,NewFound,
unknown,json,2.19.1,/usr/lib/python3.12/json,GMS-2023-1112,UNKNOWN,unknown,GAD,unknown,unknown,,NewFound,
joyent,json,2.19.1,/usr/lib/python3.12/json,CVE-2020-7712,HIGH,7.2,NVD,3,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H,,NewFound,
unknown,mcp,0.8.0,/home/jason/SBOM EVal and Validation/sbomCVE/sbom_env/bin/mcp,CVE-2025-53365,HIGH,7.5,GAD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,,NewFound,
unknown,mcp,0.8.0,/home/jason/SBOM EVal and Validation/sbomCVE/sbom_env/bin/mcp,CVE-2025-53366,HIGH,7.5,GAD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,,NewFound,
unknown,mcp,0.8.0,/home/jason/SBOM EVal and Validation/sbomCVE/sbom_env/bin/mcp,CVE-2025-66416,HIGH,8.1,REDHAT,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:N,,NewFound,
