vendor,product,version,location,cve_number,severity,score,source,cvss_version,cvss_vector,paths,remarks,comments
unknown,arrow,1.4.0,/home/jason/SBOM EVal and Validation/sbomCVE/sbom_env/lib/python3.12/site-packages/arrow,GHSA-h588-76vg-prgj,UNKNOWN,unknown,GAD,unknown,unknown,,NewFound,
unknown,arrow,1.4.0,/home/jason/SBOM EVal and Validation/sbomCVE/sbom_env/lib/python3.12/site-packages/arrow,GHSA-qgrp-8f3v-q85p,UNKNOWN,unknown,GAD,unknown,unknown,,NewFound,
unknown,arrow,1.4.0,/home/jason/SBOM EVal and Validation/sbomCVE/sbom_env/lib/python3.12/site-packages/arrow,GHSA-r7cj-wmwv-hfw5,UNKNOWN,unknown,GAD,unknown,unknown,,NewFound,
babeljs,babel,2.18.0,NotFound,CVE-2023-45133,HIGH,8.8,NVD,3,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H,,NewFound,
unknown,bleach,6.3.0,NotFound,CVE-2014-8881,UNKNOWN,unknown,GAD,unknown,unknown,,NewFound,
unknown,bleach,6.3.0,NotFound,GMS-2020-707,UNKNOWN,unknown,GAD,unknown,unknown,,NewFound,
nim-lang,docutils,0.21.2,NotFound,CVE-2022-23602,HIGH,8.1,NVD,3,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:N,,NewFound,
unknown,json5,0.13.0,NotFound,CVE-2022-46175,HIGH,8.8,NVD,3,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,,NewFound,
json5,json5,0.13.0,NotFound,CVE-2022-46175,HIGH,8.8,NVD,3,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,,NewFound,
unknown,jsonpointer,3.1.0,/home/jason/SBOM EVal and Validation/sbomCVE/sbom_env/bin/jsonpointer,CVE-2021-23807,CRITICAL,9.8,NVD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,,NewFound,
janl,jsonpointer,3.1.0,/home/jason/SBOM EVal and Validation/sbomCVE/sbom_env/bin/jsonpointer,CVE-2021-23807,CRITICAL,9.8,NVD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,,NewFound,
cloudmagic,newton,1.2.0.dev0,NotFound,CVE-2019-12365,MEDIUM,6.1,NVD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,,NewFound,
unknown,pip,24.0,/home/jason/SBOM EVal and Validation/sbomCVE/sbom_env/bin/pip,CVE-2025-8869,MEDIUM,6.5,GAD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:N/I:H/A:N,,NewFound,
unknown,pip,24.0,/home/jason/SBOM EVal and Validation/sbomCVE/sbom_env/bin/pip,CVE-2026-1703,LOW,3.5,GAD,3,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:U/C:N/I:L/A:N,,NewFound,
pypa,pip,24.0,/home/jason/SBOM EVal and Validation/sbomCVE/sbom_env/bin/pip,CVE-2018-20225,HIGH,7.8,NVD,3,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,,NewFound,
samwilson,tabulate,0.10.0,NotFound,CVE-2024-13223,UNKNOWN,unknown,NVD,unknown,unknown,,NewFound,
triton_project,triton,3.6.0,NotFound,CVE-2023-30859,CRITICAL,9.8,NVD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,,NewFound,
facebook,zstandard,0.25.0,/home/jason/SBOM EVal and Validation/sbomCVE/sbom_env/lib/python3.12/site-packages/zstandard,CVE-2019-11922,HIGH,8.1,NVD,3,CVSS:3.0/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:H,,NewFound,
facebook,zstandard,0.25.0,/home/jason/SBOM EVal and Validation/sbomCVE/sbom_env/lib/python3.12/site-packages/zstandard,CVE-2021-24031,MEDIUM,5.5,NVD,3,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N,,NewFound,
