vendor,product,version,location,cve_number,severity,score,source,cvss_version,cvss_vector,paths,remarks,comments
unknown,tornado,2.1.1,NotFound,CVE-2012-2374,HIGH,7.5,GAD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N,,NewFound,
unknown,tornado,2.1.1,NotFound,CVE-2014-9720,MEDIUM,6.5,NVD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:N/A:N,,NewFound,
unknown,tornado,2.1.1,NotFound,CVE-2023-28370,MEDIUM,6.1,GAD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,,NewFound,
unknown,tornado,2.1.1,NotFound,CVE-2024-52804,HIGH,7.5,GAD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,,NewFound,
unknown,tornado,2.1.1,NotFound,CVE-2025-47287,UNKNOWN,unknown,NVD,unknown,unknown,,NewFound,
unknown,tornado,2.1.1,NotFound,GHSA-753j-mpmx-qq6g,MEDIUM,5.3,GAD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:N,,NewFound,
unknown,tornado,2.1.1,NotFound,GHSA-w235-7p84-xx57,MEDIUM,6.5,GAD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:L/A:N,,NewFound,
unknown,tornado,2.1.1,NotFound,GMS-2023-1908,UNKNOWN,unknown,GAD,unknown,unknown,,NewFound,
tornadoweb,tornado,2.1.1,NotFound,CVE-2014-9720,MEDIUM,6.5,NVD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:N/A:N,,NewFound,
tornadoweb,tornado,2.1.1,NotFound,CVE-2023-28370,MEDIUM,6.1,GAD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,,NewFound,
docmosis,tornado,2.1.1,NotFound,CVE-2023-25264,HIGH,7.5,NVD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,,NewFound,
docmosis,tornado,2.1.1,NotFound,CVE-2023-25265,HIGH,7.5,NVD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,,NewFound,
docmosis,tornado,2.1.1,NotFound,CVE-2023-25266,HIGH,8.8,NVD,3,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,,NewFound,
docmosis,tornado,2.1.1,NotFound,CVE-2024-42733,UNKNOWN,unknown,NVD,unknown,unknown,,NewFound,
