vendor,product,version,location,cve_number,severity,score,source,cvss_version,cvss_vector,paths,remarks,comments
unknown,aiohttp,>= 3.11.8,/home/jason/SBOM EVal and Validation/sbomCVE/sbom_env/lib/python3.12/site-packages/aiohttp,CVE-2025-53643,HIGH,7.5,GAD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N,,NewFound,
unknown,aiohttp,>= 3.11.8,/home/jason/SBOM EVal and Validation/sbomCVE/sbom_env/lib/python3.12/site-packages/aiohttp,CVE-2025-69223,HIGH,7.5,GAD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,,NewFound,
unknown,aiohttp,>= 3.11.8,/home/jason/SBOM EVal and Validation/sbomCVE/sbom_env/lib/python3.12/site-packages/aiohttp,CVE-2025-69224,MEDIUM,5.3,GAD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:N,,NewFound,
unknown,aiohttp,>= 3.11.8,/home/jason/SBOM EVal and Validation/sbomCVE/sbom_env/lib/python3.12/site-packages/aiohttp,CVE-2025-69225,MEDIUM,5.3,GAD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:N,,NewFound,
unknown,aiohttp,>= 3.11.8,/home/jason/SBOM EVal and Validation/sbomCVE/sbom_env/lib/python3.12/site-packages/aiohttp,CVE-2025-69226,MEDIUM,5.3,GAD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N,,NewFound,
unknown,aiohttp,>= 3.11.8,/home/jason/SBOM EVal and Validation/sbomCVE/sbom_env/lib/python3.12/site-packages/aiohttp,CVE-2025-69227,HIGH,7.5,GAD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,,NewFound,
unknown,aiohttp,>= 3.11.8,/home/jason/SBOM EVal and Validation/sbomCVE/sbom_env/lib/python3.12/site-packages/aiohttp,CVE-2025-69228,HIGH,7.5,GAD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,,NewFound,
unknown,aiohttp,>= 3.11.8,/home/jason/SBOM EVal and Validation/sbomCVE/sbom_env/lib/python3.12/site-packages/aiohttp,CVE-2025-69229,HIGH,7.5,GAD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,,NewFound,
unknown,aiohttp,>= 3.11.8,/home/jason/SBOM EVal and Validation/sbomCVE/sbom_env/lib/python3.12/site-packages/aiohttp,CVE-2025-69230,MEDIUM,6.5,GAD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:L,,NewFound,
aiohttp,aiohttp,>= 3.11.8,/home/jason/SBOM EVal and Validation/sbomCVE/sbom_env/lib/python3.12/site-packages/aiohttp,CVE-2025-53643,HIGH,7.5,GAD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N,,NewFound,
unknown,transformers,>= 4.50.3,NotFound,CVE-2025-3262,HIGH,7.5,GAD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,,NewFound,
unknown,transformers,>= 4.50.3,NotFound,CVE-2025-3263,UNKNOWN,unknown,NVD,unknown,unknown,,NewFound,
unknown,transformers,>= 4.50.3,NotFound,CVE-2025-3264,UNKNOWN,unknown,NVD,unknown,unknown,,NewFound,
unknown,transformers,>= 4.50.3,NotFound,CVE-2025-3777,UNKNOWN,unknown,NVD,unknown,unknown,,NewFound,
unknown,transformers,>= 4.50.3,NotFound,CVE-2025-3933,MEDIUM,5.3,NVD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L,,NewFound,
unknown,transformers,>= 4.50.3,NotFound,CVE-2025-5197,UNKNOWN,unknown,NVD,unknown,unknown,,NewFound,
unknown,transformers,>= 4.50.3,NotFound,CVE-2025-6051,MEDIUM,5.3,GAD,3,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L,,NewFound,
unknown,transformers,>= 4.50.3,NotFound,CVE-2025-6638,MEDIUM,5.3,GAD,3,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L,,NewFound,
unknown,transformers,>= 4.50.3,NotFound,CVE-2025-6921,MEDIUM,5.3,GAD,3,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L,,NewFound,
huggingface,transformers,>= 4.50.3,NotFound,CVE-2025-3262,HIGH,7.5,GAD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,,NewFound,
huggingface,transformers,>= 4.50.3,NotFound,CVE-2025-3263,UNKNOWN,unknown,NVD,unknown,unknown,,NewFound,
huggingface,transformers,>= 4.50.3,NotFound,CVE-2025-3264,UNKNOWN,unknown,NVD,unknown,unknown,,NewFound,
huggingface,transformers,>= 4.50.3,NotFound,CVE-2025-3777,UNKNOWN,unknown,NVD,unknown,unknown,,NewFound,
huggingface,transformers,>= 4.50.3,NotFound,CVE-2025-3933,MEDIUM,5.3,NVD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L,,NewFound,
