vendor,product,version,location,cve_number,severity,score,source,cvss_version,cvss_vector,paths,remarks,comments
unknown,sharp,0.34.5,NotFound,CVE-2025-61457,MEDIUM,6.1,GAD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,,NewFound,
unknown,sharp,0.34.5,NotFound,CVE-2025-62798,MEDIUM,5.4,GAD,3,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:C/C:L/I:L/A:N,,NewFound,
events_project,events,3.3.0,NotFound,CVE-2018-25076,CRITICAL,9.8,NVD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,,NewFound,
unknown,langsmith,0.4.12,NotFound,CVE-2026-25528,MEDIUM,5.8,GAD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:L/I:N/A:N,,NewFound,
unknown,cookie,0.7.2,NotFound,CVE-2017-18589,HIGH,7.5,NVD,3,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,,NewFound,
cookie_project,cookie,0.7.2,NotFound,CVE-2017-18589,HIGH,7.5,NVD,3,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,,NewFound,
dset_project,dset,3.1.4,NotFound,CVE-2022-25645,HIGH,8.1,NVD,3,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:H,,NewFound,
unknown,ajv,8.17.1,NotFound,CVE-2025-69873,LOW,2.9,GAD,3,CVSS:3.1/AV:L/AC:H/PR:N/UI:N/S:U/C:N/I:N/A:L,,NewFound,
unknown,process,0.11.10,NotFound,CVE-2024-51736,NONE,unknown,GAD,3,CVSS:3.1/AV:L/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:N,,NewFound,
unknown,process,0.11.10,NotFound,CVE-2026-24739,MEDIUM,6.3,GAD,3,CVSS:3.1/AV:L/AC:H/PR:N/UI:R/S:U/C:N/I:H/A:H,,NewFound,
unknown,process,0.11.10,NotFound,GMS-2023-164,UNKNOWN,unknown,GAD,unknown,unknown,,NewFound,
discourse,ai,5.0.128,NotFound,CVE-2024-23654,HIGH,7.2,NVD,3,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H,,NewFound,
unknown,lodash-es,4.17.21,NotFound,CVE-2025-13465,HIGH,8.2,REDHAT,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:H,,NewFound,
unknown,fresh,0.5.2,NotFound,GMS-2017-232,UNKNOWN,unknown,GAD,unknown,unknown,,NewFound,
unknown,hono,4.11.7,NotFound,CVE-2020-27217,HIGH,7.5,NVD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,,NewFound,
unknown,hono,4.11.7,NotFound,GHSA-gq3j-xvxp-8hrf,LOW,3.7,GAD,3,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:L/I:N/A:N,,NewFound,
unknown,prismjs,1.27.0,NotFound,CVE-2024-53382,MEDIUM,4.9,GAD,3,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:C/C:L/I:L/A:N,,NewFound,
latchset,jose,5.10.0,NotFound,CVE-2023-50967,UNKNOWN,unknown,NVD,unknown,unknown,,NewFound,
latchset,jose,6.1.3,NotFound,CVE-2023-50967,UNKNOWN,unknown,NVD,unknown,unknown,,NewFound,
unknown,validator,13.15.26,NotFound,CVE-2025-15104,MEDIUM,5.3,GAD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N,,NewFound,
unknown,cors,2.8.6,NotFound,CVE-2023-49803,HIGH,7.5,NVD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N,,NewFound,
unknown,langsmith,0.3.87,NotFound,CVE-2026-25528,MEDIUM,5.8,GAD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:L/I:N/A:N,,NewFound,
unknown,next,15.5.12,NotFound,CVE-2025-59472,MEDIUM,5.9,GAD,3,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:N/A:H,,NewFound,
unknown,qs,6.14.1,NotFound,CVE-2026-2391,LOW,3.7,GAD,3,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:N/A:L,,NewFound,
unknown,brace-expansion,1.1.12,NotFound,CVE-2026-25547,HIGH,7.5,GAD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,,NewFound,
unknown,brace-expansion,1.1.12,NotFound,GHSA-7h2j-956f-4vf2,HIGH,8.6,GAD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:N/I:N/A:H,,NewFound,
unknown,next,15.5.13,NotFound,CVE-2025-59472,MEDIUM,5.9,GAD,3,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:N/A:H,,NewFound,
unknown,diff,7.0.0,/usr/bin/diff,CVE-2026-24001,MEDIUM,5.3,GAD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L,,NewFound,
unknown,tar,7.4.3,/usr/bin/tar,CVE-2026-23745,MEDIUM,6.1,GAD,3,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:L/A:N,,NewFound,
unknown,tar,7.4.3,/usr/bin/tar,CVE-2026-23950,HIGH,8.8,GAD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:H/A:L,,NewFound,
unknown,tar,7.4.3,/usr/bin/tar,CVE-2026-24842,HIGH,8.2,REDHAT,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:H/I:L/A:N,,NewFound,
unknown,tar,7.4.3,/usr/bin/tar,CVE-2026-26960,HIGH,7.1,GAD,3,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:N,,NewFound,
unknown,better-call,1.0.9,NotFound,GHSA-hq75-xg7r-rx6c,MEDIUM,6.5,GAD,3,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N,,NewFound,
unknown,better-auth,1.2.8,NotFound,CVE-2025-53535,MEDIUM,4.3,GAD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:L/I:N/A:N,,NewFound,
unknown,better-auth,1.2.8,NotFound,CVE-2025-61928,HIGH,8.6,GAD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:L/A:L,,NewFound,
