vendor,product,version,location,cve_number,severity,score,source,cvss_version,cvss_vector,paths,remarks,comments
unknown,keras,>= 3.7,NotFound,CVE-2024-55459,MEDIUM,6.5,GAD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:N/I:H/A:N,,NewFound,
unknown,keras,>= 3.7,NotFound,CVE-2025-12058,UNKNOWN,unknown,GAD,unknown,unknown,,NewFound,
unknown,keras,>= 3.7,NotFound,CVE-2025-12060,CRITICAL,9.8,GAD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,,NewFound,
unknown,keras,>= 3.7,NotFound,CVE-2025-12638,HIGH,8,GAD,3,CVSS:3.0/AV:N/AC:L/PR:L/UI:R/S:U/C:H/I:H/A:H,,NewFound,
unknown,keras,>= 3.7,NotFound,CVE-2025-1550,CRITICAL,9.8,GAD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,,NewFound,
unknown,keras,>= 3.7,NotFound,CVE-2025-8747,HIGH,7.8,NVD,3,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,,NewFound,
unknown,keras,>= 3.7,NotFound,CVE-2025-9905,HIGH,7.3,GAD,3,CVSS:3.1/AV:L/AC:L/PR:L/UI:R/S:U/C:H/I:H/A:H,,NewFound,
unknown,keras,>= 3.7,NotFound,CVE-2025-9906,HIGH,7.3,GAD,3,CVSS:3.1/AV:L/AC:L/PR:L/UI:R/S:U/C:H/I:H/A:H,,NewFound,
unknown,keras,>= 3.7,NotFound,CVE-2026-0897,HIGH,7.5,GAD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,,NewFound,
unknown,keras,>= 3.7,NotFound,CVE-2026-1669,HIGH,7.1,GAD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:L/A:N,,NewFound,
unknown,keras,>= 3.7,NotFound,GHSA-28jp-44vh-q42h,CRITICAL,9,GAD,3,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:C/C:H/I:H/A:H,,NewFound,
unknown,keras,>= 3.7,NotFound,GHSA-5478-v2w6-c6q7,HIGH,8.2,GAD,3,CVSS:3.1/AV:L/AC:L/PR:L/UI:R/S:C/C:H/I:H/A:H,,NewFound,
unknown,keras,>= 3.7,NotFound,GHSA-77wq-646f-jrm2,HIGH,7.5,GAD,3,CVSS:3.1/AV:L/AC:H/PR:L/UI:R/S:C/C:H/I:H/A:H,,NewFound,
unknown,keras,>= 3.7,NotFound,GHSA-gfmx-qqqh-f38q,HIGH,7.1,GAD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:L/A:N,,NewFound,
unknown,keras,>= 3.7,NotFound,GHSA-pwq7-2gvj-vg9v,HIGH,8.2,GAD,3,CVSS:3.1/AV:L/AC:L/PR:L/UI:R/S:C/C:H/I:H/A:H,,NewFound,
keras,keras,>= 3.7,NotFound,CVE-2025-1550,CRITICAL,9.8,GAD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,,NewFound,
keras,keras,>= 3.7,NotFound,CVE-2025-8747,HIGH,7.8,NVD,3,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,,NewFound,
