vendor,product,version,location,cve_number,severity,score,source,cvss_version,cvss_vector,paths,remarks,comments
unknown,brace-expansion,1.1.13,NotFound,CVE-2026-25547,HIGH,7.5,GAD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,,NewFound,
unknown,brace-expansion,1.1.13,NotFound,GHSA-7h2j-956f-4vf2,HIGH,8.6,GAD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:N/I:N/A:H,,NewFound,
store-opart,quote,1.0.45,NotFound,CVE-2020-16194,MEDIUM,5.3,NVD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N,,NewFound,
unknown,yoke,0.8.1,NotFound,CVE-2026-26055,HIGH,7.5,GAD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N,,NewFound,
unknown,yoke,0.8.1,NotFound,CVE-2026-26056,HIGH,8.8,GAD,3,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,,NewFound,
nixos,nix,0.29.0,NotFound,CVE-2019-17365,HIGH,7.8,NVD,3,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,,NewFound,
nixos,nix,0.29.0,NotFound,CVE-2024-27297,MEDIUM,5.9,NVD,3,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:H/A:N,,NewFound,
unknown,idna,1.1.0,/home/jason/SBOM EVal and Validation/sbomCVE/sbom_env/lib/python3.12/site-packages/idna,CVE-2024-3651,HIGH,7.5,GAD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,,NewFound,
unknown,semver,1.0.27,NotFound,CVE-2015-8855,HIGH,7.5,GAD,3,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,,NewFound,
unknown,semver,1.0.27,NotFound,GMS-2015-9,UNKNOWN,unknown,GAD,unknown,unknown,,NewFound,
npmjs,semver,1.0.27,NotFound,CVE-2022-25883,MEDIUM,5.3,GAD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L,,NewFound,
unknown,ryu,1.0.23,NotFound,CVE-2020-35139,HIGH,7.5,NVD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,,NewFound,
unknown,ryu,1.0.23,NotFound,CVE-2020-35141,HIGH,7.5,NVD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,,NewFound,
unknown,ryu,1.0.23,NotFound,CVE-2024-28732,UNKNOWN,unknown,NVD,unknown,unknown,,NewFound,
unknown,ryu,1.0.23,NotFound,CVE-2024-34483,UNKNOWN,unknown,NVD,unknown,unknown,,NewFound,
unknown,ryu,1.0.23,NotFound,CVE-2024-34484,UNKNOWN,unknown,NVD,unknown,unknown,,NewFound,
unknown,ryu,1.0.23,NotFound,CVE-2024-34486,UNKNOWN,unknown,NVD,unknown,unknown,,NewFound,
unknown,ryu,1.0.23,NotFound,CVE-2024-34487,UNKNOWN,unknown,NVD,unknown,unknown,,NewFound,
unknown,ryu,1.0.23,NotFound,CVE-2024-34488,UNKNOWN,unknown,NVD,unknown,unknown,,NewFound,
unknown,ryu,1.0.23,NotFound,CVE-2024-34489,UNKNOWN,unknown,NVD,unknown,unknown,,NewFound,
