vendor,product,version,location,cve_number,severity,score,source,cvss_version,cvss_vector,paths,remarks,comments
python,pillow,>= 10.1.0,NotFound,CVE-2023-50447,HIGH,8.1,NVD,3,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:H,,NewFound,
unknown,bcrypt,>= 4.1.1,NotFound,CVE-2020-7689,HIGH,7.5,NVD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N,,NewFound,
unknown,sqlparse,>= 0.5.0,NotFound,GHSA-27jp-wm6q-gp25,MEDIUM,5.3,GAD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:N,,NewFound,
redis,redis,>= 5.1.0,NotFound,CVE-2021-31294,MEDIUM,5.9,NVD,3,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:N/A:H,,NewFound,
redis,redis,>= 5.1.0,NotFound,CVE-2022-24735,HIGH,7.8,NVD,3,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,,NewFound,
redis,redis,>= 5.1.0,NotFound,CVE-2022-24736,MEDIUM,5.5,NVD,3,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,,NewFound,
redis,redis,>= 5.1.0,NotFound,CVE-2022-24834,HIGH,8.8,NVD,3,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,,NewFound,
redis,redis,>= 5.1.0,NotFound,CVE-2022-36021,MEDIUM,5.5,NVD,3,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,,NewFound,
redis,redis,>= 5.1.0,NotFound,CVE-2022-3647,LOW,3.3,NVD,3,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:L,,NewFound,
redis,redis,>= 5.1.0,NotFound,CVE-2023-25155,MEDIUM,6.5,NVD,3,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,,NewFound,
redis,redis,>= 5.1.0,NotFound,CVE-2023-28856,MEDIUM,6.5,NVD,3,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,,NewFound,
redis,redis,>= 5.1.0,NotFound,CVE-2023-45145,LOW,3.6,NVD,3,CVSS:3.1/AV:L/AC:H/PR:L/UI:N/S:U/C:L/I:L/A:N,,NewFound,
unknown,aiosmtpd,>= 1.4.5,NotFound,CVE-2024-34083,UNKNOWN,unknown,NVD,unknown,unknown,,NewFound,
nim-lang,docutils,>= 0.22,NotFound,CVE-2022-23602,HIGH,8.1,NVD,3,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:N,,NewFound,
