vendor,product,version,location,cve_number,severity,score,source,cvss_version,cvss_vector,paths,remarks,comments
unknown,vllm,">= 0.4.3,<= 0.11.0",NotFound,CVE-2024-11041,UNKNOWN,unknown,NVD,unknown,unknown,,NewFound,
unknown,vllm,">= 0.4.3,<= 0.11.0",NotFound,CVE-2024-8768,UNKNOWN,unknown,NVD,unknown,unknown,,NewFound,
unknown,vllm,">= 0.4.3,<= 0.11.0",NotFound,CVE-2024-8939,UNKNOWN,unknown,NVD,unknown,unknown,,NewFound,
unknown,vllm,">= 0.4.3,<= 0.11.0",NotFound,CVE-2024-9052,UNKNOWN,unknown,NVD,unknown,unknown,,NewFound,
unknown,vllm,">= 0.4.3,<= 0.11.0",NotFound,CVE-2024-9053,CRITICAL,9.8,NVD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,,NewFound,
unknown,vllm,">= 0.4.3,<= 0.11.0",NotFound,CVE-2025-24357,HIGH,7.5,GAD,3,CVSS:3.1/AV:N/AC:H/PR:N/UI:R/S:U/C:H/I:H/A:H,,NewFound,
unknown,vllm,">= 0.4.3,<= 0.11.0",NotFound,CVE-2025-25183,LOW,2.6,GAD,3,CVSS:3.1/AV:N/AC:H/PR:L/UI:R/S:U/C:N/I:L/A:N,,NewFound,
unknown,vllm,">= 0.4.3,<= 0.11.0",NotFound,CVE-2025-29770,UNKNOWN,unknown,NVD,unknown,unknown,,NewFound,
unknown,vllm,">= 0.4.3,<= 0.11.0",NotFound,CVE-2025-46570,LOW,2.6,GAD,3,CVSS:3.1/AV:N/AC:H/PR:L/UI:R/S:U/C:L/I:N/A:N,,NewFound,
unknown,vllm,">= 0.4.3,<= 0.11.0",NotFound,CVE-2025-48956,HIGH,7.5,REDHAT,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,,NewFound,
unknown,vllm,">= 0.4.3,<= 0.11.0",NotFound,CVE-2025-59425,HIGH,7.5,REDHAT,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,,NewFound,
unknown,vllm,">= 0.4.3,<= 0.11.0",NotFound,CVE-2025-66448,HIGH,7.1,GAD,3,CVSS:3.1/AV:N/AC:H/PR:L/UI:R/S:U/C:H/I:H/A:H,,NewFound,
unknown,vllm,">= 0.4.3,<= 0.11.0",NotFound,CVE-2026-24779,HIGH,7.1,GAD,3,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:L,,NewFound,
unknown,vllm,">= 0.4.3,<= 0.11.0",NotFound,GHSA-ggpf-24jw-3fcw,CRITICAL,9.8,GAD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,,NewFound,
vllm,vllm,">= 0.4.3,<= 0.11.0",NotFound,CVE-2025-24357,HIGH,7.5,GAD,3,CVSS:3.1/AV:N/AC:H/PR:N/UI:R/S:U/C:H/I:H/A:H,,NewFound,
vllm,vllm,">= 0.4.3,<= 0.11.0",NotFound,CVE-2025-25183,LOW,2.6,GAD,3,CVSS:3.1/AV:N/AC:H/PR:L/UI:R/S:U/C:N/I:L/A:N,,NewFound,
vllm,vllm,">= 0.4.3,<= 0.11.0",NotFound,CVE-2025-29770,UNKNOWN,unknown,NVD,unknown,unknown,,NewFound,
vllm,vllm,">= 0.4.3,<= 0.11.0",NotFound,CVE-2025-46570,LOW,2.6,GAD,3,CVSS:3.1/AV:N/AC:H/PR:L/UI:R/S:U/C:L/I:N/A:N,,NewFound,
unknown,deepspeed,">= 0.10.0,<= 0.18.4",NotFound,CVE-2024-43497,HIGH,7.8,GAD,3,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,,NewFound,
microsoft,deepspeed,">= 0.10.0,<= 0.18.4",NotFound,CVE-2024-43497,HIGH,7.8,GAD,3,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,,NewFound,
unknown,torch,2.7.1,NotFound,CVE-2025-3730,LOW,3.3,GAD,3,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:L,,NewFound,
unknown,torch,>= 2.4.0,NotFound,CVE-2025-2953,LOW,3.3,GAD,3,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:L,,NewFound,
unknown,torch,>= 2.4.0,NotFound,CVE-2025-32434,CRITICAL,9.8,GAD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,,NewFound,
unknown,torch,>= 2.4.0,NotFound,CVE-2025-3730,LOW,3.3,GAD,3,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:L,,NewFound,
unknown,gradio,">= 4.38.0,<= 5.50.0",NotFound,CVE-2023-6572,HIGH,8.1,NVD,3,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:N,,NewFound,
unknown,gradio,">= 4.38.0,<= 5.50.0",NotFound,CVE-2024-10569,UNKNOWN,unknown,NVD,unknown,unknown,,NewFound,
unknown,gradio,">= 4.38.0,<= 5.50.0",NotFound,CVE-2024-10624,UNKNOWN,unknown,NVD,unknown,unknown,,NewFound,
unknown,gradio,">= 4.38.0,<= 5.50.0",NotFound,CVE-2024-10648,UNKNOWN,unknown,NVD,unknown,unknown,,NewFound,
unknown,gradio,">= 4.38.0,<= 5.50.0",NotFound,CVE-2024-12217,MEDIUM,5.3,GAD,3,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N,,NewFound,
unknown,gradio,">= 4.38.0,<= 5.50.0",NotFound,CVE-2024-47084,HIGH,8.3,GAD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:L,,NewFound,
unknown,gradio,">= 4.38.0,<= 5.50.0",NotFound,CVE-2024-47164,MEDIUM,6.5,GAD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:L/A:N,,NewFound,
unknown,gradio,">= 4.38.0,<= 5.50.0",NotFound,CVE-2024-47165,MEDIUM,5.4,GAD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:L/I:L/A:N,,NewFound,
unknown,gradio,">= 4.38.0,<= 5.50.0",NotFound,CVE-2024-47166,MEDIUM,5.3,GAD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N,,NewFound,
