vendor,product,version,location,cve_number,severity,score,source,cvss_version,cvss_vector,paths,remarks,comments
unknown,sharp,0.34.5,NotFound,CVE-2025-61457,MEDIUM,6.1,GAD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,,NewFound,
unknown,sharp,0.34.5,NotFound,CVE-2025-62798,MEDIUM,5.4,GAD,3,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:C/C:L/I:L/A:N,,NewFound,
unknown,brace-expansion,1.1.13,NotFound,CVE-2026-25547,HIGH,7.5,GAD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,,NewFound,
unknown,brace-expansion,1.1.13,NotFound,GHSA-7h2j-956f-4vf2,HIGH,8.6,GAD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:N/I:N/A:H,,NewFound,
unknown,hono,4.12.10,NotFound,CVE-2020-27217,HIGH,7.5,NVD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,,NewFound,
unknown,lexical,0.42.0,NotFound,GHSA-c2hm-mjxv-89r4,UNKNOWN,unknown,GAD,unknown,unknown,,NewFound,
unknown,canvas,3.2.2,NotFound,CVE-2017-1000507,MEDIUM,5.4,NVD,3,CVSS:3.0/AV:N/AC:L/PR:L/UI:R/S:C/C:L/I:L/A:N,,NewFound,
events_project,events,3.3.0,NotFound,CVE-2018-25076,CRITICAL,9.8,NVD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,,NewFound,
rc_project,rc,1.2.8,NotFound,CVE-2014-1936,HIGH,7.5,NVD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N,,NewFound,
sirv,sirv,3.0.2,NotFound,CVE-2023-50898,HIGH,8.8,NVD,3,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,,NewFound,
sirv,sirv,3.0.2,NotFound,CVE-2024-10855,HIGH,8.1,NVD,3,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:H/A:H,,NewFound,
sirv,sirv,3.0.2,NotFound,CVE-2024-6392,UNKNOWN,unknown,NVD,unknown,unknown,,NewFound,
sirv,sirv,3.0.2,NotFound,CVE-2024-8480,HIGH,8.8,NVD,3,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,,NewFound,
sirv,sirv,3.0.2,NotFound,CVE-2025-46233,MEDIUM,5.4,NVD,3,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:C/C:L/I:L/A:N,,NewFound,
unknown,eslint,catalog:,NotFound,CVE-2025-50537,MEDIUM,5.5,GAD,3,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:H,,NewFound,
unknown,eslint,catalog:,NotFound,GHSA-cxm3-wv7p-598c,UNKNOWN,unknown,GAD,unknown,unknown,,NewFound,
unknown,vitest,catalog:,NotFound,CVE-2025-24964,UNKNOWN,unknown,NVD,unknown,unknown,,NewFound,
unknown,zod,catalog:,NotFound,CVE-2024-32866,UNKNOWN,unknown,NVD,unknown,unknown,,NewFound,
unknown,sharp,catalog:,NotFound,CVE-2022-29256,MEDIUM,6.7,NVD,3,CVSS:3.1/AV:L/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H,,NewFound,
unknown,sharp,catalog:,NotFound,CVE-2025-61457,MEDIUM,6.1,GAD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,,NewFound,
unknown,sharp,catalog:,NotFound,CVE-2025-62798,MEDIUM,5.4,GAD,3,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:C/C:L/I:L/A:N,,NewFound,
unknown,sharp,catalog:,NotFound,GMS-2023-4343,UNKNOWN,unknown,GAD,unknown,unknown,,NewFound,
sharp_project,sharp,catalog:,NotFound,CVE-2022-29256,MEDIUM,6.7,NVD,3,CVSS:3.1/AV:L/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H,,NewFound,
unknown,qs,catalog:,NotFound,CVE-2014-10064,HIGH,7.5,NVD,3,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,,NewFound,
unknown,qs,catalog:,NotFound,CVE-2014-7191,MEDIUM,5,GAD,2,AV:N/AC:L/Au:N/C:N/I:N/A:P,,NewFound,
unknown,qs,catalog:,NotFound,CVE-2021-44907,UNKNOWN,unknown,NVD,unknown,unknown,,NewFound,
unknown,qs,catalog:,NotFound,CVE-2022-24999,HIGH,7.5,NVD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,,NewFound,
unknown,qs,catalog:,NotFound,CVE-2025-15284,LOW,3.7,GAD,3,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:N/A:L,,NewFound,
unknown,qs,catalog:,NotFound,CVE-2026-2391,LOW,3.7,GAD,3,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:N/A:L,,NewFound,
unknown,qs,catalog:,NotFound,GMS-2014-21,UNKNOWN,unknown,GAD,unknown,unknown,,NewFound,
qs_project,qs,catalog:,NotFound,CVE-2014-10064,HIGH,7.5,NVD,3,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,,NewFound,
qs_project,qs,catalog:,NotFound,CVE-2022-24999,HIGH,7.5,NVD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,,NewFound,
unknown,mermaid,catalog:,NotFound,CVE-2021-35513,MEDIUM,6.1,NVD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,,NewFound,
unknown,mermaid,catalog:,NotFound,CVE-2021-43861,MEDIUM,5.4,NVD,3,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:C/C:L/I:L/A:N,,NewFound,
unknown,mermaid,catalog:,NotFound,GHSA-m4gq-x24j-jpmf,HIGH,7,GAD,3,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:L/I:H/A:L,,NewFound,
unknown,mermaid,catalog:,NotFound,GMS-2019-1,UNKNOWN,unknown,GAD,unknown,unknown,,NewFound,
unknown,mermaid,catalog:,NotFound,GMS-2020-747,UNKNOWN,unknown,GAD,unknown,unknown,,NewFound,
mermaid_project,mermaid,catalog:,NotFound,CVE-2021-35513,MEDIUM,6.1,NVD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,,NewFound,
