vendor,product,version,location,cve_number,severity,score,source,cvss_version,cvss_vector,paths,remarks,comments
babeljs,babel,2.18.0,NotFound,CVE-2023-45133,HIGH,8.8,NVD,3,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H,,NewFound,
triton_project,triton,3.6.0,NotFound,CVE-2023-30859,CRITICAL,9.8,NVD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,,NewFound,
unknown,markdown,3.10.2,NotFound,CVE-2023-42821,HIGH,7.5,NVD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,,NewFound,
unknown,markdown,3.10.2,NotFound,GMS-2020-366,UNKNOWN,unknown,GAD,unknown,unknown,,NewFound,
nim-lang,docutils,0.22.4,NotFound,CVE-2022-23602,HIGH,8.1,NVD,3,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:N,,NewFound,
unknown,docker,7.1.0,NotFound,CVE-2018-12608,HIGH,7.5,NVD,3,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N,,NewFound,
unknown,docker,7.1.0,NotFound,CVE-2020-27534,MEDIUM,5.3,NVD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N,,NewFound,
unknown,docker,7.1.0,NotFound,CVE-2021-41089,MEDIUM,6.3,NVD,3,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:C/C:L/I:L/A:L,,NewFound,
unknown,docker,7.1.0,NotFound,CVE-2021-41091,MEDIUM,6.3,NVD,3,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:C/C:L/I:L/A:L,,NewFound,
unknown,docker,7.1.0,NotFound,CVE-2022-24769,MEDIUM,5.9,NVD,3,CVSS:3.1/AV:L/AC:L/PR:N/UI:N/S:U/C:L/I:L/A:L,,NewFound,
unknown,docker,7.1.0,NotFound,CVE-2022-36109,MEDIUM,6.3,NVD,3,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:L,,NewFound,
unknown,docker,7.1.0,NotFound,CVE-2023-28840,HIGH,8.7,NVD,3,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:C/C:N/I:H/A:H,,NewFound,
unknown,docker,7.1.0,NotFound,CVE-2023-28841,MEDIUM,6.8,NVD,3,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:C/C:H/I:N/A:N,,NewFound,
unknown,docker,7.1.0,NotFound,CVE-2023-28842,MEDIUM,6.8,NVD,3,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:C/C:N/I:H/A:N,,NewFound,
unknown,docker,7.1.0,NotFound,CVE-2024-24557,HIGH,7.8,NVD,3,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,,NewFound,
unknown,docker,7.1.0,NotFound,CVE-2024-29018,HIGH,7.5,NVD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,,NewFound,
unknown,docker,7.1.0,NotFound,CVE-2025-54410,LOW,3.3,GAD,3,CVSS:3.1/AV:L/AC:H/PR:L/UI:R/S:U/C:L/I:L/A:N,,NewFound,
unknown,docker,7.1.0,NotFound,GHSA-vp35-85q5-9f25,UNKNOWN,unknown,GAD,unknown,unknown,,NewFound,
unknown,docker,7.1.0,NotFound,GHSA-xmmx-7jpf-fx42,UNKNOWN,unknown,GAD,unknown,unknown,,NewFound,
unknown,docker,7.1.0,NotFound,GMS-2023-3981,UNKNOWN,unknown,GAD,unknown,unknown,,NewFound,
docker,docker,7.1.0,NotFound,CVE-2018-10892,MEDIUM,5.3,NVD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:N,,NewFound,
docker,docker,7.1.0,NotFound,CVE-2019-13139,HIGH,8.4,NVD,3,CVSS:3.0/AV:L/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,,NewFound,
docker,docker,7.1.0,NotFound,CVE-2019-13509,HIGH,7.5,NVD,3,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,,NewFound,
docker,docker,7.1.0,NotFound,CVE-2019-16884,HIGH,7.5,NVD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N,,NewFound,
docker,docker,7.1.0,NotFound,CVE-2019-5736,HIGH,8.6,NVD,3,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:C/C:H/I:H/A:H,,NewFound,
docker,docker,7.1.0,NotFound,CVE-2020-27534,MEDIUM,5.3,NVD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N,,NewFound,
docker,docker,7.1.0,NotFound,CVE-2021-21284,MEDIUM,6.8,NVD,3,CVSS:3.1/AV:A/AC:L/PR:L/UI:N/S:C/C:N/I:H/A:N,,NewFound,
docker,docker,7.1.0,NotFound,CVE-2021-21285,MEDIUM,6.5,NVD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:H,,NewFound,
synology,docker,7.1.0,NotFound,CVE-2021-33183,HIGH,7.9,NVD,3,CVSS:3.1/AV:L/AC:L/PR:H/UI:N/S:C/C:H/I:H/A:N,,NewFound,
unknown,jmespath,1.1.0,NotFound,CVE-2022-32511,CRITICAL,9.8,NVD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,,NewFound,
jmespath_project,jmespath,1.1.0,NotFound,CVE-2022-32511,CRITICAL,9.8,NVD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,,NewFound,
unknown,mcp,1.25.0,/home/jason/SBOM EVal and Validation/sbomCVE/sbom_env/bin/mcp,CVE-2026-22785,CRITICAL,9.8,GAD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,,NewFound,
unknown,diskcache,5.6.3,NotFound,CVE-2025-69872,HIGH,7.3,GAD,3,CVSS:3.1/AV:L/AC:L/PR:L/UI:R/S:U/C:H/I:H/A:H,,NewFound,
rustcrypto,rsa,4.9.1,/home/jason/SBOM EVal and Validation/sbomCVE/sbom_env/lib/python3.12/site-packages/rsa,CVE-2023-49092,MEDIUM,5.9,NVD,3,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:N/A:N,,NewFound,
