cve,package,version,severity,kev,kev_date_added,epss,epss_percentile,exploitdb,exploitdb_ids,commit_links,patch_links,fix_commits,repo_urls,ghsa_ids,introduced_versions,fixed_versions,cvss_base,cvss_vector,cvss_version
CVE-2023-49502,ffmpeg,5.1.4,High,False,,0.00246,0.47904,no,,,,,,,47ac3e60653da651dfa064b649d0ac297560d8d5,083443d67cb159ce469e5d902346b8d0c2cd1c93,,,
CVE-2023-50007,ffmpeg,5.1.4,Medium,False,,0.00019,0.05042,no,,https://github.com/FFmpeg/FFmpeg/commit/b1942734c7cbcdc9034034373abcc9ecb9644c47,,https://github.com/FFmpeg/FFmpeg/commit/b1942734c7cbcdc9034034373abcc9ecb9644c47,,,47ac3e60653da651dfa064b649d0ac297560d8d5,083443d67cb159ce469e5d902346b8d0c2cd1c93 | b1942734c7cbcdc9034034373abcc9ecb9644c47,,,
CVE-2023-50008,ffmpeg,5.1.4,High,False,,0.00031,0.08755,no,,https://github.com/FFmpeg/FFmpeg/commit/5f87a68cf70dafeab2fb89b42e41a4c29053b89b,,https://github.com/FFmpeg/FFmpeg/commit/5f87a68cf70dafeab2fb89b42e41a4c29053b89b,,,47ac3e60653da651dfa064b649d0ac297560d8d5,083443d67cb159ce469e5d902346b8d0c2cd1c93 | 5f87a68cf70dafeab2fb89b42e41a4c29053b89b,,,
CVE-2023-50010,ffmpeg,5.1.4,High,False,,0.00039,0.11933,no,,https://github.com/FFmpeg/FFmpeg/commit/e4d2666bdc3dbd177a81bbf428654a5f2fa3787a | https://github.com/FFmpeg/FFmpeg/commit/e809c23786fe297797198a7b9f5d3392d581daf1,,https://github.com/FFmpeg/FFmpeg/commit/e4d2666bdc3dbd177a81bbf428654a5f2fa3787a | https://github.com/FFmpeg/FFmpeg/commit/e809c23786fe297797198a7b9f5d3392d581daf1,,,47ac3e60653da651dfa064b649d0ac297560d8d5,083443d67cb159ce469e5d902346b8d0c2cd1c93 | e4d2666bdc3dbd177a81bbf428654a5f2fa3787a | e809c23786fe297797198a7b9f5d3392d581daf1,,,
CVE-2023-51791,ffmpeg,5.1.4,High,False,,0.00038,0.11332,no,,,,,,,,,,,
CVE-2023-51793,ffmpeg,5.1.4,High,False,,0.00034,0.09759,no,,,,,,,,,,,
CVE-2023-51794,ffmpeg,5.1.4,High,False,,0.00072,0.21851,no,,,,,,,,,,,
CVE-2023-51795,ffmpeg,5.1.4,High,False,,0.00077,0.2284,no,,,,,,,,,,,
CVE-2023-51796,ffmpeg,5.1.4,Low,False,,0.00026,0.07463,no,,,,,,,,,,,
CVE-2023-51798,ffmpeg,5.1.4,High,False,,0.00045,0.13896,no,,,,,,,,,,,
