cve,package,version,severity,kev,kev_date_added,epss,epss_percentile,exploitdb,exploitdb_ids,commit_links,patch_links,fix_commits,repo_urls,ghsa_ids,introduced_versions,fixed_versions,cvss_base,cvss_vector,cvss_version
CVE-2024-47081,requests,2.32.3,Medium,False,,0.00177,0.39179,no,,https://github.com/psf/requests/commit/96ba401c1296ab1dda74a2365ef36d88f7d144ef | https://github.com/psf/requests/pull/6965,,https://github.com/psf/requests/commit/96ba401c1296ab1dda74a2365ef36d88f7d144ef | https://github.com/psf/requests/pull/6965,,,,021dc729f0b71a3030cefdbec7fb57a0e80a6cfd,,,
CVE-2025-12058,keras,3.9.2,Medium,False,,0.00061,0.18962,no,,https://github.com/keras-team/keras/pull/21751,,https://github.com/keras-team/keras/pull/21751,,,,,,,
CVE-2025-12060,keras,3.9.2,High,False,,0.00102,0.28007,no,,https://github.com/keras-team/keras/pull/21760,,https://github.com/keras-team/keras/pull/21760,,,,,,,
CVE-2025-48379,pillow,11.2.1,High,False,,0.00038,0.11506,no,,https://github.com/python-pillow/Pillow/commit/ef98b3510e3e4f14b547762764813d7e5ca3c5a4 | https://github.com/python-pillow/Pillow/pull/9041,,https://github.com/python-pillow/Pillow/commit/ef98b3510e3e4f14b547762764813d7e5ca3c5a4 | https://github.com/python-pillow/Pillow/pull/9041,,,,89f1f4626a2aaf5f3d5ca6437f41def2998fbe09,5.5,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:H/A:N,3.1
CVE-2025-50181,urllib3,2.4.0,Medium,False,,0.00079,0.23374,no,,https://github.com/urllib3/urllib3/commit/f05b1329126d5be6de501f9d1e3e36738bc08857,,https://github.com/urllib3/urllib3/commit/f05b1329126d5be6de501f9d1e3e36738bc08857,,,,aaab4eccc10c965897540b21e15f11859d0b62e7,6.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,3.1
CVE-2025-50182,urllib3,2.4.0,Medium,False,,0.00066,0.20357,no,,https://github.com/urllib3/urllib3/commit/7eb4a2aafe49a279c29b6d1f0ed0f42e9736194f,,https://github.com/urllib3/urllib3/commit/7eb4a2aafe49a279c29b6d1f0ed0f42e9736194f,,,04df048cf4b1c3790c56e26c659db764aad62d6f,aaab4eccc10c965897540b21e15f11859d0b62e7,6.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,3.1
CVE-2025-66034,fonttools,4.58.0,Medium,False,,0.00124,0.31601,no,,https://github.com/fonttools/fonttools/commit/a696d5ba93270d5954f98e7cab5ddca8a02c1e32,,https://github.com/fonttools/fonttools/commit/a696d5ba93270d5954f98e7cab5ddca8a02c1e32,,,f81ec49a666fbb35ea0af975d80d6a6a06ccc43a,78ba5e8bb4ccf65ef8077d81bc48450ccacf1728,9.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,3.1
CVE-2025-66418,urllib3,2.4.0,High,False,,0.00033,0.09724,no,,https://github.com/urllib3/urllib3/commit/24d7b67eac89f94e11003424bcf0d8f7b72222a8,,https://github.com/urllib3/urllib3/commit/24d7b67eac89f94e11003424bcf0d8f7b72222a8,,,ef0c74542abe69421a86c4d3c6a86fe43cb809a4,720f484b605f18887a48eef448d0084e2b76902d,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.1
CVE-2025-66471,urllib3,2.4.0,High,False,,0.00031,0.08998,no,,https://github.com/urllib3/urllib3/commit/c19571de34c47de3a766541b041637ba5f716ed7,,https://github.com/urllib3/urllib3/commit/c19571de34c47de3a766541b041637ba5f716ed7,,,04c6c18b6630386334fb010079a3ae3cdc59eea2,720f484b605f18887a48eef448d0084e2b76902d,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.1
CVE-2025-71176,pytest,8.3.5,Medium,False,,6e-05,0.0041,no,,,,,,,,,,,
CVE-2025-8747,keras,3.9.2,High,False,,9e-05,0.01004,no,,,,,,,9c675a9a45e5e8244163fea82efc6066722608a1,,7.8,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,3.1
CVE-2025-8869,pip,24.0,Medium,False,,0.00022,0.05945,no,,https://github.com/pypa/pip/pull/13550,,https://github.com/pypa/pip/pull/13550,,,,,,,
CVE-2025-9905,keras,3.9.2,High,False,,6e-05,0.00391,no,,https://github.com/keras-team/keras/pull/21602,,https://github.com/keras-team/keras/pull/21602,,,9c675a9a45e5e8244163fea82efc6066722608a1,b491c860fc2750e2b6006b55358d3251dbb4a9f0,7.3,CVSS:3.1/AV:L/AC:L/PR:L/UI:R/S:U/C:H/I:H/A:H,3.1
CVE-2025-9906,keras,3.9.2,High,False,,0.00056,0.1753,no,,,,,,,9c675a9a45e5e8244163fea82efc6066722608a1,7bf852c211ea41dc58bbc740c3fe64d091d37511,7.3,CVSS:3.1/AV:L/AC:L/PR:L/UI:R/S:U/C:H/I:H/A:H,3.1
CVE-2026-0897,keras,3.9.2,High,False,,0.0003,0.087,no,,https://github.com/keras-team/keras/pull/21880,,https://github.com/keras-team/keras/pull/21880,,,9c675a9a45e5e8244163fea82efc6066722608a1,,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.1
CVE-2026-1462,keras,3.9.2,High,False,,0.00065,0.20198,no,,,,,,,,,,,
CVE-2026-1669,keras,3.9.2,High,False,,0.00014,0.028,no,,,,,,,9c675a9a45e5e8244163fea82efc6066722608a1,,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,3.1
CVE-2026-1703,pip,24.0,Low,False,,0.00026,0.07184,no,,https://github.com/pypa/pip/pull/13777 | https://github.com/pypa/pip/commit/8e227a9be4faa9594e05d02ca05a413a2a4e7735,,https://github.com/pypa/pip/pull/13777 | https://github.com/pypa/pip/commit/8e227a9be4faa9594e05d02ca05a413a2a4e7735,,,,8e227a9be4faa9594e05d02ca05a413a2a4e7735,,,
