cve,package,severity,kev,kev_date_added,epss,epss_percentile,exploitdb,exploitdb_ids,commit_links,patch_links,fix_commits,repo_urls,ghsa_ids,introduced_versions,fixed_versions,cvss_base,cvss_vector,cvss_version
CVE-2021-38187,anymap,Critical,False,,0.00389,0.59953,no,,,,,,,,,9.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,3.1
CVE-2024-57079,@zag-js/core,High,False,,0.00195,0.41476,no,,,,,,,,,,,
CVE-2025-12816,node-forge,High,False,,0.00077,0.23087,no,,https://github.com/digitalbazaar/forge/pull/1124,,https://github.com/digitalbazaar/forge/pull/1124,,,,,,,
CVE-2025-13465,lodash,Medium,False,,0.00029,0.08366,no,,,,,,,d35a9c40beb594d09814ba7f7673b81d4d67a816,835a537f36ee2fd5fb7f524e213ff9ba2d8698f8,5.3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:N,3.1
CVE-2025-13466,body-parser,Medium,False,,0.00041,0.12623,no,,,,,,,,,,,
CVE-2025-15284,qs,Medium,False,,0.00061,0.19331,no,,https://github.com/ljharb/qs/commit/3086902ecf7f088d0d1803887643ac6c03d415b9,,https://github.com/ljharb/qs/commit/3086902ecf7f088d0d1803887643ac6c03d415b9,,,,3fa11a5f643c76896387bd2d86904a2d0141fdf7 | 3086902ecf7f088d0d1803887643ac6c03d415b9,,,
CVE-2025-30359,webpack-dev-server,Medium,False,,0.00385,0.59662,no,,https://github.com/webpack/webpack-dev-server/commit/d2575ad8dfed9207ed810b5ea0ccf465115a2239,,https://github.com/webpack/webpack-dev-server/commit/d2575ad8dfed9207ed810b5ea0ccf465115a2239,,,,0d22a08cc96deeb4421251ff41a915dcda1b59c5,5.9,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:N/A:N,3.1
CVE-2025-30360,webpack-dev-server,Medium,False,,0.00138,0.3402,no,,https://github.com/webpack/webpack-dev-server/commit/5c9378bb01276357d7af208a0856ca2163db188e | https://github.com/webpack/webpack-dev-server/commit/72efaab83381a0e1c4914adf401cbd210b7de7eb,,https://github.com/webpack/webpack-dev-server/commit/5c9378bb01276357d7af208a0856ca2163db188e | https://github.com/webpack/webpack-dev-server/commit/72efaab83381a0e1c4914adf401cbd210b7de7eb,,,,0d22a08cc96deeb4421251ff41a915dcda1b59c5,6.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:N/A:N,3.1
CVE-2025-32014,estree-util-value-to-estree,Medium,False,,0.00668,0.71232,no,,https://github.com/remcohaszing/estree-util-value-to-estree/commit/d0c394fbc64bc55937ffe4e162b81f15ba506e55,,https://github.com/remcohaszing/estree-util-value-to-estree/commit/d0c394fbc64bc55937ffe4e162b81f15ba506e55,,,,cb5305c99309c596875b2b9f771d0332503c953d,,,
CVE-2025-53605,protobuf,Medium,False,,0.00044,0.13723,no,,,,,,,,4cb84f305c05f0376ff51b555a2740c5251c1280,,,
CVE-2025-5889,brace-expansion,Low,False,,0.00032,0.09338,no,,,,,,,,c85b8ad3f53d1eb65f4996a495cae61949855f7c,,,
CVE-2025-59414,nuxt,Low,False,,0.00048,0.15029,no,,https://github.com/nuxt/nuxt/commit/2566d2046bccb158d98fb13e42ce4b2c33fb2595,,https://github.com/nuxt/nuxt/commit/2566d2046bccb158d98fb13e42ce4b2c33fb2595,,,e58cfc81f03a2323c95e6671af7deb4c4288bf39 | 8aacdde48e8388c8bb11b9a5c2f59935341bfcfd,895650538445a18b588e09c74d9cb640693b63f6 | e12125a97f91a9c9b98191e4b89a2fcc95c318db | 2566d2046bccb158d98fb13e42ce4b2c33fb2595,3.1,CVSS:3.1/AV:N/AC:H/PR:N/UI:R/S:U/C:L/I:N/A:N,3.1
CVE-2025-62522,vite,Medium,False,,0.01106,0.78049,no,,https://github.com/vitejs/vite/commit/f479cc57c425ed41ceb434fecebd63931b1ed4ed,,https://github.com/vitejs/vite/commit/f479cc57c425ed41ceb434fecebd63931b1ed4ed,,,931684ef1ea8b120fcc2f1f2b001b8d24d85daa7 | b85f32275b443bf6b647572a9209f1e078b5b4dd | 814120f2ad387ca3d1e16c7dd403b04ca4b97f75 | 7369016d8a0f26ad9200cf7fd0e2045ca9fd1a41 | aac695e9f8f29da43c2f7c50c549fa3d3dfeeadc | 5910f13ee2b6eac1d458f65d721c08ca600b18ab | 59363526015bcfc191d5839b5889d73df7f84373,8b69c9e32c3606ae375a1333cd38e91848d27781 | d3c21673fcc32fade3755a480fc0f2ae820c05c6 | 5487f4f641f70c47ea05fd101a4319897df048b3 | adce3c22c64cc9d44cc8f45cc92b543e3e4bf385 | 0c3125833033fec4356ab4e90e806e02e8644c40 | 566d4c7bb51cf56550a5374ee46e1e1cbea1cf1f | b8c625cec4db938032ad754c7095bd246a4698ee,,,
CVE-2025-64718,js-yaml,Medium,False,,0.00022,0.05803,no,,https://github.com/nodeca/js-yaml/commit/383665ff4248ec2192d1274e934462bb30426879 | https://github.com/nodeca/js-yaml/commit/5278870a17454fe8621dbd8c445c412529525266,,https://github.com/nodeca/js-yaml/commit/383665ff4248ec2192d1274e934462bb30426879 | https://github.com/nodeca/js-yaml/commit/5278870a17454fe8621dbd8c445c412529525266,,GHSA-mh29-5h37-fv8m,ee74ce4b4800282b2f23b776be7dc95dfe34db1c,cc482e775913e6625137572a3712d2826170e53a | 9963d366dfbde0c69722452bcd40b41e7e4160a0,,,
CVE-2025-64756,glob,High,False,,0.00044,0.13549,no,,https://github.com/isaacs/node-glob/commit/1e4e297342a09f2aa0ced87fcd4a70ddc325d75f | https://github.com/isaacs/node-glob/commit/47473c046b91c67269df7a66eab782a6c2716146,,https://github.com/isaacs/node-glob/commit/1e4e297342a09f2aa0ced87fcd4a70ddc325d75f | https://github.com/isaacs/node-glob/commit/47473c046b91c67269df7a66eab782a6c2716146,,,561601d9d14935970ea78b0c1ca3a25addbf5379,56774ef73b495eb0b17cdd0f42921f5ef62297c1 | 2551fb51440d402fa2120457bf460e546ee9964d,,,
CVE-2025-66030,node-forge,Medium,False,,0.00046,0.14346,no,,https://github.com/digitalbazaar/forge/commit/3e0c35ace169cfca529a3e547a7848dc7bf57fdb,,https://github.com/digitalbazaar/forge/commit/3e0c35ace169cfca529a3e547a7848dc7bf57fdb,,,,235ad3e70e4fdfdca4fdeb662dfba6588e2c38bd,5.3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:N,3.1
CVE-2025-66031,node-forge,High,False,,0.00135,0.33368,no,,https://github.com/digitalbazaar/forge/commit/260425c6167a38aae038697132483b5517b26451,,https://github.com/digitalbazaar/forge/commit/260425c6167a38aae038697132483b5517b26451,,,,235ad3e70e4fdfdca4fdeb662dfba6588e2c38bd,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.1
CVE-2025-66400,mdast-util-to-hast,Medium,False,,0.00093,0.26224,no,,https://github.com/syntax-tree/mdast-util-to-hast/commit/6fc783ae6abdeb798fd5a68e7f3f21411dde7403 | https://github.com/syntax-tree/mdast-util-to-hast/commit/ab3a79570a1afbfa7efef5d4a0cd9b5caafbc5d7,,https://github.com/syntax-tree/mdast-util-to-hast/commit/6fc783ae6abdeb798fd5a68e7f3f21411dde7403 | https://github.com/syntax-tree/mdast-util-to-hast/commit/ab3a79570a1afbfa7efef5d4a0cd9b5caafbc5d7,,,6e7208513077b5dc553d9a66a7922907318636e3,174795b21f7757fffb54dd8d5fb4012f4751f791,5.3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:N,3.1
