cve,package,version,severity,kev,kev_date_added,epss,epss_percentile,exploitdb,exploitdb_ids,commit_links,patch_links,fix_commits,repo_urls,ghsa_ids,introduced_versions,fixed_versions,cvss_base,cvss_vector,cvss_version
CVE-2026-32285,github.com/buger/jsonparser,v1.1.1,High,False,,0.00054,0.17045,no,,,,,,,,,,,
CVE-2026-33747,github.com/moby/buildkit,v0.27.1,High,False,,0.00055,0.1735,no,,,,,,,,45b038cd0b2ec2d34013ce0f085522276f7ee0d8,9.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,3.1
CVE-2026-33748,github.com/moby/buildkit,v0.27.1,High,False,,0.00028,0.07929,no,,,,,,,,45b038cd0b2ec2d34013ce0f085522276f7ee0d8,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,3.1
CVE-2026-33762,github.com/go-git/go-git/v5,v5.17.0,Low,False,,0.00014,0.02433,no,,,,,,,,5e23dfd02db92644dc4a3358ceb297fce875b772,,,
CVE-2026-33997,github.com/docker/docker,v28.5.2+incompatible,Medium,False,,0.00015,0.0319,no,,,,,,,,f78c987ad3710cacffe47fce696975ecb337148d,8.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:N,3.1
CVE-2026-34040,github.com/docker/docker,v28.5.2+incompatible,High,False,,8e-05,0.007,no,,,,,,,,f78c987ad3710cacffe47fce696975ecb337148d,7.8,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,3.1
CVE-2026-34165,github.com/go-git/go-git/v5,v5.17.0,Medium,False,,5e-05,0.00285,no,,,,,,,9d0f15c4fa712cdacfa3887e9baac918f093fbf6,5e23dfd02db92644dc4a3358ceb297fce875b772,,,
CVE-2026-34986,github.com/go-jose/go-jose/v4,v4.1.3,High,False,,0.00019,0.05291,no,,,,,,,,,,,
CVE-2026-35206,helm.sh/helm/v3,v3.20.1,Medium,False,,0.00012,0.01771,no,,,,,,,,,4.4,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:N/I:L/A:L,3.1
CVE-2026-39883,go.opentelemetry.io/otel/sdk,v1.41.0,High,False,,8e-05,0.00734,no,,,,,,,,,7,CVSS:3.1/AV:L/AC:H/PR:L/UI:N/S:U/C:H/I:H/A:H,3.1
CVE-2026-39984,github.com/sigstore/timestamp-authority/v2,v2.0.3,Medium,False,,8e-05,0.00741,no,,,,,,,,,,,
CVE-2026-4660,github.com/hashicorp/go-getter,v1.8.5,High,False,,0.00015,0.02862,no,,,,,,,,,,,
