cve,package,version,severity,kev,kev_date_added,epss,epss_percentile,exploitdb,exploitdb_ids,commit_links,patch_links,fix_commits,repo_urls,ghsa_ids,introduced_versions,fixed_versions,cvss_base,cvss_vector,cvss_version
CVE-2023-36464,pypdf2,3.0.1,Medium,False,,0.00034,0.09986,no,,https://github.com/py-pdf/pypdf/pull/1828 | https://github.com/py-pdf/pypdf/pull/969,,https://github.com/py-pdf/pypdf/pull/1828 | https://github.com/py-pdf/pypdf/pull/969,,,,0096c99031955b15bd30834e5566076d9528f59d,5.5,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:H,3.1
CVE-2023-4863,pillow,10.0.0,High,True,2023-09-13,0.94117,0.99911,no,,https://github.com/webmproject/libwebp/commit/902bc9190331343b2017211debcec8d2ab87e17a,,https://github.com/webmproject/libwebp/commit/902bc9190331343b2017211debcec8d2ab87e17a,,,,ca332209cb5567c9b249c86788cb2dbf8847e760 | 902bc9190331343b2017211debcec8d2ab87e17a,8.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,3.1
CVE-2023-50447,pillow,10.0.0,Critical,False,,0.00713,0.72354,no,,,,,,,,,8.1,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:H,3.1
CVE-2024-28219,pillow,10.0.0,High,False,,0.00261,0.49512,no,,,,,,,,5c89d88eee199ba53f64581ea39b6a1bc52feb1a,5.9,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:N/A:H,3.1
CVE-2024-47081,requests,2.32.3,Medium,False,,0.00177,0.39179,no,,https://github.com/psf/requests/commit/96ba401c1296ab1dda74a2365ef36d88f7d144ef | https://github.com/psf/requests/pull/6965,,https://github.com/psf/requests/commit/96ba401c1296ab1dda74a2365ef36d88f7d144ef | https://github.com/psf/requests/pull/6965,,,,021dc729f0b71a3030cefdbec7fb57a0e80a6cfd,,,
CVE-2024-53382,prismjs,1.27.0,Medium,False,,0.00158,0.36579,no,,,,,,,,,5.4,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:C/C:L/I:L/A:N,3.1
CVE-2024-8966,gradio,5.9.1,High,False,,0.00221,0.44724,no,,https://github.com/gradio-app/gradio/commit/f1718c47137f9c60240da7afe5e3290aa0f1cb47,,https://github.com/gradio-app/gradio/commit/f1718c47137f9c60240da7afe5e3290aa0f1cb47,,,,f1718c47137f9c60240da7afe5e3290aa0f1cb47,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.1
CVE-2025-12695,dspy,2.6.18,Medium,False,,0.00011,0.01289,no,,,,,,,,,,,
CVE-2025-13465,lodash-es,4.17.21,Medium,False,,0.00029,0.08421,no,,,,,,,d35a9c40beb594d09814ba7f7673b81d4d67a816,835a537f36ee2fd5fb7f524e213ff9ba2d8698f8,5.3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:N,3.1
CVE-2025-14009,nltk,3.9.1,Critical,False,,0.00841,0.7475,no,,,,,,,,4154eb85e832f266660a09286c7e37e308292284,,,
CVE-2025-23042,gradio,5.9.1,Critical,False,,0.00099,0.27516,no,,,,,,,,4d520a8a7b4c76eb87a18052a76984354d9646a9,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,3.1
CVE-2025-27516,jinja2,3.1.5,Medium,False,,0.00121,0.31128,no,,https://github.com/pallets/jinja/commit/90457bbf33b8662926ae65cdde4c4c32e756e403,,https://github.com/pallets/jinja/commit/90457bbf33b8662926ae65cdde4c4c32e756e403,,,,15206881c006c79667fe5154fe80c01c65410679,8.8,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H,3.1
CVE-2025-2953,torch,2.2.2,Low,False,,0.00151,0.35733,no,,,,,,,,,5.5,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,3.1
CVE-2025-32434,torch,2.2.2,Critical,False,,0.01219,0.79078,no,,,,,,,,1eba9b3aa3c43f86f4a2c807ac8e12c4a7767340,9.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,3.1
CVE-2025-3730,torch,2.2.2,Medium,False,,0.0005,0.15485,no,,https://github.com/pytorch/pytorch/pull/150981 | https://github.com/timocafe/tewart-pytorch/commit/46fc5d8e360127361211cb237d5f9eef0223e567,,https://github.com/pytorch/pytorch/pull/150981 | https://github.com/timocafe/tewart-pytorch/commit/46fc5d8e360127361211cb237d5f9eef0223e567,,,,46fc5d8e360127361211cb237d5f9eef0223e567,5.5,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,3.1
CVE-2025-3777,transformers,4.51.3,Low,False,,0.00024,0.06551,no,,https://github.com/huggingface/transformers/commit/4dda5f71b35fb70cf602187eef84bb17a50b9082,,https://github.com/huggingface/transformers/commit/4dda5f71b35fb70cf602187eef84bb17a50b9082,,,,945727948c1143a10ac6f7d811aa58bb0d126b5b | 4dda5f71b35fb70cf602187eef84bb17a50b9082,,,
