cve,package,severity,kev,kev_date_added,epss,epss_percentile,exploitdb,exploitdb_ids,commit_links,patch_links,fix_commits,repo_urls,ghsa_ids,introduced_versions,fixed_versions,cvss_base,cvss_vector,cvss_version
CVE-2014-6393,express,Medium,False,,0.0029,0.52371,no,,,,,,,,,6.1,CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,3.0
CVE-2015-9235,jsonwebtoken,Critical,False,,0.3247,0.96833,no,,,,,,,,,9.8,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,3.0
CVE-2017-16031,socket.io,High,False,,0.00385,0.59689,no,,https://github.com/socketio/socket.io/commit/67b4eb9abdf111dfa9be4176d1709374a2b4ded8,,https://github.com/socketio/socket.io/commit/67b4eb9abdf111dfa9be4176d1709374a2b4ded8,,,,67b4eb9abdf111dfa9be4176d1709374a2b4ded8,7.5,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,3.0
CVE-2020-28481,socket.io,Medium,False,,0.00189,0.40797,no,,,,,,,,873fdc55eddd672960fdbc1325ccb7c4bf466f05,4.3,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:N/A:N,3.1
CVE-2020-5284,next,Medium,False,,0.8195,0.99197,no,,,,,,,,ee0081356d7ea166dfed4765f134730c11ecaecf,4.3,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:N/A:N,3.1
CVE-2021-37699,next,Medium,False,,0.0043,0.62492,no,,,,,,,ef32e16fb1e65e0b8278a295cc584bbc696ae6f4 | 0ca24563be9658732eac158c31046ff58bfe78ca,ce4adfc02d3532e2c62ed8088660df1655e66278,6.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,3.1
CVE-2021-38187,anymap,Critical,False,,0.00389,0.59953,no,,,,,,,,,9.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,3.1
CVE-2021-4231,@angular/core,Medium,False,,0.01341,0.79972,no,,https://github.com/angular/angular/commit/ba8da742e3b243e8f43d4c63aa842b44e14f2b09,,https://github.com/angular/angular/commit/ba8da742e3b243e8f43d4c63aa842b44e14f2b09,,,,e0e2157a28558b388670ad2da4bdcdede8070c7d | ba8da742e3b243e8f43d4c63aa842b44e14f2b09,5.4,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:C/C:L/I:L/A:N,3.1
CVE-2021-43803,next,High,False,,0.0218,0.84294,no,,https://github.com/vercel/next.js/commit/6d98b4fb4315dec1badecf0e9bdc212a4272b264 | https://github.com/vercel/next.js/pull/32080,,https://github.com/vercel/next.js/commit/6d98b4fb4315dec1badecf0e9bdc212a4272b264 | https://github.com/vercel/next.js/pull/32080,,,ce4adfc02d3532e2c62ed8088660df1655e66278 | 8a450db14a1b29d506ec86df1a002bc525ab0da7,ec1a0f7643172e5beba96e7be7d000471813cf69 | b6162bb6b6b46788ef2ae700d81c99e94d903900 | 6d98b4fb4315dec1badecf0e9bdc212a4272b264,4.3,AV:N/AC:M/Au:N/C:N/I:N/A:P,2.0
CVE-2022-23539,jsonwebtoken,High,False,,0.00072,0.22134,no,,https://github.com/auth0/node-jsonwebtoken/commit/e1fa9dcc12054a8681db4e6373da1b30cf7016e3,,https://github.com/auth0/node-jsonwebtoken/commit/e1fa9dcc12054a8681db4e6373da1b30cf7016e3,,,,e1fa9dcc12054a8681db4e6373da1b30cf7016e3,8.1,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:N,3.1
CVE-2022-23540,jsonwebtoken,Medium,False,,0.00017,0.04215,no,,https://github.com/auth0/node-jsonwebtoken/commit/e1fa9dcc12054a8681db4e6373da1b30cf7016e3,,https://github.com/auth0/node-jsonwebtoken/commit/e1fa9dcc12054a8681db4e6373da1b30cf7016e3,,,,e1fa9dcc12054a8681db4e6373da1b30cf7016e3,7.6,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:H/A:L,3.1
CVE-2022-23541,jsonwebtoken,Medium,False,,0.0006,0.19019,no,,https://github.com/auth0/node-jsonwebtoken/commit/e1fa9dcc12054a8681db4e6373da1b30cf7016e3,,https://github.com/auth0/node-jsonwebtoken/commit/e1fa9dcc12054a8681db4e6373da1b30cf7016e3,,,,e1fa9dcc12054a8681db4e6373da1b30cf7016e3,6.3,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:L,3.1
CVE-2022-24713,regex,High,False,,0.0985,0.92963,no,,https://github.com/rust-lang/regex/commit/ae70b41d4f46641dbc45c7a4f87954aea356283e,,https://github.com/rust-lang/regex/commit/ae70b41d4f46641dbc45c7a4f87954aea356283e,,,,d130381b150756ba7e5940efdc6ebdf47f4febc0,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.1
CVE-2022-25875,svelte,Medium,False,,0.00725,0.72534,no,,https://github.com/sveltejs/svelte/commit/f8605d6acbf66976da9b4547f76e90e163899907 | https://github.com/sveltejs/svelte/pull/7530%23issuecomment-1158575990,,https://github.com/sveltejs/svelte/commit/f8605d6acbf66976da9b4547f76e90e163899907 | https://github.com/sveltejs/svelte/pull/7530%23issuecomment-1158575990,,,,52153dbce0237f0c36e4ff36377398d7f95276ef | f8605d6acbf66976da9b4547f76e90e163899907,6.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,3.1
CVE-2022-31150,undici,Medium,False,,0.00507,0.66213,no,,,,,,,,26f60b7b6e612bb831133d7f85914963d1955011,6.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:L/A:N,3.1
CVE-2022-31151,undici,Low,False,,0.00118,0.30854,no,,,,,,,,,6.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:L/A:N,3.1
CVE-2022-35204,vite,High,False,,0.0097,0.76575,no,,,,,,,,d93ac8eca16534eb5474c19899bc130019b30a71 | d5c50997dca46c6b901fd951eac492f96271b511,4.3,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:L/I:N/A:N,3.1
CVE-2022-35948,undici,Medium,False,,0.00165,0.37552,no,,https://github.com/nodejs/undici/commit/66165d604fd0aee70a93ed5c44ad4cc2df395f80,,https://github.com/nodejs/undici/commit/66165d604fd0aee70a93ed5c44ad4cc2df395f80,,,,66165d604fd0aee70a93ed5c44ad4cc2df395f80,5.3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:N,3.1
CVE-2022-35949,undici,Medium,False,,0.0039,0.59997,no,,https://github.com/nodejs/undici/commit/124f7ebf705366b2e1844dff721928d270f87895,,https://github.com/nodejs/undici/commit/124f7ebf705366b2e1844dff721928d270f87895,,,,52d1ce56f7641d0c0d8359fc76537ebe15473e7e,9.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,3.1
CVE-2023-24807,undici,High,False,,0.00305,0.53674,no,,https://github.com/nodejs/undici/commit/f2324e549943f0b0937b09fb1c0c16cc7c93abdf,,https://github.com/nodejs/undici/commit/f2324e549943f0b0937b09fb1c0c16cc7c93abdf,,,,984d53bad97c98529424a7f3bef6be1d0e76d039,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.1
