cve,package,version,severity,kev,kev_date_added,epss,epss_percentile,exploitdb,exploitdb_ids,commit_links,patch_links,fix_commits,repo_urls,ghsa_ids,introduced_versions,fixed_versions,cvss_base,cvss_vector,cvss_version
CVE-2025-15558,github.com/docker/cli,27.1.2+incompatible,High,False,,0.00023,0.06249,no,,https://github.com/docker/cli/pull/6713,,https://github.com/docker/cli/pull/6713,,,,,8,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:U/C:H/I:H/A:H,3.1
CVE-2025-66506,github.com/sigstore/fulcio,1.6.3,High,False,,0.00046,0.14229,no,,https://github.com/sigstore/fulcio/commit/765a0e57608b9ef390e1eeeea8595b9054c63a5a,,https://github.com/sigstore/fulcio/commit/765a0e57608b9ef390e1eeeea8595b9054c63a5a,,,,3622f6e62cf74ff1477422a8c3aad4ca338ed047,,,
CVE-2025-66564,github.com/sigstore/timestamp-authority,1.2.2,High,False,,0.00024,0.0647,no,,https://github.com/sigstore/timestamp-authority/commit/0cae34e197d685a14904e0bad135b89d13b69421,,https://github.com/sigstore/timestamp-authority/commit/0cae34e197d685a14904e0bad135b89d13b69421,,,,22406c3ff80d3543d2f2819e4f3cf944b5fe306c,,,
CVE-2026-22703,github.com/sigstore/cosign/v2,2.2.4,Medium,False,,6e-05,0.00379,no,,https://github.com/sigstore/cosign/commit/6832fba4928c1ad69400235bbc41212de5006176 | https://github.com/sigstore/cosign/pull/4623,,https://github.com/sigstore/cosign/commit/6832fba4928c1ad69400235bbc41212de5006176 | https://github.com/sigstore/cosign/pull/4623,,,9b4b74c497119b5c28b6ca60e9c1ff15bbd7164a,3ade80c5f77cefc904f8c994e88618e5892e8f1c,5.5,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:H/A:N,3.1
CVE-2026-22772,github.com/sigstore/fulcio,1.6.3,Medium,False,,0.00012,0.01864,no,,https://github.com/sigstore/fulcio/commit/eaae2f2be56df9dea5f9b439ec81bedae4c0978d,,https://github.com/sigstore/fulcio/commit/eaae2f2be56df9dea5f9b439ec81bedae4c0978d,,,,eaae2f2be56df9dea5f9b439ec81bedae4c0978d,5.3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N,3.1
CVE-2026-23831,github.com/sigstore/rekor,1.3.9,Medium,False,,0.00016,0.03679,no,,https://github.com/sigstore/rekor/commit/39bae3d192bce48ef4ef2cbd1788fb5770fee8cd,,https://github.com/sigstore/rekor/commit/39bae3d192bce48ef4ef2cbd1788fb5770fee8cd,,,,fe9717fd6ee4cfecedc30e5fd64c9872bc2ac61c,,,
CVE-2026-23991,github.com/theupdateframework/go-tuf/v2,2.0.1,Medium,False,,0.00025,0.06802,no,,https://github.com/theupdateframework/go-tuf/commit/73345ab6b0eb7e59d525dac17a428f043074cef6,,https://github.com/theupdateframework/go-tuf/commit/73345ab6b0eb7e59d525dac17a428f043074cef6,,,ecec5d3a09cfa74482f0797fa38b65a2942a655c,b38d91fdbc69dfe31fe9230d97dafe527ea854a0,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.1
CVE-2026-23992,github.com/theupdateframework/go-tuf/v2,2.0.1,Medium,False,,0.0001,0.01115,no,,https://github.com/theupdateframework/go-tuf/commit/b38d91fdbc69dfe31fe9230d97dafe527ea854a0,,https://github.com/theupdateframework/go-tuf/commit/b38d91fdbc69dfe31fe9230d97dafe527ea854a0,,,ecec5d3a09cfa74482f0797fa38b65a2942a655c,b38d91fdbc69dfe31fe9230d97dafe527ea854a0,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N,3.1
CVE-2026-24117,github.com/sigstore/rekor,1.3.9,Medium,False,,0.00014,0.02755,no,,https://github.com/sigstore/rekor/commit/60ef2bceba192c5bf9327d003bceea8bf1f8275f,,https://github.com/sigstore/rekor/commit/60ef2bceba192c5bf9327d003bceea8bf1f8275f,,,,fe9717fd6ee4cfecedc30e5fd64c9872bc2ac61c,,,
CVE-2026-24137,github.com/sigstore/sigstore,1.8.12,Medium,False,,0.00015,0.02869,no,,https://github.com/sigstore/sigstore/commit/8ec410a2993ea78083aecf0e473a85453039496e,,https://github.com/sigstore/sigstore/commit/8ec410a2993ea78083aecf0e473a85453039496e,,,,8ec410a2993ea78083aecf0e473a85453039496e,,,
CVE-2026-24686,github.com/theupdateframework/go-tuf/v2,2.0.1,Medium,False,,8e-05,0.00795,no,,https://github.com/theupdateframework/go-tuf/commit/d361e2ea24e427581343dee5c7a32b485d79fcc0,,https://github.com/theupdateframework/go-tuf/commit/d361e2ea24e427581343dee5c7a32b485d79fcc0,,,ecec5d3a09cfa74482f0797fa38b65a2942a655c,d361e2ea24e427581343dee5c7a32b485d79fcc0,4.7,CVSS:3.1/AV:L/AC:H/PR:L/UI:N/S:U/C:N/I:H/A:N,3.1
CVE-2026-26958,filippo.io/edwards25519,1.1.0,Low,False,,0.00018,0.04444,no,,https://github.com/FiloSottile/edwards25519/commit/d1c650afb95fad0742b98d95f2eb2cf031393abb,,https://github.com/FiloSottile/edwards25519/commit/d1c650afb95fad0742b98d95f2eb2cf031393abb,,,,d1c650afb95fad0742b98d95f2eb2cf031393abb,,,
CVE-2026-33186,google.golang.org/grpc,1.70.0,Critical,False,,0.00023,0.06277,no,,,,,,,,dda86dbd9cecb8b35b58c73d507d81d67761205f,,,
CVE-2026-33816,github.com/jackc/pgx/v5,5.7.2,Critical,False,,0.00056,0.17582,no,,,,,,,,,,,
CVE-2026-34986,github.com/go-jose/go-jose/v3,3.0.4,High,False,,0.00019,0.05291,no,,,,,,,,,,,
