cve,package,version,severity,kev,kev_date_added,epss,epss_percentile,exploitdb,exploitdb_ids,commit_links,patch_links,fix_commits,repo_urls,ghsa_ids,introduced_versions,fixed_versions,cvss_base,cvss_vector,cvss_version
CVE-2024-47764,cookie,0.4.2,Low,False,,0.00211,0.43593,no,,https://github.com/jshttp/cookie/commit/e10042845354fea83bd8f34af72475eed1dadf5c | https://github.com/jshttp/cookie/pull/167,,https://github.com/jshttp/cookie/commit/e10042845354fea83bd8f34af72475eed1dadf5c | https://github.com/jshttp/cookie/pull/167,,,,ab057d6c06b94a7b1e3358e69a685ae49c97b627,,,
CVE-2025-15284,qs,6.13.0,Medium,False,,0.00061,0.19113,no,,https://github.com/ljharb/qs/commit/3086902ecf7f088d0d1803887643ac6c03d415b9,,https://github.com/ljharb/qs/commit/3086902ecf7f088d0d1803887643ac6c03d415b9,,,,3fa11a5f643c76896387bd2d86904a2d0141fdf7 | 3086902ecf7f088d0d1803887643ac6c03d415b9,,,
CVE-2025-54880,mermaid,11.6.0,Medium,False,,8e-05,0.00802,no,,https://github.com/mermaid-js/mermaid/commit/2aa83302795183ea5c65caec3da1edd6cb4791fc | https://github.com/mermaid-js/mermaid/commit/734bde38777c9190a5a72e96421c83424442d4e4,,https://github.com/mermaid-js/mermaid/commit/2aa83302795183ea5c65caec3da1edd6cb4791fc | https://github.com/mermaid-js/mermaid/commit/734bde38777c9190a5a72e96421c83424442d4e4,,,32710c1d995db394ff8cd65c280dbb0a3026630f,96778f77898c02489ba0d33c874eca4370e21205,6.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,3.1
CVE-2025-54881,mermaid,11.6.0,Medium,False,,0.00015,0.03418,no,,https://github.com/mermaid-js/mermaid/commit/5c69e5fdb004a6d0a2abe97e23d26e223a059832 | https://github.com/mermaid-js/mermaid/commit/685516a85ec1df64cefd4fd15f26533be87d458e,,https://github.com/mermaid-js/mermaid/commit/5c69e5fdb004a6d0a2abe97e23d26e223a059832 | https://github.com/mermaid-js/mermaid/commit/685516a85ec1df64cefd4fd15f26533be87d458e,,,,5c69e5fdb004a6d0a2abe97e23d26e223a059832 | 685516a85ec1df64cefd4fd15f26533be87d458e,,,
CVE-2025-59288,playwright,1.48.1,High,False,,0.00028,0.07926,no,,,,,,,,ae51df7a35888f663553ab4e9c45d6cb6335397f,,,
CVE-2025-7339,on-headers,1.0.2,Low,False,,0.00011,0.01333,no,,https://github.com/jshttp/on-headers/commit/c6e384908c9c6127d18831d16ab0bd96e1231867,,https://github.com/jshttp/on-headers/commit/c6e384908c9c6127d18831d16ab0bd96e1231867,,,,c6e384908c9c6127d18831d16ab0bd96e1231867,,,
CVE-2026-2391,qs,6.13.0,Low,False,,0.0005,0.15484,no,,https://github.com/ljharb/qs/commit/f6a7abff1f13d644db9b05fe4f2c98ada6bf8482,,https://github.com/ljharb/qs/commit/f6a7abff1f13d644db9b05fe4f2c98ada6bf8482,,,125e103b61f2bef245970f5a2a8dceffe5aab59a,bdcf0c7f82387c18ac8fabfccd2f440645cef47b | f6a7abff1f13d644db9b05fe4f2c98ada6bf8482,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.1
CVE-2026-34043,serialize-javascript,6.0.2,Medium,False,,0.00017,0.04061,no,,https://github.com/yahoo/serialize-javascript/commit/f147e90269b58bb6e539cfdf3d0e20d6ad14204b,,https://github.com/yahoo/serialize-javascript/commit/f147e90269b58bb6e539cfdf3d0e20d6ad14204b,,,,df3f1c1fa9ca16b050ae893cb63ac23c91deed55,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.1
CVE-2026-3449,@tootallnate/once,1.1.2,Low,False,,0.00015,0.03281,no,,https://github.com/TooTallNate/once/commit/b9f43cc5259bee2952d91ad3cdbd201a82df448a,,https://github.com/TooTallNate/once/commit/b9f43cc5259bee2952d91ad3cdbd201a82df448a,,,,b31c7623e18b128325a05da02aa0832ee289b893 | b9f43cc5259bee2952d91ad3cdbd201a82df448a,,,
CVE-2026-4867,path-to-regexp,0.1.12,High,False,,0.0005,0.15298,no,,,,,,,,,,,
