cve,package,severity,kev,kev_date_added,epss,epss_percentile,exploitdb,exploitdb_ids,commit_links,patch_links,fix_commits,repo_urls,ghsa_ids,introduced_versions,fixed_versions,cvss_base,cvss_vector,cvss_version
CVE-2019-11841,golang.org/x/crypto,Medium,False,,0.00397,0.60498,no,,,,,,,,,5.9,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:H/A:N,3.1
CVE-2020-29652,golang.org/x/crypto,High,False,,0.00031,0.08702,no,,,,,,,,,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.1
CVE-2020-7919,golang.org/x/crypto,High,False,,0.00651,0.70818,no,,,,,,,05e77d41914d247a1e7caf37d7125ccaa5a53505 | cc8838d645b2b7026c1f3aaceb011775c5ca3a08,4ce6a8e89668b87dce67e2f55802903d6eb9110a | 7d2473dc81c659fba3f3b83bc6e93ca5fe37a898,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.1
CVE-2020-9283,golang.org/x/crypto,High,False,,0.18682,0.95251,no,,,,,,,,,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.1
CVE-2021-43565,golang.org/x/crypto,High,False,,0.00015,0.03218,no,,,,,,,,,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.1
CVE-2022-27191,golang.org/x/crypto,High,False,,0.00089,0.25443,no,,,,,,,,,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.1
CVE-2023-48795,golang.org/x/crypto,Medium,False,,0.5673,0.98114,no,,https://github.com/connectbot/sshlib/commit/5c8b534f6e97db7ac0e0e579331213aa25c173ab | https://github.com/jtesta/ssh-audit/commit/8e972c5e94b460379fe0c7d20209c16df81538a5 | https://github.com/openssh/openssh-portable/commits/master | https://github.com/TeraTermProject/teraterm/commit/7279fbd6ef4d0c8bdd6a90af4ada2899d786eec0 | https://github.com/golang/crypto/commit/9d2ee975ef9fe627bf0a6f01c1f69e8ef1d4f05d | https://github.com/mscdex/ssh2/commit/97b223f8891b96d6fc054df5ab1d5a1a545da2a3 | https://github.com/libssh2/libssh2/pull/1291 | https://git.libssh.org/projects/libssh.git/commit/?h=stable-0.10&id=10e09e273f69e149389b3e0e5d44b8c221c2e7f6,,https://github.com/connectbot/sshlib/commit/5c8b534f6e97db7ac0e0e579331213aa25c173ab | https://github.com/jtesta/ssh-audit/commit/8e972c5e94b460379fe0c7d20209c16df81538a5 | https://github.com/openssh/openssh-portable/commits/master | https://github.com/TeraTermProject/teraterm/commit/7279fbd6ef4d0c8bdd6a90af4ada2899d786eec0 | https://github.com/golang/crypto/commit/9d2ee975ef9fe627bf0a6f01c1f69e8ef1d4f05d | https://github.com/mscdex/ssh2/commit/97b223f8891b96d6fc054df5ab1d5a1a545da2a3 | https://github.com/libssh2/libssh2/pull/1291 | https://git.libssh.org/projects/libssh.git/commit/?h=stable-0.10&id=10e09e273f69e149389b3e0e5d44b8c221c2e7f6,,GHSA-45x7-px36-x8w8,7a8d04dbcb388a5d837a213ad249c1b96e19e998 | 583cba31eb09c14abd0b217fe7ac2e9a60425d51 | 4ed7957623e5ccbd420a09a506bd6bc9930fe93c | 8c0ea6bd3306cfd6ca19730d180a2a93a716e1ee | 79a1bc918ffd2e81b5bd39cfdf87dfc81390fbb5,dca6a021b5889d3723845694132c9d8dd3f8d348 | 891c1b1e7313268f85fbfbf1c7e58d401dc370f8 | 5c8b534f6e97db7ac0e0e579331213aa25c173ab | df84c42e7e8a1675769fa9065b2781a6abc8ab1b | a6a92f0d69b8cf5e72e38ffa5e693057aa2dc776 | 106609456818d9983c932db2cdbaaad8577b98f9 | 60c60ff27b37b34b79218aef0ceb92f68e54f83f | 85be379c3f1c0021ccb8d6ae9eb69f4e6712a150,5.9,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:H/A:N,3.1
CVE-2024-45337,golang.org/x/crypto,Critical,False,,0.30296,0.9666,no,,https://github.com/golang/crypto/commit/b4f1988a35dee11ec3e05d6bf3e90b695fbd8909,,https://github.com/golang/crypto/commit/b4f1988a35dee11ec3e05d6bf3e90b695fbd8909,,,,b4f1988a35dee11ec3e05d6bf3e90b695fbd8909,,,
CVE-2025-22869,golang.org/x/crypto,High,False,,0.00215,0.44011,no,,,,,,,,,,,
CVE-2025-47914,golang.org/x/crypto,Medium,False,,0.00021,0.05618,no,,,,,,,,4e0068c0098be10d7025c99ab7c50ce454c1f0f9,,,
CVE-2025-58181,golang.org/x/crypto,Medium,False,,0.00087,0.25163,no,,,,,,,,4e0068c0098be10d7025c99ab7c50ce454c1f0f9,,,
CVE-2026-1525,undici,Medium,False,,0.00016,0.03742,no,,,,,,,1cfe0949053aac6267f11b919cee9315a27f1fd6,8873c947271faf1ebc455bdc6158ecbc022ecfa9 | 07a39067a0485c1953196f500d945fe09378a176,9.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,3.1
CVE-2026-1526,undici,High,False,,0.00018,0.04784,no,,,,,,,1cfe0949053aac6267f11b919cee9315a27f1fd6,8873c947271faf1ebc455bdc6158ecbc022ecfa9 | 07a39067a0485c1953196f500d945fe09378a176,,,
CVE-2026-1527,undici,Medium,False,,9e-05,0.00946,no,,,,,,,1cfe0949053aac6267f11b919cee9315a27f1fd6,8873c947271faf1ebc455bdc6158ecbc022ecfa9 | 07a39067a0485c1953196f500d945fe09378a176,,,
CVE-2026-1528,undici,High,False,,0.00128,0.32332,no,,,,,,,1cfe0949053aac6267f11b919cee9315a27f1fd6,8873c947271faf1ebc455bdc6158ecbc022ecfa9 | 07a39067a0485c1953196f500d945fe09378a176,,,
CVE-2026-2229,undici,High,False,,0.00186,0.40468,no,,,,,,,1cfe0949053aac6267f11b919cee9315a27f1fd6,8873c947271faf1ebc455bdc6158ecbc022ecfa9 | 07a39067a0485c1953196f500d945fe09378a176,,,
CVE-2026-27942,fast-xml-parser,Low,False,,0.00054,0.17096,no,,https://github.com/NaturalIntelligence/fast-xml-parser/commit/c13a961910f14986295dd28484eee830fa1a0e8a | https://github.com/NaturalIntelligence/fast-xml-parser/pull/791,,https://github.com/NaturalIntelligence/fast-xml-parser/commit/c13a961910f14986295dd28484eee830fa1a0e8a | https://github.com/NaturalIntelligence/fast-xml-parser/pull/791,,,2f7d138af8338aaf65c1d98902f76259c7233373,c692040f6b5f5045d38b66b1da04e4d3abc97052,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.1
CVE-2026-2950,lodash,Medium,False,,0.00042,0.12856,no,,,,,,,,,,,
CVE-2026-33036,fast-xml-parser,High,False,,0.00052,0.16394,no,,https://github.com/NaturalIntelligence/fast-xml-parser/commit/bd26122c838e6a55e7d7ac49b4ccc01a49999a01,,https://github.com/NaturalIntelligence/fast-xml-parser/commit/bd26122c838e6a55e7d7ac49b4ccc01a49999a01,,,7439272f2a98f8a551de7a105faeab58c6fbf74a,bd26122c838e6a55e7d7ac49b4ccc01a49999a01 | 870043e75e78545192bc70950c6286d36c7cdf23,,,
CVE-2026-33186,google.golang.org/grpc,Critical,False,,0.00014,0.02565,no,,,,,,,,dda86dbd9cecb8b35b58c73d507d81d67761205f,,,
CVE-2026-33349,fast-xml-parser,Medium,False,,0.00031,0.08787,no,,https://github.com/NaturalIntelligence/fast-xml-parser/commit/239b64aa1fc5c5455ddebbbb54a187eb68c9fdb7,,https://github.com/NaturalIntelligence/fast-xml-parser/commit/239b64aa1fc5c5455ddebbbb54a187eb68c9fdb7,,,7439272f2a98f8a551de7a105faeab58c6fbf74a,a21c44123cdf0f8fb5b56d33386ed3be4e180953,,,
CVE-2026-33809,golang.org/x/image,Medium,False,,0.00036,0.10602,no,,,,,,,,,,,
CVE-2026-4800,lodash,High,False,,0.00068,0.21122,no,,,,,,,,,,,
