cve,package,severity,kev,kev_date_added,epss,epss_percentile,exploitdb,exploitdb_ids,commit_links,patch_links,fix_commits,repo_urls,ghsa_ids,introduced_versions,fixed_versions,cvss_base,cvss_vector,cvss_version
CVE-2015-9244,mysql,Medium,False,,0.00941,0.76189,no,,,,,,,,,9.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,3.1
CVE-2020-29652,golang.org/x/crypto,High,False,,0.00031,0.08702,no,,,,,,,,,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.1
CVE-2020-8158,typeorm,Critical,False,,0.00284,0.51718,no,,,,,,,,eaadf201dcc464f667f0bcda0a2415de2097b8d2,9.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,3.1
CVE-2020-8911,github.com/aws/aws-sdk-go,Medium,False,,0.00203,0.42438,no,,,,,,,,,5.6,CVSS:3.1/AV:L/AC:H/PR:L/UI:N/S:C/C:H/I:N/A:N,3.1
CVE-2020-8912,github.com/aws/aws-sdk-go,Low,False,,0.00141,0.34342,no,,,,,,,,,2.5,CVSS:3.1/AV:L/AC:H/PR:L/UI:N/S:U/C:L/I:N/A:N,3.1
CVE-2021-20329,go.mongodb.org/mongo-driver,Medium,False,,0.0014,0.34226,no,,,,,,,,40c0e70826f57cf9d942045a014367d9b3c94251,6.5,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:H/A:N,3.1
CVE-2021-31525,golang.org/x/net,Medium,False,,0.00022,0.0573,no,,,,,,,,07d8cba9e15f5c5a3b0462a9215dbeac0cebf027 | 04cd717a269d94d3b3459a3aaf43bc71e3112b7a,5.9,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:N/A:H,3.1
CVE-2021-33194,golang.org/x/net,High,False,,0.00039,0.11668,no,,https://github.com/golang/net/commit/37e1c6afe02340126705deced573a85ab75209d7,,https://github.com/golang/net/commit/37e1c6afe02340126705deced573a85ab75209d7,,,,37e1c6afe02340126705deced573a85ab75209d7,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.1
CVE-2021-38561,golang.org/x/text,High,False,,0.00053,0.16742,no,,,,,,,,383b2e75a7a4198c42f8f87833eefb772868a56f,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.1
CVE-2021-43565,golang.org/x/crypto,High,False,,0.00015,0.03218,no,,,,,,,,,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.1
CVE-2022-2582,github.com/aws/aws-sdk-go,Medium,False,,0.00113,0.2993,no,,https://github.com/aws/aws-sdk-go/commit/35fa6ddf45c061e0f08d3a3b5119f8f4da38f6d1,,https://github.com/aws/aws-sdk-go/commit/35fa6ddf45c061e0f08d3a3b5119f8f4da38f6d1,,,,35fa6ddf45c061e0f08d3a3b5119f8f4da38f6d1,4.3,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:N/A:N,3.1
CVE-2022-27191,golang.org/x/crypto,High,False,,0.00089,0.25443,no,,,,,,,,,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.1
CVE-2022-27664,golang.org/x/net,High,False,,0.00101,0.27932,no,,,,,,,,170d78d9baa82d1b64682c5d1f15e5f386f18f3e,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.1
CVE-2022-28948,gopkg.in/yaml.v3,High,False,,0.01524,0.81217,no,,,,,,,,,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.1
CVE-2022-29526,golang.org/x/sys,Medium,False,,0.00182,0.39998,no,,,,,,,,085c61ae517110168841be0afeb8f883d66fe95a | 8ed0e51b5e5cc50985444f39dc56c55e4fa3bcf9,5.3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N,3.1
CVE-2022-32149,golang.org/x/text,High,False,,0.00054,0.17108,no,,,,,,,,434eadcdbc3b0256971992e8c70027278364c72c,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.1
