cve,package,severity,kev,kev_date_added,epss,epss_percentile,exploitdb,exploitdb_ids,commit_links,patch_links,fix_commits,repo_urls,ghsa_ids,introduced_versions,fixed_versions,cvss_base,cvss_vector,cvss_version
CVE-2020-15168,node-fetch,Low,False,,0.00114,0.30028,no,,,,,,,,b5e2e41b2b50bf2997720d6125accaf0dd68c0ab,5.3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L,3.1
CVE-2020-28500,lodash,Medium,False,,0.00245,0.47737,no,,https://github.com/lodash/lodash/pull/5065,,https://github.com/lodash/lodash/pull/5065,,,,c6e281b878b315c7a10d90f9c2af4cdb112d9625 | 506f585d78d236075f5d47b240518f3e1fdf5811,5.3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L,3.1
CVE-2020-8203,lodash,High,False,,0.0357,0.87679,no,,,,,,,,f2e7063ee409ff40a60b14370c58dceee1a2efd4,7.4,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:H/A:H,3.1
CVE-2021-23337,lodash,High,False,,0.00463,0.6426,no,,,,,,,,c6e281b878b315c7a10d90f9c2af4cdb112d9625 | 506f585d78d236075f5d47b240518f3e1fdf5811,7.2,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H,3.1
CVE-2022-0235,node-fetch,High,False,,0.00534,0.67363,no,,https://github.com/node-fetch/node-fetch/commit/36e47e8a6406185921e4985dcbeff140d73eaa10,,https://github.com/node-fetch/node-fetch/commit/36e47e8a6406185921e4985dcbeff140d73eaa10,,,2603c67f1840fb4a43e0837099a3b2725e8f615e,36e47e8a6406185921e4985dcbeff140d73eaa10,6.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,3.1
CVE-2022-3517,minimatch,High,False,,0.00452,0.63691,no,,https://github.com/isaacs/minimatch/commit/a8763f4388e51956be62dc6025cec1126beeb5e6,,https://github.com/isaacs/minimatch/commit/a8763f4388e51956be62dc6025cec1126beeb5e6,,,,707e1b231d5ddf5b00040bd04968a1a092992d1a | a8763f4388e51956be62dc6025cec1126beeb5e6,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.1
CVE-2024-4068,braces,High,False,,0.00225,0.45186,no,,https://github.com/micromatch/braces/pull/40 | https://github.com/micromatch/braces/commit/415d660c3002d1ab7e63dbf490c9851da80596ff | https://github.com/micromatch/braces/pull/37,,https://github.com/micromatch/braces/pull/40 | https://github.com/micromatch/braces/commit/415d660c3002d1ab7e63dbf490c9851da80596ff | https://github.com/micromatch/braces/pull/37,,,,74b2db2938fad48a2ea54a9c8bf27a37a62c350d | 415d660c3002d1ab7e63dbf490c9851da80596ff,,,
CVE-2025-13465,lodash,Medium,False,,0.00029,0.08366,no,,,,,,,d35a9c40beb594d09814ba7f7673b81d4d67a816,835a537f36ee2fd5fb7f524e213ff9ba2d8698f8,5.3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:N,3.1
CVE-2025-27789,@babel/runtime,Medium,False,,0.00139,0.34159,no,,https://github.com/babel/babel/pull/17173,,https://github.com/babel/babel/pull/17173,,,bdbaca37bf5ec7fb879e729b39d48673f45842f3,e1ce99df422971175249509e7bbc2b327b8f7957 | 786b4357423fb650084503352648af44c8ffc409,,,
CVE-2025-5889,brace-expansion,Low,False,,0.00032,0.09338,no,,,,,,,,c85b8ad3f53d1eb65f4996a495cae61949855f7c,,,
