cve,package,version,severity,kev,kev_date_added,epss,epss_percentile,exploitdb,exploitdb_ids,commit_links,patch_links,fix_commits,repo_urls,ghsa_ids,introduced_versions,fixed_versions,cvss_base,cvss_vector,cvss_version
CVE-2020-7753,trim,0.0.1,High,False,,0.04015,0.88462,no,,,,,,,,,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.1
CVE-2022-25967,eta,1.12.3,High,False,,0.19024,0.9534,no,,https://github.com/eta-dev/eta/commit/5651392462ee0ff19d77c8481081a99e5b9138dd,,https://github.com/eta-dev/eta/commit/5651392462ee0ff19d77c8481081a99e5b9138dd,,,,5651392462ee0ff19d77c8481081a99e5b9138dd | 48ac365eaf382d06e9feb4a0d0b4959e098ac59f,8.8,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,3.1
CVE-2022-33987,got,9.6.0,Medium,False,,0.00807,0.74219,no,,https://github.com/sindresorhus/got/pull/2047,,https://github.com/sindresorhus/got/pull/2047,,,,5e17bb748c260b02e4cf716c2f4079a1c6a7481e,5.3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:N,3.1
CVE-2022-37599,loader-utils,3.2.0,High,False,,0.04206,0.8875,no,,,,,,,8cda6ab3c53791851b1528b3d7d8d7f537ae344f | d9f4e23cf411d8556f8bac2d3bf05a6e0103b568 | e1e9f895df7802a859a0e627081fc8fb5ddd7c86,331ad5067d9a1a7b8d646692e6959639969210d1 | 6688b5028106f144ee9f543bebc8e6a87b57829f | a3fd3ca1a5287d217a2370b0902997544e6b9aa9,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.1
CVE-2022-37603,loader-utils,3.2.0,High,False,,0.01331,0.79982,no,,,,,,,d9f4e23cf411d8556f8bac2d3bf05a6e0103b568 | e1e9f895df7802a859a0e627081fc8fb5ddd7c86,331ad5067d9a1a7b8d646692e6959639969210d1 | 6688b5028106f144ee9f543bebc8e6a87b57829f | a3fd3ca1a5287d217a2370b0902997544e6b9aa9,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.1
CVE-2023-23630,eta,1.12.3,High,False,,0.00404,0.61004,no,,https://github.com/eta-dev/eta/commit/5651392462ee0ff19d77c8481081a99e5b9138dd,,https://github.com/eta-dev/eta/commit/5651392462ee0ff19d77c8481081a99e5b9138dd,,,,5651392462ee0ff19d77c8481081a99e5b9138dd | 48ac365eaf382d06e9feb4a0d0b4959e098ac59f,6.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,3.1
CVE-2023-24531,stdlib,go1.20.12,Critical,False,,0.00481,0.65131,no,,,,,,,,,,,
CVE-2023-26159,follow-redirects,1.15.1,Medium,False,,0.00101,0.27702,no,,https://github.com/follow-redirects/follow-redirects/pull/236,,https://github.com/follow-redirects/follow-redirects/pull/236,,,,65858205e59f1e23c9bf173348a7a7cbb8ac47f5,6.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,3.1
CVE-2023-44270,postcss,8.4.14,Medium,False,,0.00197,0.41638,no,,https://github.com/postcss/postcss/commit/58cc860b4c1707510c9cd1bc1fa30b423a9ad6c5,,https://github.com/postcss/postcss/commit/58cc860b4c1707510c9cd1bc1fa30b423a9ad6c5,,,,90208de8805dd762596c0028b8637ffbed23e371 | 58cc860b4c1707510c9cd1bc1fa30b423a9ad6c5,5.3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:N,3.1
CVE-2023-45288,stdlib,go1.20.12,High,False,,0.71463,0.9873,no,,,,,,,,,,,
