cve,package,severity,kev,kev_date_added,epss,epss_percentile,exploitdb,exploitdb_ids,commit_links,patch_links,fix_commits,repo_urls,ghsa_ids,introduced_versions,fixed_versions,cvss_base,cvss_vector,cvss_version
CVE-2024-47081,requests,Medium,False,,0.0007,0.2163,no,,https://github.com/psf/requests/commit/96ba401c1296ab1dda74a2365ef36d88f7d144ef | https://github.com/psf/requests/pull/6965,,https://github.com/psf/requests/commit/96ba401c1296ab1dda74a2365ef36d88f7d144ef | https://github.com/psf/requests/pull/6965,,,,021dc729f0b71a3030cefdbec7fb57a0e80a6cfd,,,
CVE-2024-56201,jinja2,Medium,False,,0.00459,0.64001,no,,https://github.com/pallets/jinja/commit/767b23617628419ae3709ccfb02f9602ae9fe51f,,https://github.com/pallets/jinja/commit/767b23617628419ae3709ccfb02f9602ae9fe51f,,,417f822196f66155e8c121e5229cc12a6b02ce14,877f6e51be8e1765b06d911cfaa9033775f051d1,8.8,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H,3.1
CVE-2024-56326,jinja2,Medium,False,,0.00336,0.56438,no,,https://github.com/pallets/jinja/commit/48b0687e05a5466a91cd5812d604fa37ad0943b4,,https://github.com/pallets/jinja/commit/48b0687e05a5466a91cd5812d604fa37ad0943b4,,,,877f6e51be8e1765b06d911cfaa9033775f051d1,,,
CVE-2025-27516,jinja2,Medium,False,,0.00214,0.43936,no,,https://github.com/pallets/jinja/commit/90457bbf33b8662926ae65cdde4c4c32e756e403,,https://github.com/pallets/jinja/commit/90457bbf33b8662926ae65cdde4c4c32e756e403,,,,15206881c006c79667fe5154fe80c01c65410679,8.8,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H,3.1
CVE-2025-43859,h11,Critical,False,,0.00346,0.5716,no,,https://github.com/python-hyper/h11/commit/114803a29ce50116dc47951c690ad4892b1a36ed,,https://github.com/python-hyper/h11/commit/114803a29ce50116dc47951c690ad4892b1a36ed,,,,1c5b07581f058886c8bdd87adababd7d959dc7ca,,,
CVE-2025-4565,protobuf,High,False,,5e-05,0.00214,no,,https://github.com/protocolbuffers/protobuf/commit/17838beda2943d08b8a9d4df5b68f5f04f26d901,,https://github.com/protocolbuffers/protobuf/commit/17838beda2943d08b8a9d4df5b68f5f04f26d901,,,d6511091a0cab1ad13f676a02676ad2a0e5eb9ae | d295af5c3002c08e1bfd9d7f9e175d0a4d015f1e,a4cbdd3ed0042e8f9b9c30e8b0634096d9532809 | f5de0a0495faa63b4186fc767324f8b9a7bf4fc4 | 74211c0dfc2777318ab53c2cd2c317a2ef9012de | 17838beda2943d08b8a9d4df5b68f5f04f26d901,5.3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L,3.1
CVE-2025-50181,urllib3,Medium,False,,0.00026,0.07109,no,,https://github.com/urllib3/urllib3/commit/f05b1329126d5be6de501f9d1e3e36738bc08857,,https://github.com/urllib3/urllib3/commit/f05b1329126d5be6de501f9d1e3e36738bc08857,,,,aaab4eccc10c965897540b21e15f11859d0b62e7,6.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,3.1
CVE-2025-50182,urllib3,Medium,False,,0.00022,0.05753,no,,https://github.com/urllib3/urllib3/commit/7eb4a2aafe49a279c29b6d1f0ed0f42e9736194f,,https://github.com/urllib3/urllib3/commit/7eb4a2aafe49a279c29b6d1f0ed0f42e9736194f,,,04df048cf4b1c3790c56e26c659db764aad62d6f,aaab4eccc10c965897540b21e15f11859d0b62e7,6.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,3.1
CVE-2025-53643,aiohttp,Low,False,,0.00078,0.23245,no,,https://github.com/aio-libs/aiohttp/commit/e8d774f635dc6d1cd3174d0e38891da5de0e2b6a,,https://github.com/aio-libs/aiohttp/commit/e8d774f635dc6d1cd3174d0e38891da5de0e2b6a,,,,90b6cf6f3e303309db6d388f1e53d0f30997e1c8,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N,3.1
CVE-2025-66418,urllib3,High,False,,0.00029,0.08088,no,,https://github.com/urllib3/urllib3/commit/24d7b67eac89f94e11003424bcf0d8f7b72222a8,,https://github.com/urllib3/urllib3/commit/24d7b67eac89f94e11003424bcf0d8f7b72222a8,,,ef0c74542abe69421a86c4d3c6a86fe43cb809a4,720f484b605f18887a48eef448d0084e2b76902d,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.1
