cve,package,severity,kev,kev_date_added,epss,epss_percentile,exploitdb,exploitdb_ids,commit_links,patch_links,fix_commits,repo_urls,ghsa_ids,introduced_versions,fixed_versions,cvss_base,cvss_vector,cvss_version
CVE-2023-41419,gevent,Critical,False,,0.04325,0.88867,no,,https://github.com/gevent/gevent/commit/2f53c851eaf926767fbac62385615efd4886221c,,https://github.com/gevent/gevent/commit/2f53c851eaf926767fbac62385615efd4886221c,,,,693181e8e109f1a91d1783cb06c758329553fc72 | 2f53c851eaf926767fbac62385615efd4886221c,9.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,3.1
CVE-2025-4565,protobuf,High,False,,5e-05,0.00214,no,,https://github.com/protocolbuffers/protobuf/commit/17838beda2943d08b8a9d4df5b68f5f04f26d901,,https://github.com/protocolbuffers/protobuf/commit/17838beda2943d08b8a9d4df5b68f5f04f26d901,,,d6511091a0cab1ad13f676a02676ad2a0e5eb9ae | d295af5c3002c08e1bfd9d7f9e175d0a4d015f1e,a4cbdd3ed0042e8f9b9c30e8b0634096d9532809 | f5de0a0495faa63b4186fc767324f8b9a7bf4fc4 | 74211c0dfc2777318ab53c2cd2c317a2ef9012de | 17838beda2943d08b8a9d4df5b68f5f04f26d901,5.3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L,3.1
CVE-2025-6176,brotli,High,False,,0.00028,0.08,no,,,,,,,,,,,
CVE-2025-62727,starlette,High,False,,0.00449,0.63577,no,,https://github.com/Kludex/starlette/commit/4ea6e22b489ec388d6004cfbca52dd5b147127c5 | https://github.com/Kludex/starlette/commit/69ed26a85956ef4bd0161807eb27abf49be7cd3c,,https://github.com/Kludex/starlette/commit/4ea6e22b489ec388d6004cfbca52dd5b147127c5 | https://github.com/Kludex/starlette/commit/69ed26a85956ef4bd0161807eb27abf49be7cd3c,,,,4ea6e22b489ec388d6004cfbca52dd5b147127c5 | 69ed26a85956ef4bd0161807eb27abf49be7cd3c | 7e4b7428f273dbdc875dcd036d20804bcfc7b2ee,,,
CVE-2025-66034,fonttools,Medium,False,,0.00124,0.31749,no,,https://github.com/fonttools/fonttools/commit/a696d5ba93270d5954f98e7cab5ddca8a02c1e32,,https://github.com/fonttools/fonttools/commit/a696d5ba93270d5954f98e7cab5ddca8a02c1e32,,,f81ec49a666fbb35ea0af975d80d6a6a06ccc43a,78ba5e8bb4ccf65ef8077d81bc48450ccacf1728,9.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,3.1
CVE-2025-66221,werkzeug,Medium,False,,0.00032,0.0918,no,,https://github.com/pallets/werkzeug/commit/4b833376a45c323a189cd11d2362bcffdb1c0c13,,https://github.com/pallets/werkzeug/commit/4b833376a45c323a189cd11d2362bcffdb1c0c13,,,,1c7beb671d1af67a07684ffa1fffdb0fc76c7fa4,5.3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L,3.1
CVE-2025-66418,urllib3,High,False,,0.00029,0.08088,no,,https://github.com/urllib3/urllib3/commit/24d7b67eac89f94e11003424bcf0d8f7b72222a8,,https://github.com/urllib3/urllib3/commit/24d7b67eac89f94e11003424bcf0d8f7b72222a8,,,ef0c74542abe69421a86c4d3c6a86fe43cb809a4,720f484b605f18887a48eef448d0084e2b76902d,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.1
CVE-2025-66471,urllib3,High,False,,0.00027,0.0744,no,,https://github.com/urllib3/urllib3/commit/c19571de34c47de3a766541b041637ba5f716ed7,,https://github.com/urllib3/urllib3/commit/c19571de34c47de3a766541b041637ba5f716ed7,,,04c6c18b6630386334fb010079a3ae3cdc59eea2,720f484b605f18887a48eef448d0084e2b76902d,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.1
CVE-2025-67221,orjson,High,False,,0.00025,0.06627,no,,,,,,,,,,,
CVE-2025-68146,filelock,Medium,False,,4e-05,0.00159,no,,https://github.com/tox-dev/filelock/commit/4724d7f8c3393ec1f048c93933e6e3e6ec321f0e | https://github.com/tox-dev/filelock/pull/461,,https://github.com/tox-dev/filelock/commit/4724d7f8c3393ec1f048c93933e6e3e6ec321f0e | https://github.com/tox-dev/filelock/pull/461,,,,377f62251d7cdf30768cc9ee1eb31cea1551c71b,6.5,CVSS:3.1/AV:L/AC:H/PR:L/UI:N/S:U/C:L/I:H/A:H,3.1
