cve,package,severity,kev,kev_date_added,epss,epss_percentile,exploitdb,exploitdb_ids,commit_links,patch_links,fix_commits,repo_urls,ghsa_ids,introduced_versions,fixed_versions,cvss_base,cvss_vector,cvss_version
CVE-2025-13465,lodash,Medium,False,,0.00029,0.08366,no,,,,,,,d35a9c40beb594d09814ba7f7673b81d4d67a816,835a537f36ee2fd5fb7f524e213ff9ba2d8698f8,5.3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:N,3.1
CVE-2025-8869,pip,Medium,False,,0.0002,0.05366,no,,https://github.com/pypa/pip/pull/13550,,https://github.com/pypa/pip/pull/13550,,,,,,,
CVE-2026-1525,undici,Medium,False,,0.00016,0.03742,no,,,,,,,1cfe0949053aac6267f11b919cee9315a27f1fd6,8873c947271faf1ebc455bdc6158ecbc022ecfa9 | 07a39067a0485c1953196f500d945fe09378a176,9.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,3.1
CVE-2026-1526,undici,High,False,,0.00018,0.04784,no,,,,,,,1cfe0949053aac6267f11b919cee9315a27f1fd6,8873c947271faf1ebc455bdc6158ecbc022ecfa9 | 07a39067a0485c1953196f500d945fe09378a176,,,
CVE-2026-1527,undici,Medium,False,,9e-05,0.00946,no,,,,,,,1cfe0949053aac6267f11b919cee9315a27f1fd6,8873c947271faf1ebc455bdc6158ecbc022ecfa9 | 07a39067a0485c1953196f500d945fe09378a176,,,
CVE-2026-1528,undici,High,False,,0.00128,0.32332,no,,,,,,,1cfe0949053aac6267f11b919cee9315a27f1fd6,8873c947271faf1ebc455bdc6158ecbc022ecfa9 | 07a39067a0485c1953196f500d945fe09378a176,,,
CVE-2026-1703,pip,Low,False,,0.00022,0.05901,no,,https://github.com/pypa/pip/pull/13777 | https://github.com/pypa/pip/commit/8e227a9be4faa9594e05d02ca05a413a2a4e7735,,https://github.com/pypa/pip/pull/13777 | https://github.com/pypa/pip/commit/8e227a9be4faa9594e05d02ca05a413a2a4e7735,,,,8e227a9be4faa9594e05d02ca05a413a2a4e7735,,,
CVE-2026-2229,undici,High,False,,0.00186,0.40468,no,,,,,,,1cfe0949053aac6267f11b919cee9315a27f1fd6,8873c947271faf1ebc455bdc6158ecbc022ecfa9 | 07a39067a0485c1953196f500d945fe09378a176,,,
CVE-2026-22815,aiohttp,Medium,False,,0.0004,0.122,no,,,,,,,,,,,
CVE-2026-25645,requests,Medium,False,,4e-05,0.00191,no,,https://github.com/psf/requests/commit/66d21cb07bd6255b1280291c4fafb71803cdb3b7,,https://github.com/psf/requests/commit/66d21cb07bd6255b1280291c4fafb71803cdb3b7,,,,bc04dfd6dad4cb02cd92f5daa81eb562d280a761,5.5,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:H/A:N,3.1
CVE-2026-2581,undici,Medium,False,,0.00018,0.04293,no,,,,,,,d5607677d444553183b0a637f687d20167427b36,07a39067a0485c1953196f500d945fe09378a176,,,
CVE-2026-26209,cbor2,High,False,,0.00055,0.17309,no,,https://github.com/agronholm/cbor2/commit/e61a5f365ba610d5907a0ae1bc72769bba34294b | https://github.com/agronholm/cbor2/pull/275,,https://github.com/agronholm/cbor2/commit/e61a5f365ba610d5907a0ae1bc72769bba34294b | https://github.com/agronholm/cbor2/pull/275,,,,93c598838d50b554e242920902aada82d32d55bc,,,
CVE-2026-26996,minimatch,High,False,,0.00018,0.04658,no,,https://github.com/isaacs/minimatch/commit/2e111f3a79abc00fa73110195de2c0f2351904f5,,https://github.com/isaacs/minimatch/commit/2e111f3a79abc00fa73110195de2c0f2351904f5,,,346685ced5203464bb10fd3d4dfa6964f6102ede,6d7ac34de6979f0b028b34fecd40349cd4dde186,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.1
CVE-2026-27699,basic-ftp,Critical,False,,0.00095,0.26527,no,,https://github.com/patrickjuchli/basic-ftp/commit/2a2a0e6514357b9eda07c2f8afbd3f04727a7cd9,,https://github.com/patrickjuchli/basic-ftp/commit/2a2a0e6514357b9eda07c2f8afbd3f04727a7cd9,,,,5d41e45073ed1a8a3b5e5a1bbfcd131e61295bf8,9.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,3.1
CVE-2026-27903,minimatch,High,False,,0.0002,0.05286,no,,,,,,,346685ced5203464bb10fd3d4dfa6964f6102ede | b95cb1e4404ce374e447b3b1bfde837e74f139bd | 5d20578d5749f53f3413b7ca413e5658d6ab0d05 | ce9e6a4b42eb8a4c39eff1258affa9d37c66101b | 31f61eeaa6c4493f81bf5eb0a146f23e538fdfd7 | fc44f5f9123f534ecbf76af65558eb87d90f1028 | 26d281dc585af91df47cb93844e227e0ee90b7ce,ea94840326c3f40522f1b544bd2303024b0eec35 | 2de496f6d9362dd92460f35ffa6ff8de2907244b | a5f07f4b8de8a068e8fcafd44e7cafc2a8fe7be3 | 6fcf01a77e8a85765609e41be089595a36989e07 | dc3340d6509d25d4bb75258e6d3b4403bb1cd9c3 | e92ae291a1e512f2d7ae13d6797b02315f68a40c | 5970751fa5886750886a59a20de834d54b4e2541 | 00c323b188b704e5d4bc534ecec2268cfa70a32a,,,
CVE-2026-27904,minimatch,High,False,,0.00018,0.04695,no,,,,,,,346685ced5203464bb10fd3d4dfa6964f6102ede | b95cb1e4404ce374e447b3b1bfde837e74f139bd | 5d20578d5749f53f3413b7ca413e5658d6ab0d05 | ce9e6a4b42eb8a4c39eff1258affa9d37c66101b | 31f61eeaa6c4493f81bf5eb0a146f23e538fdfd7 | fc44f5f9123f534ecbf76af65558eb87d90f1028 | 26d281dc585af91df47cb93844e227e0ee90b7ce,ea94840326c3f40522f1b544bd2303024b0eec35 | 2de496f6d9362dd92460f35ffa6ff8de2907244b | a5f07f4b8de8a068e8fcafd44e7cafc2a8fe7be3 | 6fcf01a77e8a85765609e41be089595a36989e07 | dc3340d6509d25d4bb75258e6d3b4403bb1cd9c3 | e92ae291a1e512f2d7ae13d6797b02315f68a40c | 5970751fa5886750886a59a20de834d54b4e2541 | 1a2e084af579731af66c221214e3ca8222c9bf23,,,
CVE-2026-27942,fast-xml-parser,Low,False,,0.00054,0.17096,no,,https://github.com/NaturalIntelligence/fast-xml-parser/commit/c13a961910f14986295dd28484eee830fa1a0e8a | https://github.com/NaturalIntelligence/fast-xml-parser/pull/791,,https://github.com/NaturalIntelligence/fast-xml-parser/commit/c13a961910f14986295dd28484eee830fa1a0e8a | https://github.com/NaturalIntelligence/fast-xml-parser/pull/791,,,2f7d138af8338aaf65c1d98902f76259c7233373,c692040f6b5f5045d38b66b1da04e4d3abc97052,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.1
CVE-2026-2950,lodash,Medium,False,,0.00042,0.12856,no,,,,,,,,,,,
CVE-2026-31808,file-type,Medium,False,,0.00028,0.0779,no,,https://github.com/sindresorhus/file-type/commit/319abf871b50ba2fa221b4a7050059f1ae096f4f,,https://github.com/sindresorhus/file-type/commit/319abf871b50ba2fa221b4a7050059f1ae096f4f,,,9e910d8a95e883271b4ef77feaa225dcc21d9782,ad5857e5384874e853cc9c4c29b867f1135a7c30,,,
CVE-2026-32256,music-metadata,High,False,,0.00019,0.04902,no,,,,,,,,894a9e83668aedd85a430f3a5ef4e025e107645d,,,
CVE-2026-32597,pyjwt,High,False,,9e-05,0.00913,no,,,,,,,,bd9700cca7f9258fadcc429c1034e508025931f2,,,
CVE-2026-32630,file-type,Medium,False,,0.00051,0.15932,no,,https://github.com/sindresorhus/file-type/commit/399b0f156063f5aeb1c124a7fd61028f3ea7c124,,https://github.com/sindresorhus/file-type/commit/399b0f156063f5aeb1c124a7fd61028f3ea7c124,,,3945d7fa20b05d03fd0100578ca5332b7acfa467,e18028c3cc19441477c3459991fee9770d88c218,,,
CVE-2026-33036,fast-xml-parser,High,False,,0.00052,0.16394,no,,https://github.com/NaturalIntelligence/fast-xml-parser/commit/bd26122c838e6a55e7d7ac49b4ccc01a49999a01,,https://github.com/NaturalIntelligence/fast-xml-parser/commit/bd26122c838e6a55e7d7ac49b4ccc01a49999a01,,,7439272f2a98f8a551de7a105faeab58c6fbf74a,bd26122c838e6a55e7d7ac49b4ccc01a49999a01 | 870043e75e78545192bc70950c6286d36c7cdf23,,,
CVE-2026-33349,fast-xml-parser,Medium,False,,0.00031,0.08787,no,,https://github.com/NaturalIntelligence/fast-xml-parser/commit/239b64aa1fc5c5455ddebbbb54a187eb68c9fdb7,,https://github.com/NaturalIntelligence/fast-xml-parser/commit/239b64aa1fc5c5455ddebbbb54a187eb68c9fdb7,,,7439272f2a98f8a551de7a105faeab58c6fbf74a,a21c44123cdf0f8fb5b56d33386ed3be4e180953,,,
CVE-2026-33671,picomatch,High,False,,0.00055,0.17433,no,,https://github.com/micromatch/picomatch/commit/5eceecd27543b8e056b9307d69e105ea03618a7d,,https://github.com/micromatch/picomatch/commit/5eceecd27543b8e056b9307d69e105ea03618a7d,,,bc719c4c7ee0b1f7e1d1bdd27d60ae1779a43d89,e5474fc1a4d7991870058170407dda8a42be5334 | 81cba8d4b767cab3cb29d26eb4f691eed75b73b2 | a2197c6e7ddddda3733f9d738622a668d41c3b6a,,,
CVE-2026-33672,picomatch,Medium,False,,0.00165,0.37569,no,,https://github.com/micromatch/picomatch/commit/4516eb521f13a46b2fe1a1d2c9ef6b20ddc0e903,,https://github.com/micromatch/picomatch/commit/4516eb521f13a46b2fe1a1d2c9ef6b20ddc0e903,,,bc719c4c7ee0b1f7e1d1bdd27d60ae1779a43d89,e5474fc1a4d7991870058170407dda8a42be5334 | 81cba8d4b767cab3cb29d26eb4f691eed75b73b2 | a2197c6e7ddddda3733f9d738622a668d41c3b6a,,,
CVE-2026-33750,brace-expansion,Medium,False,,0.00058,0.18461,no,,https://github.com/juliangruber/brace-expansion/commit/311ac0d54994158c0a384e286a7d6cbb17ee8ed5 | https://github.com/juliangruber/brace-expansion/commit/7fd684f89fdde3549563d0a6522226a9189472a2 | https://github.com/juliangruber/brace-expansion/commit/b9cacd9e55e7a1fa588fe4b7bb1159d52f1d902a | https://github.com/juliangruber/brace-expansion/pull/95 | https://github.com/juliangruber/brace-expansion/pull/96 | https://github.com/juliangruber/brace-expansion/pull/97,,https://github.com/juliangruber/brace-expansion/commit/311ac0d54994158c0a384e286a7d6cbb17ee8ed5 | https://github.com/juliangruber/brace-expansion/commit/7fd684f89fdde3549563d0a6522226a9189472a2 | https://github.com/juliangruber/brace-expansion/commit/b9cacd9e55e7a1fa588fe4b7bb1159d52f1d902a | https://github.com/juliangruber/brace-expansion/pull/95 | https://github.com/juliangruber/brace-expansion/pull/96 | https://github.com/juliangruber/brace-expansion/pull/97,,,6a39bdddcf944374b475d99b0e8292d3727c7ebe | b01a637b0578a7c59acc7d8386f11f8d0710b512 | 0b6a022491103b806770bc037654744bef3e63be,87939017c6cb6be56b98c6fa2059b073315cd534 | 67ff947eb70ec5d57961f9e09b205487498fc4ed | 73b5459d2ab973c984d01324769d306f66440c7e | 6c353caf23beb9644f858eb3fe38d43a68b82898,,,
CVE-2026-34043,serialize-javascript,Medium,False,,0.00038,0.11348,no,,https://github.com/yahoo/serialize-javascript/commit/f147e90269b58bb6e539cfdf3d0e20d6ad14204b,,https://github.com/yahoo/serialize-javascript/commit/f147e90269b58bb6e539cfdf3d0e20d6ad14204b,,,,df3f1c1fa9ca16b050ae893cb63ac23c91deed55,,,
CVE-2026-34073,cryptography,Low,False,,0.00023,0.06218,no,,,,,,,,91d728897bdad30cd5c79a2b23e207f1f050d587,,,
CVE-2026-34513,aiohttp,Low,False,,0.0004,0.122,no,,,,,,,,,,,
CVE-2026-34514,aiohttp,Low,False,,0.00045,0.13732,no,,,,,,,,,,,
CVE-2026-34515,aiohttp,Medium,False,,0.00057,0.18133,no,,,,,,,,,,,
CVE-2026-34516,aiohttp,Medium,False,,0.0004,0.122,no,,,,,,,,,,,
CVE-2026-34517,aiohttp,Low,False,,0.0004,0.122,no,,,,,,,,,,,
CVE-2026-34518,aiohttp,Low,False,,0.0004,0.122,no,,,,,,,,,,,
CVE-2026-34519,aiohttp,Low,False,,0.00045,0.13732,no,,,,,,,,,,,
CVE-2026-34520,aiohttp,Low,False,,0.00045,0.13732,no,,,,,,,,,,,
CVE-2026-34525,aiohttp,Medium,False,,0.00085,0.24814,no,,,,,,,,,,,
CVE-2026-4539,pygments,Low,False,,0.00014,0.02715,no,,,,,,,,,,,
CVE-2026-4800,lodash,High,False,,0.00068,0.21122,no,,,,,,,,,,,
CVE-2026-4867,path-to-regexp,High,False,,0.0005,0.1546,no,,,,,,,,,,,
