cve,package,severity,kev,kev_date_added,epss,epss_percentile,exploitdb,exploitdb_ids,commit_links,patch_links,fix_commits,repo_urls,ghsa_ids,introduced_versions,fixed_versions,cvss_base,cvss_vector,cvss_version
CVE-2025-0913,stdlib,Medium,False,,0.00015,0.03037,no,,,,,,,3901409b5d0fb7c85a3e6730a59943cc93b2835c,d375ae50633cdf1cd8536f2a199c382f9053b638 | 6796ebb2cb66b316a07998cdcd69b1c486b8579e,,,
CVE-2025-15558,github.com/docker/cli,High,False,,0.0002,0.05257,no,,https://github.com/docker/cli/pull/6713,,https://github.com/docker/cli/pull/6713,,,,,8,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:U/C:H/I:H/A:H,3.1
CVE-2025-22871,stdlib,Critical,False,,0.00127,0.32204,no,,,,,,,,,,,
CVE-2025-22873,stdlib,Low,False,,4e-05,0.00178,no,,,,,,,3901409b5d0fb7c85a3e6730a59943cc93b2835c,f77084d15d53e6aa09d2e7f867e69cc9766da2c5 | 34c8b14ca9f4096383d658fbd748322a993a2bd2,,,
CVE-2025-22874,stdlib,High,False,,0.00025,0.06899,no,,,,,,,,,,,
CVE-2025-29923,github.com/redis/go-redis/v9,Low,False,,0.00038,0.11647,no,,https://github.com/redis/go-redis/commit/d236865b0cfa1b752ea4b7da666b1fdcd0acebb6 | https://github.com/redis/go-redis/pull/3295,,https://github.com/redis/go-redis/commit/d236865b0cfa1b752ea4b7da666b1fdcd0acebb6 | https://github.com/redis/go-redis/pull/3295,,,ad131f49b0210b3252648b880921b9f6d2fe452e | 1c0efc2325ad23d515a3ce8f173a58608ca8d312 | d43a9fa887d9284ba42fcd46d46e97c56b34e132,a29d91d9ca72a9c26708fba7dc9872f339a3549e | 3aaa9771ea8d2b764fd2ef4a60d7894d44e0fd3e | 35d4e596d997848b1b2f50e1afcd0edab91d4c67,,,
CVE-2025-4673,stdlib,Medium,False,,0.00021,0.05503,no,,,,,,,,,,,
CVE-2025-4674,stdlib,High,False,,5e-05,0.00256,no,,,,,,,3901409b5d0fb7c85a3e6730a59943cc93b2835c,0a75dd7c2dcf7057ef200290d8f5c4c1514dba80 | 9d828e80fa1f3cc52de60428cae446b35b576de8,,,
CVE-2025-47906,stdlib,Medium,False,,0.00028,0.078,no,,,,,,,3901409b5d0fb7c85a3e6730a59943cc93b2835c,dd8b7ad9268c2fbde675132a41b4e4da02eef94d | 7f36edc26d4e3becb6d9c9008ff00f260bb19055,,,
CVE-2025-47907,stdlib,High,False,,0.00012,0.0147,no,,,,,,,3901409b5d0fb7c85a3e6730a59943cc93b2835c,dd8b7ad9268c2fbde675132a41b4e4da02eef94d | 7f36edc26d4e3becb6d9c9008ff00f260bb19055,,,
CVE-2025-47912,stdlib,Medium,False,,0.00022,0.05802,no,,,,,,,6e676ab2b809d46623acb5988248d95d1eb7939c,3a666bca00d7fb30d55e252131ea2cf2006dc3a3 | bed6c81c2dceeb19c7f9e46fc173671abcda7cfd,,,
CVE-2025-58183,stdlib,Medium,False,,0.00012,0.01864,no,,,,,,,,,,,
CVE-2025-58185,stdlib,Medium,False,,0.00023,0.06096,no,,,,,,,6e676ab2b809d46623acb5988248d95d1eb7939c,3a666bca00d7fb30d55e252131ea2cf2006dc3a3 | bed6c81c2dceeb19c7f9e46fc173671abcda7cfd,,,
CVE-2025-58186,stdlib,Medium,False,,0.00028,0.07774,no,,,,,,,,,,,
CVE-2025-58187,stdlib,High,False,,0.00013,0.02064,no,,,,,,,6e676ab2b809d46623acb5988248d95d1eb7939c,8e10ef451a1b6a1e8861ced1154e1c3265bfa01b | 28622c19591d95c9a83f706f2ed1b303d58da85f,,,
CVE-2025-58188,stdlib,High,False,,6e-05,0.00399,no,,,,,,,6e676ab2b809d46623acb5988248d95d1eb7939c,3a666bca00d7fb30d55e252131ea2cf2006dc3a3 | bed6c81c2dceeb19c7f9e46fc173671abcda7cfd,,,
CVE-2025-58189,stdlib,Medium,False,,9e-05,0.00888,no,,,,,,,6e676ab2b809d46623acb5988248d95d1eb7939c,3a666bca00d7fb30d55e252131ea2cf2006dc3a3 | bed6c81c2dceeb19c7f9e46fc173671abcda7cfd,,,
CVE-2025-61723,stdlib,High,False,,0.00027,0.07653,no,,,,,,,6e676ab2b809d46623acb5988248d95d1eb7939c,3a666bca00d7fb30d55e252131ea2cf2006dc3a3 | bed6c81c2dceeb19c7f9e46fc173671abcda7cfd,,,
CVE-2025-61724,stdlib,Medium,False,,0.00016,0.03374,no,,,,,,,6e676ab2b809d46623acb5988248d95d1eb7939c,3a666bca00d7fb30d55e252131ea2cf2006dc3a3 | bed6c81c2dceeb19c7f9e46fc173671abcda7cfd,,,
CVE-2025-61725,stdlib,High,False,,0.00028,0.0806,no,,,,,,,,,,,
CVE-2025-61726,stdlib,High,False,,0.00032,0.09324,no,,,,,,,6e676ab2b809d46623acb5988248d95d1eb7939c,63a1b82d1e68ddd87652467303901593efe0ff11 | 69801b25b9624c3a678ef87d30771861e7bba51f,,,
CVE-2025-61727,stdlib,Medium,False,,0.00011,0.01439,no,,,,,,,6e676ab2b809d46623acb5988248d95d1eb7939c,1296453960bac0fb5675853c40e3747e5237e16e | fefb02adf45c4bcc879bd406a8d61f2a292c26a9,,,
CVE-2025-61728,stdlib,Medium,False,,0.00022,0.05923,no,,,,,,,6e676ab2b809d46623acb5988248d95d1eb7939c,63a1b82d1e68ddd87652467303901593efe0ff11 | 69801b25b9624c3a678ef87d30771861e7bba51f,,,
CVE-2025-61729,stdlib,High,False,,0.00022,0.0591,no,,,,,,,6e676ab2b809d46623acb5988248d95d1eb7939c,1296453960bac0fb5675853c40e3747e5237e16e | fefb02adf45c4bcc879bd406a8d61f2a292c26a9,,,
CVE-2025-61730,stdlib,Medium,False,,8e-05,0.00781,no,,,,,,,6e676ab2b809d46623acb5988248d95d1eb7939c,63a1b82d1e68ddd87652467303901593efe0ff11 | 69801b25b9624c3a678ef87d30771861e7bba51f,,,
CVE-2025-61731,stdlib,High,False,,9e-05,0.00855,no,,,,,,,6e676ab2b809d46623acb5988248d95d1eb7939c,63a1b82d1e68ddd87652467303901593efe0ff11 | 69801b25b9624c3a678ef87d30771861e7bba51f,,,
CVE-2025-61732,stdlib,High,False,,6e-05,0.00386,no,,,,,,,6e676ab2b809d46623acb5988248d95d1eb7939c,96e4e2b1616c3c59577d48abcf2823bf1fdcd2e2 | eaf3bc799a221cc375f188e8699c9330c1caf40a,,,
CVE-2025-66506,github.com/sigstore/fulcio,High,False,,0.00036,0.10645,no,,https://github.com/sigstore/fulcio/commit/765a0e57608b9ef390e1eeeea8595b9054c63a5a,,https://github.com/sigstore/fulcio/commit/765a0e57608b9ef390e1eeeea8595b9054c63a5a,,,,3622f6e62cf74ff1477422a8c3aad4ca338ed047,,,
CVE-2025-66564,github.com/sigstore/timestamp-authority,High,False,,0.0002,0.05386,no,,https://github.com/sigstore/timestamp-authority/commit/0cae34e197d685a14904e0bad135b89d13b69421,,https://github.com/sigstore/timestamp-authority/commit/0cae34e197d685a14904e0bad135b89d13b69421,,,,22406c3ff80d3543d2f2819e4f3cf944b5fe306c,,,
CVE-2025-68121,stdlib,Critical,False,,0.00017,0.04012,no,,,,,,,6e676ab2b809d46623acb5988248d95d1eb7939c,96e4e2b1616c3c59577d48abcf2823bf1fdcd2e2 | eaf3bc799a221cc375f188e8699c9330c1caf40a,,,
CVE-2026-22703,github.com/sigstore/cosign/v2,Medium,False,,6e-05,0.00376,no,,https://github.com/sigstore/cosign/commit/6832fba4928c1ad69400235bbc41212de5006176 | https://github.com/sigstore/cosign/pull/4623,,https://github.com/sigstore/cosign/commit/6832fba4928c1ad69400235bbc41212de5006176 | https://github.com/sigstore/cosign/pull/4623,,,9b4b74c497119b5c28b6ca60e9c1ff15bbd7164a,3ade80c5f77cefc904f8c994e88618e5892e8f1c,5.5,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:H/A:N,3.1
CVE-2026-22772,github.com/sigstore/fulcio,Medium,False,,0.00012,0.01786,no,,https://github.com/sigstore/fulcio/commit/eaae2f2be56df9dea5f9b439ec81bedae4c0978d,,https://github.com/sigstore/fulcio/commit/eaae2f2be56df9dea5f9b439ec81bedae4c0978d,,,,eaae2f2be56df9dea5f9b439ec81bedae4c0978d,5.3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N,3.1
