cve,package,version,severity,kev,kev_date_added,epss,epss_percentile,exploitdb,exploitdb_ids,commit_links,patch_links,fix_commits,repo_urls,ghsa_ids,introduced_versions,fixed_versions,cvss_base,cvss_vector,cvss_version
CVE-2013-4660,js-yaml,^4.1.0,Critical,False,,0.64507,0.98464,no,,,,,,,,,6.8,AV:N/AC:M/Au:N/C:P/I:P/A:P,2.0
CVE-2013-7451,validator,^13.12.0,Medium,False,,0.00566,0.68557,no,,,,,,,,,6.1,CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,3.0
CVE-2013-7452,validator,^13.12.0,Medium,False,,0.00566,0.68557,no,,,,,,,,,6.1,CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,3.0
CVE-2013-7453,validator,^13.12.0,Medium,False,,0.00482,0.65222,no,,,,,,,,,6.1,CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,3.0
CVE-2013-7454,validator,^13.12.0,Medium,False,,0.00482,0.65222,no,,,,,,,,,6.1,CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,3.0
CVE-2014-6393,express,^5.1.0,Medium,False,,0.0029,0.52368,no,,,,,,,,,6.1,CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,3.0
CVE-2014-8882,validator,^13.12.0,High,False,,,,no,,,,,,,,,,,
CVE-2014-9772,validator,^13.12.0,Medium,False,,0.00444,0.63403,no,,,,,,,,,6.1,CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,3.0
CVE-2015-8861,handlebars,^4.7.8,Medium,False,,0.00669,0.71408,no,,,,,,,,,6.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,3.1
CVE-2015-9235,jsonwebtoken,^9.0.2,Critical,False,,0.37481,0.97205,no,,,,,,,,,9.8,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,3.0
