cve,package,version,severity,kev,kev_date_added,epss,epss_percentile,exploitdb,exploitdb_ids,commit_links,patch_links,fix_commits,repo_urls,ghsa_ids,introduced_versions,fixed_versions,cvss_base,cvss_vector,cvss_version
CVE-2013-0256,rdoc,3.12,Medium,False,,0.03584,0.87759,no,,,,,,,,,4.3,AV:N/AC:M/Au:N/C:N/I:P/A:N,2.0
CVE-2013-0269,json,1.7.4,High,False,,0.17317,0.95059,no,,,,,,,,,7.5,AV:N/AC:L/Au:N/C:P/I:P/A:P,2.0
CVE-2020-10663,json,1.7.4,High,False,,0.07526,0.91827,no,,,,,,,,,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N,3.1
CVE-2020-8130,rake,0.9.2.2,Medium,False,,0.00142,0.34432,no,,,,,,,,5c87c462b64aad674ebb92b1f5b0ff2c911406cd,6.4,CVSS:3.1/AV:L/AC:H/PR:H/UI:N/S:U/C:H/I:H/A:H,3.1
CVE-2021-31799,rdoc,3.12,High,False,,0.00351,0.57577,no,,,,,,,25786dd7791e3bc8c130066d3f0680a3e2d28c32,9307f932b7f5f97a27706cc04e4c2de72d9baf72,7,CVSS:3.1/AV:L/AC:H/PR:L/UI:N/S:U/C:H/I:H/A:H,3.1
CVE-2022-25648,git,1.2.5,Critical,False,,0.04287,0.88866,no,,https://github.com/ruby-git/ruby-git/pull/569,,https://github.com/ruby-git/ruby-git/pull/569,,,,546bc038ff6604f8304fdeca738c2a7c20cbacc8,9.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,3.1
CVE-2022-3095,Flutter,1.0.0,Critical,False,,0.0011,0.29365,no,,,,,,,,63c2197b976931c6472d9dc9574f98ff2ae9408c | c09cb46304325cc59890ef685d33f5e022da047e,,,
CVE-2022-46648,git,1.2.5,High,False,,0.02351,0.84921,no,,https://github.com/ruby-git/ruby-git/pull/602,,https://github.com/ruby-git/ruby-git/pull/602,,,,ca8ff350a63172630b8e9e919e02a0ce8e7a7a6d,8,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:U/C:H/I:H/A:H,3.1
CVE-2022-47318,git,1.2.5,High,False,,0.00708,0.72226,no,,https://github.com/ruby-git/ruby-git/pull/602,,https://github.com/ruby-git/ruby-git/pull/602,,,,ca8ff350a63172630b8e9e919e02a0ce8e7a7a6d,8,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:U/C:H/I:H/A:H,3.1
CVE-2023-24531,stdlib,go1.20.12,Critical,False,,0.00481,0.65131,no,,,,,,,,,,,
CVE-2023-45288,stdlib,go1.20.12,High,False,,0.71463,0.9873,no,,,,,,,,,,,
CVE-2023-45289,stdlib,go1.20.12,Medium,False,,0.00615,0.69929,no,,,,,,,,,,,
CVE-2023-45290,stdlib,go1.20.12,Medium,False,,0.00491,0.65626,no,,,,,,,,,,,
CVE-2024-24783,stdlib,go1.20.12,Medium,False,,0.00602,0.6955,no,,,,,,,,,,,
CVE-2024-24784,stdlib,go1.20.12,High,False,,0.02017,0.83779,no,,,,,,,,,,,
CVE-2024-24785,stdlib,go1.20.12,Medium,False,,0.01065,0.77712,no,,,,,,,,,,,
CVE-2024-24787,stdlib,go1.20.12,Medium,False,,0.02711,0.85924,no,,,,,,,,,,,
CVE-2024-24789,stdlib,go1.20.12,Medium,False,,7e-05,0.00536,no,,,,,,,a10e42f219abb9c5bc4e7d86d9464700a42c7d57,48103d97a84d549b44bc4764df6958f73ba5ee02 | ace5bb40d027b718b67556afcd31bf54cff050ab,,,
CVE-2024-24790,stdlib,go1.20.12,Critical,False,,0.00172,0.38368,no,,,,,,,a10e42f219abb9c5bc4e7d86d9464700a42c7d57,48103d97a84d549b44bc4764df6958f73ba5ee02 | ace5bb40d027b718b67556afcd31bf54cff050ab,,,
CVE-2024-24791,stdlib,go1.20.12,High,False,,0.01018,0.7724,no,,,,,,,,,,,
CVE-2024-34155,stdlib,go1.20.12,Medium,False,,0.00081,0.23875,no,,,,,,,,,,,
CVE-2024-34156,stdlib,go1.20.12,High,False,,0.00298,0.53187,no,,,,,,,,,,,
CVE-2024-34158,stdlib,go1.20.12,High,False,,0.00163,0.3721,no,,,,,,,,,,,
CVE-2024-39908,rexml,3.2.8,Medium,False,,0.08032,0.92124,no,,,,,,,,2b285ac0804f2918de642f7ed4646dc6d645a7fc,,,
CVE-2024-41123,rexml,3.2.8,Medium,False,,0.00239,0.4698,no,,,,,,,1cf37bab79d61d6183bbda8bf525ed587012b718,e4a067e11235a2ec7a00616d41350485e384ec05,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.1
CVE-2024-41946,rexml,3.2.8,Medium,False,,0.00679,0.71584,no,,https://github.com/ruby/rexml/commit/033d1909a8f259d5a7c53681bcaf14f13bcf0368,,https://github.com/ruby/rexml/commit/033d1909a8f259d5a7c53681bcaf14f13bcf0368,,,,e4a067e11235a2ec7a00616d41350485e384ec05,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.1
CVE-2024-43398,rexml,3.2.8,High,False,,0.01167,0.78661,no,,,,,,,,95871f399eda642a022b03550479b7994895c742,,,
CVE-2024-45336,stdlib,go1.20.12,Medium,False,,0.00142,0.34397,no,,,,,,,,,,,
CVE-2024-45341,stdlib,go1.20.12,Medium,False,,0.00119,0.30764,no,,,,,,,,,,,
CVE-2024-47764,cookie,0.6.0,Low,False,,0.00211,0.43593,no,,https://github.com/jshttp/cookie/commit/e10042845354fea83bd8f34af72475eed1dadf5c | https://github.com/jshttp/cookie/pull/167,,https://github.com/jshttp/cookie/commit/e10042845354fea83bd8f34af72475eed1dadf5c | https://github.com/jshttp/cookie/pull/167,,,,ab057d6c06b94a7b1e3358e69a685ae49c97b627,,,
