cve,package,severity,kev,kev_date_added,epss,epss_percentile,exploitdb,exploitdb_ids,commit_links,patch_links,fix_commits,repo_urls,ghsa_ids,introduced_versions,fixed_versions,cvss_base,cvss_vector,cvss_version
CVE-2018-25032,nokogiri,High,False,,0.00081,0.24064,no,,https://github.com/madler/zlib/commit/5c44459c3b28a9bd3283aaceab7c615f8020c531,,https://github.com/madler/zlib/commit/5c44459c3b28a9bd3283aaceab7c615f8020c531,,,0484693e1723bbab791c56f95597bd7dbe867d03 | 20ae591abd0bfe1bfaee546989ee163f4ef832b1 | c761b43451d54eeeecdf3c102906fcce88d4e9d9 | 7c7f9bef28aa566557da31402142f6dd8298ddd2 | 1a647b700f6b72dc97211510a5d0c647d5d3d911 | 1bf9cc509326bc42cd8cb1650eb9bf64550d817e | fa919fdf2583bdfead1df00e842f24f30b2a34bf | 9cf6752276e6fcfd0c23fdb064ad27f448aaaf75,21767c654d31d2dccdde4330529775c6c5fd5389 | 5c44459c3b28a9bd3283aaceab7c615f8020c531 | faddcf3c395da640b760c3f701f5bc1f3baae6c4 | 65e8506ca9d03967191b6ed207cf107d311f7f99 | 1ac0bce36e5bf2136cedb1ce1da949f53cce4404 | b8f6d315fe4fe62ef73f6fb4f45e004fcedec20c | 98d7ac1fbe2d61c0d21e2c22808ef808f29c0827 | 6ffbc0e510cdaafe0494acd04e48d1f44727e86a,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.1
CVE-2021-30560,nokogiri,High,False,,0.00084,0.24597,no,,,,,,,,50af4e65da712ceb59f98a7feeeab2ddc3324ab9,8.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,3.1
CVE-2021-3517,nokogiri,High,False,,0.0011,0.29427,no,,,,,,,,e1bcffea180d6cc0651757bb64284a763e0e2239,8.6,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:L/A:H,3.1
CVE-2021-3518,nokogiri,High,False,,0.00257,0.4909,no,,,,,,,,e1bcffea180d6cc0651757bb64284a763e0e2239,8.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,3.1
CVE-2021-3537,nokogiri,Medium,False,,0.0014,0.34266,no,,,,,,,,e1bcffea180d6cc0651757bb64284a763e0e2239,5.9,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:N/A:H,3.1
CVE-2021-41098,nokogiri,High,False,,0.00565,0.68379,no,,https://github.com/sparklemotion/nokogiri/commit/5bf729ff3cc84709ee3c3248c981584088bf9f6d,,https://github.com/sparklemotion/nokogiri/commit/5bf729ff3cc84709ee3c3248c981584088bf9f6d,,,,47f6a461fdc3e375b30522259e48569fb578dece | 5bf729ff3cc84709ee3c3248c981584088bf9f6d,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,3.1
CVE-2022-24836,nokogiri,High,False,,0.01377,0.80208,no,,https://github.com/sparklemotion/nokogiri/commit/e444525ef1634b675cd1cf52d39f4320ef0aecfd,,https://github.com/sparklemotion/nokogiri/commit/e444525ef1634b675cd1cf52d39f4320ef0aecfd,,,,4e2c4b2571dc58af294f61e6fd923f0d1698c036,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.1
CVE-2022-29181,nokogiri,High,False,,0.04293,0.88819,no,,https://github.com/sparklemotion/nokogiri/commit/83cc451c3f29df397caa890afc3b714eae6ab8f7 | https://github.com/sparklemotion/nokogiri/commit/db05ba9a1bd4b90aa6c76742cf6102a7c7297267,,https://github.com/sparklemotion/nokogiri/commit/83cc451c3f29df397caa890afc3b714eae6ab8f7 | https://github.com/sparklemotion/nokogiri/commit/db05ba9a1bd4b90aa6c76742cf6102a7c7297267,,,,b7817b6a62ac210203a451d1a691a824288e9eab,8.2,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:H,3.1
CVE-2024-27281,rdoc,Low,False,,0.02463,0.8519,no,,,,,,,,,,,
CVE-2024-35176,rexml,Medium,False,,0.06902,0.91347,no,,https://github.com/ruby/rexml/commit/4325835f92f3f142ebd91a3fdba4e1f1ab7f1cfb,,https://github.com/ruby/rexml/commit/4325835f92f3f142ebd91a3fdba4e1f1ab7f1cfb,,,,085def07425561862d8329001168d8bc9c75ae8f,,,
