cve,package,severity,kev,kev_date_added,epss,epss_percentile,exploitdb,exploitdb_ids,commit_links,patch_links,fix_commits,repo_urls,ghsa_ids,introduced_versions,fixed_versions,cvss_base,cvss_vector,cvss_version
CVE-2018-1000656,flask,High,False,,0.00583,0.68943,no,,https://github.com/pallets/flask/pull/2691,,https://github.com/pallets/flask/pull/2691,,,,1a9e58e8c97c47c969736d46410f724f4e834f54,7.5,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.0
CVE-2019-1010083,flask,High,False,,0.00399,0.60574,no,,,,,,,,d92b64aa275841b0c9aea3903aba72fbc4275d91,7.5,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.0
CVE-2023-2800,transformers,Medium,False,,0.00021,0.0556,no,,https://github.com/huggingface/transformers/commit/80ca92470938bbcc348e2d9cf4734c7c25cb1c43,,https://github.com/huggingface/transformers/commit/80ca92470938bbcc348e2d9cf4734c7c25cb1c43,,,,fe861e578f50dc9c06de33cd361d2f625017e624,4.7,CVSS:3.1/AV:L/AC:H/PR:L/UI:N/S:U/C:N/I:N/A:H,3.1
CVE-2023-6730,transformers,Critical,False,,0.00161,0.37125,no,,https://github.com/huggingface/transformers/commit/1d63b0ec361e7a38f1339385e8a5a855085532ce,,https://github.com/huggingface/transformers/commit/1d63b0ec361e7a38f1339385e8a5a855085532ce,,,,14666775a296a76c88e1aa686a9547f393d322e2 | 1d63b0ec361e7a38f1339385e8a5a855085532ce,8.8,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,3.1
CVE-2023-7018,transformers,High,False,,0.00203,0.42407,no,,https://github.com/huggingface/transformers/commit/1d63b0ec361e7a38f1339385e8a5a855085532ce,,https://github.com/huggingface/transformers/commit/1d63b0ec361e7a38f1339385e8a5a855085532ce,,,,14666775a296a76c88e1aa686a9547f393d322e2 | 1d63b0ec361e7a38f1339385e8a5a855085532ce,7.8,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,3.1
CVE-2024-11392,transformers,High,False,,0.53121,0.97947,no,,,,,,,,6bc0fbcfa7acb6ac4937e7456a76c2f7975fefec,8.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,3.1
CVE-2024-11393,transformers,High,False,,0.76116,0.98914,no,,,,,,,,6bc0fbcfa7acb6ac4937e7456a76c2f7975fefec,8.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,3.1
CVE-2024-11394,transformers,High,False,,0.59393,0.98232,no,,,,,,,,6bc0fbcfa7acb6ac4937e7456a76c2f7975fefec,8.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,3.1
CVE-2024-12720,transformers,Medium,False,,0.00137,0.33605,no,,https://github.com/huggingface/transformers/commit/deac971c469bcbb182c2e52da0b82fb3bf54cccf,,https://github.com/huggingface/transformers/commit/deac971c469bcbb182c2e52da0b82fb3bf54cccf,,,,6bc0fbcfa7acb6ac4937e7456a76c2f7975fefec | deac971c469bcbb182c2e52da0b82fb3bf54cccf,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.1
CVE-2024-3568,transformers,Low,False,,0.20071,0.95456,no,,https://github.com/huggingface/transformers/commit/693667b8ac8138b83f8adb6522ddaf42fa07c125,,https://github.com/huggingface/transformers/commit/693667b8ac8138b83f8adb6522ddaf42fa07c125,,,,08ab54ada594f8f4cc1e458b1217bf8c53f04dd8 | 693667b8ac8138b83f8adb6522ddaf42fa07c125,9.6,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:H/I:H/A:H,3.1
