cve,package,version,severity,kev,kev_date_added,epss,epss_percentile,exploitdb,exploitdb_ids,commit_links,patch_links,fix_commits,repo_urls,ghsa_ids,introduced_versions,fixed_versions,cvss_base,cvss_vector,cvss_version
CVE-2023-24531,stdlib,go1.20.13,Critical,False,,0.00481,0.65131,no,,,,,,,,,,,
CVE-2023-4316,zod,3.21.4,Medium,False,,0.00144,0.3464,no,,,,,,,,,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.1
CVE-2023-45288,stdlib,go1.20.13,High,False,,0.71463,0.9873,no,,,,,,,,,,,
CVE-2023-45289,stdlib,go1.20.13,Medium,False,,0.00615,0.69929,no,,,,,,,,,,,
CVE-2023-45290,stdlib,go1.20.13,Medium,False,,0.00491,0.65626,no,,,,,,,,,,,
CVE-2024-24783,stdlib,go1.20.13,Medium,False,,0.00602,0.6955,no,,,,,,,,,,,
CVE-2024-24784,stdlib,go1.20.13,High,False,,0.02017,0.83779,no,,,,,,,,,,,
CVE-2024-24785,stdlib,go1.20.13,Medium,False,,0.01065,0.77712,no,,,,,,,,,,,
CVE-2024-24787,stdlib,go1.20.13,Medium,False,,0.02711,0.85924,no,,,,,,,,,,,
CVE-2024-24789,stdlib,go1.20.13,Medium,False,,7e-05,0.00536,no,,,,,,,a10e42f219abb9c5bc4e7d86d9464700a42c7d57,48103d97a84d549b44bc4764df6958f73ba5ee02 | ace5bb40d027b718b67556afcd31bf54cff050ab,,,
CVE-2024-24790,stdlib,go1.20.13,Critical,False,,0.00172,0.38368,no,,,,,,,a10e42f219abb9c5bc4e7d86d9464700a42c7d57,48103d97a84d549b44bc4764df6958f73ba5ee02 | ace5bb40d027b718b67556afcd31bf54cff050ab,,,
CVE-2024-24791,stdlib,go1.20.13,High,False,,0.01018,0.7724,no,,,,,,,,,,,
CVE-2024-28863,tar,6.1.15,Medium,False,,0.00648,0.70816,no,,https://github.com/isaacs/node-tar/commit/fe8cd57da5686f8695415414bda49206a545f7f7,,https://github.com/isaacs/node-tar/commit/fe8cd57da5686f8695415414bda49206a545f7f7,,,,bef7b1e4ffab822681fea2a9b22187192ed14717,,,
CVE-2024-29041,express,4.18.2,Medium,False,,0.00154,0.36131,no,,https://github.com/expressjs/express/commit/0867302ddbde0e9463d0564fea5861feb708c2dd | https://github.com/expressjs/express/commit/0b746953c4bd8e377123527db11f9cd866e39f94 | https://github.com/expressjs/express/pull/5539,,https://github.com/expressjs/express/commit/0867302ddbde0e9463d0564fea5861feb708c2dd | https://github.com/expressjs/express/commit/0b746953c4bd8e377123527db11f9cd866e39f94 | https://github.com/expressjs/express/pull/5539,,,9375a9afa9d7baa814b454c7a6818a7471aaef00 | 4052c15c7f10b79fb7c54f3837ffe118f7a99811,084e36506a18774f85206a65d8da04dc1107fc1b | cd7d79f92a7209b09aa9b065b0643c1bec55ed1d,,,
CVE-2024-34155,stdlib,go1.20.13,Medium,False,,0.00081,0.23875,no,,,,,,,,,,,
CVE-2024-34156,stdlib,go1.20.13,High,False,,0.00298,0.53187,no,,,,,,,,,,,
CVE-2024-34158,stdlib,go1.20.13,High,False,,0.00163,0.3721,no,,,,,,,,,,,
CVE-2024-43796,express,4.18.2,Low,False,,0.00123,0.31411,no,,https://github.com/expressjs/express/commit/54271f69b511fea198471e6ff3400ab805d6b553,,https://github.com/expressjs/express/commit/54271f69b511fea198471e6ff3400ab805d6b553,,,4052c15c7f10b79fb7c54f3837ffe118f7a99811,21df421ebc7a5249bb31101da666bbf22adc3f18 | 344b022fc7ed95cf07b46e097935e61151fd585f,4.7,CVSS:3.1/AV:N/AC:H/PR:N/UI:R/S:C/C:L/I:L/A:N,3.1
CVE-2024-43799,send,0.18.0,Low,False,,0.0018,0.39519,no,,https://github.com/pillarjs/send/commit/ae4f2989491b392ae2ef3b0015a019770ae65d35,,https://github.com/pillarjs/send/commit/ae4f2989491b392ae2ef3b0015a019770ae65d35,,,,9d2db99518b366d20783fe1c08a1b9bd418929ce,4.7,CVSS:3.1/AV:N/AC:H/PR:N/UI:R/S:C/C:L/I:L/A:N,3.1
