cve,package,version,severity,kev,kev_date_added,epss,epss_percentile,exploitdb,exploitdb_ids,commit_links,patch_links,fix_commits,repo_urls,ghsa_ids,introduced_versions,fixed_versions,cvss_base,cvss_vector,cvss_version
CVE-2025-12816,node-forge,1.3.1,High,False,,0.00077,0.22945,no,,https://github.com/digitalbazaar/forge/pull/1124,,https://github.com/digitalbazaar/forge/pull/1124,,,,,,,
CVE-2025-15284,qs,6.13.0,Medium,False,,0.00061,0.19113,no,,https://github.com/ljharb/qs/commit/3086902ecf7f088d0d1803887643ac6c03d415b9,,https://github.com/ljharb/qs/commit/3086902ecf7f088d0d1803887643ac6c03d415b9,,,,3fa11a5f643c76896387bd2d86904a2d0141fdf7 | 3086902ecf7f088d0d1803887643ac6c03d415b9,,,
CVE-2025-62718,axios,1.13.6,Medium,False,,0.00041,0.12512,no,,,,,,,,,9.9,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:L/A:L,3.1
CVE-2025-65945,jws,3.2.2,High,False,,0.00011,0.01382,no,,https://github.com/auth0/node-jws/commit/34c45b2c04434f925b638de6a061de9339c0ea2e,,https://github.com/auth0/node-jws/commit/34c45b2c04434f925b638de6a061de9339c0ea2e,,,1389f6d3d018b2da4af0167f48e44f90d811ae87,4f6e73f24df42f07d632dec6431ade8eda8d11a6,,,
CVE-2025-66030,node-forge,1.3.1,Medium,False,,0.00046,0.14171,no,,https://github.com/digitalbazaar/forge/commit/3e0c35ace169cfca529a3e547a7848dc7bf57fdb,,https://github.com/digitalbazaar/forge/commit/3e0c35ace169cfca529a3e547a7848dc7bf57fdb,,,,235ad3e70e4fdfdca4fdeb662dfba6588e2c38bd,5.3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:N,3.1
CVE-2025-66031,node-forge,1.3.1,High,False,,0.00135,0.33231,no,,https://github.com/digitalbazaar/forge/commit/260425c6167a38aae038697132483b5517b26451,,https://github.com/digitalbazaar/forge/commit/260425c6167a38aae038697132483b5517b26451,,,,235ad3e70e4fdfdca4fdeb662dfba6588e2c38bd,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.1
CVE-2025-69873,ajv,8.17.1,Medium,False,,0.00015,0.03001,no,,https://github.com/ajv-validator/ajv/pull/2588 | https://github.com/ajv-validator/ajv/pull/2590 | https://github.com/github/advisory-database/pull/6991,,https://github.com/ajv-validator/ajv/pull/2588 | https://github.com/ajv-validator/ajv/pull/2590 | https://github.com/github/advisory-database/pull/6991,,GHSA-2g4f-4pwh-qvx6,,142ce84b807c4fe66e619c22480a28d0e4bd50fa | e3af0a723b4b7ad86eff43be355c706d31e0e915,,,
CVE-2026-22610,@angular/compiler,21.0.3,High,False,,0.00016,0.0373,no,,https://github.com/angular/angular/commit/91dc91bae4a1bbefc58bef6ef739d0e02ab44d56 | https://github.com/angular/angular/pull/66318,,https://github.com/angular/angular/commit/91dc91bae4a1bbefc58bef6ef739d0e02ab44d56 | https://github.com/angular/angular/pull/66318,,,4c0ba06532a96409ad05a3e88367a93d36e54647 | a0ee6bdfe4102357dd231bcf02f5ff4d44fb585c | ab2ee22c3d1a80b7ffe2c74c988dbd2503305b70,6ad2ef6bd8694e95a15ef7a16d9eb34fae360733 | 8fd585cc0b4a7fc70ecb306c0c7b17f15393d0bf | f76d891b8b69a5a966e9b2dd207ac39dd846bda3 | 33eeec55638d990a17ede31adcd95e1eef85d098,6.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,3.1
CVE-2026-2327,markdown-it,14.1.0,Medium,False,,0.00021,0.05769,no,,https://github.com/markdown-it/markdown-it/commit/4b4bbcae5e0990a5b172378e507b33a59012ed26,,https://github.com/markdown-it/markdown-it/commit/4b4bbcae5e0990a5b172378e507b33a59012ed26,,,6ec0b76ebe439f5858ae51d8e0cb45ee4a7ad46c,b4a9b659ef5734223731cfaa3ad5eacc6fc22918 | 4b4bbcae5e0990a5b172378e507b33a59012ed26,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.1
CVE-2026-23745,tar,6.2.1,High,False,,7e-05,0.00543,no,,https://github.com/isaacs/node-tar/commit/340eb285b6d986e91969a1170d7fe9b0face405e,,https://github.com/isaacs/node-tar/commit/340eb285b6d986e91969a1170d7fe9b0face405e,,,,03138441b238f48070fb22824b2529c445bc70c7,6.1,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:L/A:N,3.1
