cve,package,severity,kev,kev_date_added,epss,epss_percentile,exploitdb,exploitdb_ids,commit_links,patch_links,fix_commits,repo_urls,ghsa_ids,introduced_versions,fixed_versions,cvss_base,cvss_vector,cvss_version
CVE-2022-23491,certifi,Medium,False,,0.00051,0.15943,no,,,,,,,,9e9e840925d7b8e76c76fdac1fab7e6e88c1c3b8,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N,3.1
CVE-2023-32681,requests,Medium,False,,0.06278,0.90884,no,,https://github.com/psf/requests/commit/74ea7cf7a6a27a4eeb2ae24e162bcc942a6706d5,,https://github.com/psf/requests/commit/74ea7cf7a6a27a4eeb2ae24e162bcc942a6706d5,,,6366d3dd190a9e58ca582955cddf7e2ac5f32dcc,147c8511ddbfa5e8f71bbf5c18ede0c4ceb3bba4,6.1,CVSS:3.1/AV:N/AC:H/PR:N/UI:R/S:C/C:H/I:N/A:N,3.1
CVE-2023-37920,certifi,High,False,,0.00112,0.29705,no,,https://github.com/certifi/python-certifi/commit/8fb96ed81f71e7097ed11bc4d9b19afd7ea5c909,,https://github.com/certifi/python-certifi/commit/8fb96ed81f71e7097ed11bc4d9b19afd7ea5c909,,,,8fb96ed81f71e7097ed11bc4d9b19afd7ea5c909,9.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,3.1
CVE-2023-43804,urllib3,High,False,,0.00867,0.75107,no,,https://github.com/urllib3/urllib3/commit/01220354d389cd05474713f8c982d05c9b17aafb | https://github.com/urllib3/urllib3/commit/644124ecd0b6e417c527191f866daa05a5a2056d,,https://github.com/urllib3/urllib3/commit/01220354d389cd05474713f8c982d05c9b17aafb | https://github.com/urllib3/urllib3/commit/644124ecd0b6e417c527191f866daa05a5a2056d,,,6446fef0cf432ca035169602a1447a0d8ef53e80,262e3e332209ee93ff70e2b13502c8f20c105ac8 | c9016bf464751a02b7e46f8b86504f47d4238784,8.1,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:N,3.1
CVE-2023-45803,urllib3,Medium,False,,0.00051,0.15944,no,,https://github.com/urllib3/urllib3/commit/4e98d57809dacab1cbe625fddeec1a290c478ea9,,https://github.com/urllib3/urllib3/commit/4e98d57809dacab1cbe625fddeec1a290c478ea9,,,6446fef0cf432ca035169602a1447a0d8ef53e80,56f01e088dc006c03d4ee6ea9da4ab810f1ed700 | 9c2c2307dd1d6af504e09aac0326d86ee3597a0b,4.2,CVSS:3.1/AV:A/AC:H/PR:H/UI:N/S:U/C:H/I:N/A:N,3.1
CVE-2024-35195,requests,Medium,False,,0.00044,0.13691,no,,https://github.com/psf/requests/commit/a58d7f2ffb4d00b46dca2d70a3932a0b37e22fac | https://github.com/psf/requests/pull/6655,,https://github.com/psf/requests/commit/a58d7f2ffb4d00b46dca2d70a3932a0b37e22fac | https://github.com/psf/requests/pull/6655,,,,a58d7f2ffb4d00b46dca2d70a3932a0b37e22fac,,,
CVE-2024-3651,idna,Medium,False,,0.0067,0.71288,no,,https://github.com/kjd/idna/commit/1d365e17e10d72d0b7876316fc7b9ca0eebdd38d,,https://github.com/kjd/idna/commit/1d365e17e10d72d0b7876316fc7b9ca0eebdd38d,,,001644567c3f1e1c7e62cfff806be7dad1be8cd3,1d365e17e10d72d0b7876316fc7b9ca0eebdd38d,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.1
CVE-2024-37891,urllib3,Medium,False,,0.00263,0.49674,no,,https://github.com/urllib3/urllib3/commit/accff72ecc2f6cf5a76d9570198a93ac7c90270e,,https://github.com/urllib3/urllib3/commit/accff72ecc2f6cf5a76d9570198a93ac7c90270e,,,6446fef0cf432ca035169602a1447a0d8ef53e80,d9d85c88aa644af56d5e129634e750ce76e1a765 | 27e2a5c5a7ab6a517252cc8dcef3ffa6ffb8f61a,6.5,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N,3.1
CVE-2024-39689,certifi,Low,False,,0.21233,0.95646,no,,https://github.com/certifi/python-certifi/commit/bd8153872e9c6fc98f4023df9c2deaffea2fa463,,https://github.com/certifi/python-certifi/commit/bd8153872e9c6fc98f4023df9c2deaffea2fa463,,,,bd8153872e9c6fc98f4023df9c2deaffea2fa463,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N,3.1
CVE-2024-47081,requests,Medium,False,,0.0007,0.2163,no,,https://github.com/psf/requests/commit/96ba401c1296ab1dda74a2365ef36d88f7d144ef | https://github.com/psf/requests/pull/6965,,https://github.com/psf/requests/commit/96ba401c1296ab1dda74a2365ef36d88f7d144ef | https://github.com/psf/requests/pull/6965,,,,021dc729f0b71a3030cefdbec7fb57a0e80a6cfd,,,
CVE-2025-50181,urllib3,Medium,False,,0.00026,0.07109,no,,https://github.com/urllib3/urllib3/commit/f05b1329126d5be6de501f9d1e3e36738bc08857,,https://github.com/urllib3/urllib3/commit/f05b1329126d5be6de501f9d1e3e36738bc08857,,,,aaab4eccc10c965897540b21e15f11859d0b62e7,6.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,3.1
CVE-2025-66418,urllib3,High,False,,0.00029,0.08088,no,,https://github.com/urllib3/urllib3/commit/24d7b67eac89f94e11003424bcf0d8f7b72222a8,,https://github.com/urllib3/urllib3/commit/24d7b67eac89f94e11003424bcf0d8f7b72222a8,,,ef0c74542abe69421a86c4d3c6a86fe43cb809a4,720f484b605f18887a48eef448d0084e2b76902d,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.1
CVE-2025-66471,urllib3,High,False,,0.00027,0.0744,no,,https://github.com/urllib3/urllib3/commit/c19571de34c47de3a766541b041637ba5f716ed7,,https://github.com/urllib3/urllib3/commit/c19571de34c47de3a766541b041637ba5f716ed7,,,04c6c18b6630386334fb010079a3ae3cdc59eea2,720f484b605f18887a48eef448d0084e2b76902d,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.1
CVE-2026-21441,urllib3,High,False,,0.00027,0.07535,no,,https://github.com/urllib3/urllib3/commit/8864ac407bba8607950025e0979c4c69bc7abc7b,,https://github.com/urllib3/urllib3/commit/8864ac407bba8607950025e0979c4c69bc7abc7b,,,8e049799777cdf592ae54ae762d140151766123c,0248277dd7ac0239204889ca991353ad3e3a1ddc,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.1
CVE-2026-25645,requests,Medium,False,,4e-05,0.00191,no,,https://github.com/psf/requests/commit/66d21cb07bd6255b1280291c4fafb71803cdb3b7,,https://github.com/psf/requests/commit/66d21cb07bd6255b1280291c4fafb71803cdb3b7,,,,bc04dfd6dad4cb02cd92f5daa81eb562d280a761,5.5,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:H/A:N,3.1
