cve,package,version,severity,kev,kev_date_added,epss,epss_percentile,exploitdb,exploitdb_ids,commit_links,patch_links,fix_commits,repo_urls,ghsa_ids,introduced_versions,fixed_versions,cvss_base,cvss_vector,cvss_version
CVE-2017-1000048,qs,2.3.3,High,False,,0.00532,0.67305,no,,,,,,,,,7.5,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.0
CVE-2017-15010,tough-cookie,2.3.2,High,False,,0.03942,0.88353,no,,,,,,,,,7.5,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.0
CVE-2017-16028,randomatic,1.1.6,Medium,False,,0.00232,0.46083,no,,,,,,,,,5.3,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N,3.0
CVE-2017-16042,growl,1.8.1,Critical,False,,0.00349,0.57435,no,,https://github.com/tj/node-growl/pull/61,,https://github.com/tj/node-growl/pull/61,,,,bb0a5ec746a9e31387eeaf4a2ea7e6116e153072,9.8,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,3.0
CVE-2017-16099,no-case,2.3.1,High,False,,0.00334,0.56324,no,,,,,,,,,7.5,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.0
CVE-2017-16118,forwarded,0.1.0,High,False,,0.006,0.69483,no,,,,,,,,,7.5,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.0
CVE-2017-16119,fresh,0.3.0,High,False,,0.00328,0.55742,no,,,,,,,,,7.5,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.0
CVE-2017-16137,debug,2.2.0,Low,False,,0.00097,0.26612,no,,https://github.com/visionmedia/debug/pull/504,,https://github.com/visionmedia/debug/pull/504,,,c61ae82bde19c6fdedfc6684817ff7eb541ff029 | 52b894cd798f492ead1866fca4d76a649f0e62c6,13abeae468fea297d0dccc50bc55590809241083 | f073e056f33efdd5b311381eb6bca2bc850745bf,5.3,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L,3.0
CVE-2017-16138,mime,1.2.11,High,False,,0.00433,0.62758,no,,,,,,,371e7e933dfbdc12a54266ea7da2f16b147f5107,eb24bae372a76acd2c95fd05f8837814c33a9e3d | f2d859eb53607b909cca03858429035bb025b21a,7.5,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.0
CVE-2017-20162,ms,0.7.1,Medium,False,,0.00312,0.54386,no,,https://github.com/vercel/ms/commit/caae2988ba2a37765d055c4eee63d383320ee662 | https://github.com/vercel/ms/pull/89,,https://github.com/vercel/ms/commit/caae2988ba2a37765d055c4eee63d383320ee662 | https://github.com/vercel/ms/pull/89,,,,9b88d1568a52ec9bb67ecc8d2aa224fa38fd41f4 | caae2988ba2a37765d055c4eee63d383320ee662,5.3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L,3.1
CVE-2017-20165,debug,2.2.0,High,False,,0.01578,0.81607,no,,https://github.com/debug-js/debug/commit/c38a0166c266a679c8de012d4eaccec3f944e685 | https://github.com/debug-js/debug/pull/504,,https://github.com/debug-js/debug/commit/c38a0166c266a679c8de012d4eaccec3f944e685 | https://github.com/debug-js/debug/pull/504,,,52b894cd798f492ead1866fca4d76a649f0e62c6,13abeae468fea297d0dccc50bc55590809241083 | f073e056f33efdd5b311381eb6bca2bc850745bf | c38a0166c266a679c8de012d4eaccec3f944e685,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.1
