cve,package,version,severity,kev,kev_date_added,epss,epss_percentile,exploitdb,exploitdb_ids,commit_links,patch_links,fix_commits,repo_urls,ghsa_ids,introduced_versions,fixed_versions,cvss_base,cvss_vector,cvss_version
CVE-2013-1633,setuptools,,High,False,,0.00765,0.73477,no,,,,,,,,,6.8,AV:N/AC:M/Au:N/C:P/I:P/A:P,2.0
CVE-2013-4251,scipy,,High,False,,0.00086,0.24765,no,,,,,,,,,7.8,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,3.1
CVE-2014-0012,jinja2,,Medium,False,,0.00101,0.2782,no,,https://github.com/mitsuhiko/jinja2/commit/acb672b6a179567632e032f547582f30fa2f4aa7 | https://github.com/mitsuhiko/jinja2/pull/292 | https://github.com/mitsuhiko/jinja2/pull/296,,https://github.com/mitsuhiko/jinja2/commit/acb672b6a179567632e032f547582f30fa2f4aa7 | https://github.com/mitsuhiko/jinja2/pull/292 | https://github.com/mitsuhiko/jinja2/pull/296,,,,,4.4,AV:L/AC:M/Au:N/C:P/I:P/A:P,2.0
CVE-2014-1402,jinja2,,High,False,,0.00096,0.26548,no,,,,,,,,,4.4,AV:L/AC:M/Au:N/C:P/I:P/A:P,2.0
CVE-2014-1858,numpy,,High,False,,0.00041,0.12443,no,,,,,,,,,5.5,CVSS:3.0/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:H/A:N,3.0
CVE-2014-1859,numpy,,High,False,,0.00048,0.14806,no,,https://github.com/numpy/numpy/commit/0bb46c1448b0d3f5453d5182a17ea7ac5854ee15,,https://github.com/numpy/numpy/commit/0bb46c1448b0d3f5453d5182a17ea7ac5854ee15,,,,1:1.8.1~rc1-1,5.5,CVSS:3.0/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:H/A:N,3.0
CVE-2014-1932,pillow,,High,False,,0.00098,0.26928,no,,https://github.com/python-imaging/Pillow/commit/4e9f367dfd3f04c8f5d23f7f759ec12782e10ee7,,https://github.com/python-imaging/Pillow/commit/4e9f367dfd3f04c8f5d23f7f759ec12782e10ee7,,,,,4.4,AV:L/AC:M/Au:N/C:P/I:P/A:P,2.0
CVE-2014-1933,pillow,,Medium,False,,0.00111,0.29405,no,,https://github.com/python-imaging/Pillow/commit/4e9f367dfd3f04c8f5d23f7f759ec12782e10ee7,,https://github.com/python-imaging/Pillow/commit/4e9f367dfd3f04c8f5d23f7f759ec12782e10ee7,,,,,2.1,AV:L/AC:L/Au:N/C:N/I:P/A:N,2.0
CVE-2014-3007,pillow,,Critical,False,,0.03008,0.86601,no,,,,,,,,,10,AV:N/AC:L/Au:N/C:C/I:C/A:C,2.0
CVE-2014-3589,pillow,,High,False,,0.01389,0.80376,no,,https://github.com/python-pillow/Pillow/commit/205e056f8f9b06ed7b925cf8aa0874bc4aaf8a7d,,https://github.com/python-pillow/Pillow/commit/205e056f8f9b06ed7b925cf8aa0874bc4aaf8a7d,,,,,5,AV:N/AC:L/Au:N/C:N/I:N/A:P,2.0
CVE-2014-3598,pillow,,High,False,,0.00403,0.60878,no,,,,,,,,,5,AV:N/AC:L/Au:N/C:N/I:N/A:P,2.0
CVE-2014-9601,pillow,,High,False,,0.01034,0.77396,no,,,,,,,,,5,AV:N/AC:L/Au:N/C:N/I:N/A:P,2.0
CVE-2015-8557,pygments,,Critical,False,,0.05668,0.90395,no,,,,,,,,,9,CVSS:3.0/AV:N/AC:H/PR:N/UI:N/S:C/C:H/I:H/A:H,3.0
CVE-2016-0740,pillow,,Medium,False,,0.00146,0.3496,no,,https://github.com/python-pillow/Pillow/commit/6dcbf5bd96b717c58d7b642949da8d323099928e,,https://github.com/python-pillow/Pillow/commit/6dcbf5bd96b717c58d7b642949da8d323099928e,,,,6dcbf5bd96b717c58d7b642949da8d323099928e,6.5,CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:U/C:N/I:H/A:N,3.0
CVE-2016-0775,pillow,,High,False,,0.01069,0.77754,no,,https://github.com/python-pillow/Pillow/commit/893a40850c2d5da41537958e40569c029a6e127b,,https://github.com/python-pillow/Pillow/commit/893a40850c2d5da41537958e40569c029a6e127b,,,,893a40850c2d5da41537958e40569c029a6e127b,6.5,CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:H,3.0
CVE-2016-10075,tqdm,,High,False,,0.00088,0.25143,no,,,,,,,,,7.8,CVSS:3.0/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,3.0
CVE-2016-10745,jinja2,,High,False,,0.01022,0.77275,no,,https://github.com/pallets/jinja/commit/9b53045c34e61013dc8f09b7e52a555fa16bed16,,https://github.com/pallets/jinja/commit/9b53045c34e61013dc8f09b7e52a555fa16bed16,,,,209fd39b2750400d51bf571740fe5ba23008c20e | 9b53045c34e61013dc8f09b7e52a555fa16bed16,8.6,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:N/A:N,3.0
CVE-2016-2533,pillow,,High,False,,0.02195,0.84426,no,,https://github.com/python-pillow/Pillow/commit/5bdf54b5a76b54fb00bd05f2d733e0a4173eefc9#diff-8ff6909c159597e22288ad818938fd6b | https://github.com/python-pillow/Pillow/commit/ae453aa18b66af54e7ff716f4ccb33adca60afd4#diff-8ff6909c159597e22288ad818938fd6b | https://github.com/python-pillow/Pillow/pull/1706,,https://github.com/python-pillow/Pillow/commit/5bdf54b5a76b54fb00bd05f2d733e0a4173eefc9#diff-8ff6909c159597e22288ad818938fd6b | https://github.com/python-pillow/Pillow/commit/ae453aa18b66af54e7ff716f4ccb33adca60afd4#diff-8ff6909c159597e22288ad818938fd6b | https://github.com/python-pillow/Pillow/pull/1706,,,,5bdf54b5a76b54fb00bd05f2d733e0a4173eefc9 | ae453aa18b66af54e7ff716f4ccb33adca60afd4,6.5,CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:H,3.0
CVE-2016-3076,pillow,,High,False,,0.00457,0.63953,no,,,,,,,,,5.5,CVSS:3.0/AV:L/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:H,3.0
CVE-2016-4009,pillow,,Critical,False,,0.05263,0.90003,no,,https://github.com/python-pillow/Pillow/commit/4e0d9b0b9740d258ade40cce248c93777362ac1e | https://github.com/python-pillow/Pillow/pull/1714,,https://github.com/python-pillow/Pillow/commit/4e0d9b0b9740d258ade40cce248c93777362ac1e | https://github.com/python-pillow/Pillow/pull/1714,,,,4e0d9b0b9740d258ade40cce248c93777362ac1e,9.8,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,3.0
CVE-2016-9189,pillow,,Medium,False,,0.00358,0.58033,no,,https://github.com/python-pillow/Pillow/pull/2146/commits/c50ebe6459a131a1ea8ca531f10da616d3ceaa0f,,https://github.com/python-pillow/Pillow/pull/2146/commits/c50ebe6459a131a1ea8ca531f10da616d3ceaa0f,,,,,5.5,CVSS:3.0/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:N/A:N,3.0
CVE-2016-9190,pillow,,High,False,,0.00566,0.68481,no,,https://github.com/python-pillow/Pillow/pull/2146/commits/5d8a0be45aad78c5a22c8d099118ee26ef8144af,,https://github.com/python-pillow/Pillow/pull/2146/commits/5d8a0be45aad78c5a22c8d099118ee26ef8144af,,,,,7.8,CVSS:3.0/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,3.0
CVE-2017-12852,numpy,,High,False,,0.00808,0.74227,no,,,,,,,,,7.5,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.0
CVE-2017-18342,pyyaml,,Critical,False,,0.0447,0.89103,no,,https://github.com/yaml/pyyaml/pull/74,,https://github.com/yaml/pyyaml/pull/74,,,,e471e86bf6dabdad45a1438c20a4a5c033eb9034,9.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,3.1
CVE-2019-10906,jinja2,,High,False,,0.03483,0.87587,no,,,,,,,,c4c4088945a2c12535f539be7f5453b9ca94666c,8.6,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:N/A:N,3.1
CVE-2019-16865,pillow,,High,False,,0.03942,0.88354,no,,,,,,,,8a30d135378dc6a1c3c08fa4bb9fbc15370feedf,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.1
CVE-2019-19588,validators,,High,False,,0.00446,0.63475,no,,,,,,,dc5f17b54be0015194b880c15da9593be8139ca1,,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.1
CVE-2019-19911,pillow,,High,False,,0.00965,0.76597,no,,,,,,,,a45c8583ff90312a2fddc38567ed736cef4af563,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.1
CVE-2019-20477,pyyaml,,Critical,False,,0.00467,0.64445,no,,,,,,,e471e86bf6dabdad45a1438c20a4a5c033eb9034,,9.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,3.1
CVE-2019-6446,numpy,,Critical,False,,0.71492,0.98731,no,,https://github.com/numpy/numpy/pull/12889 | https://github.com/numpy/numpy/commit/89b688732b37616c9d26623f81aaee1703c30ffb | https://github.com/numpy/numpy/pull/13359,,https://github.com/numpy/numpy/pull/12889 | https://github.com/numpy/numpy/commit/89b688732b37616c9d26623f81aaee1703c30ffb | https://github.com/numpy/numpy/pull/13359,,,,89b688732b37616c9d26623f81aaee1703c30ffb,9.8,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,3.0
CVE-2020-10177,pillow,,High,False,,0.00319,0.54996,no,,https://github.com/python-pillow/Pillow/pull/4503 | https://github.com/python-pillow/Pillow/pull/4538,,https://github.com/python-pillow/Pillow/pull/4503 | https://github.com/python-pillow/Pillow/pull/4538,,,,f0fe60ae9f930faeda2f0c22f602bed1f8a0f1c7,5.5,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:N/A:N,3.1
CVE-2020-10378,pillow,,High,False,,0.00319,0.54975,no,,https://github.com/python-pillow/Pillow/commit/6a83e4324738bb0452fbe8074a995b1c73f08de7#diff-9478f2787e3ae9668a15123b165c23ac | https://github.com/python-pillow/Pillow/pull/4538,,https://github.com/python-pillow/Pillow/commit/6a83e4324738bb0452fbe8074a995b1c73f08de7#diff-9478f2787e3ae9668a15123b165c23ac | https://github.com/python-pillow/Pillow/pull/4538,,,,f0fe60ae9f930faeda2f0c22f602bed1f8a0f1c7 | 6a83e4324738bb0452fbe8074a995b1c73f08de7,5.5,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:N/A:N,3.1
CVE-2020-10379,pillow,,High,False,,0.0036,0.58219,no,,https://github.com/python-pillow/Pillow/commit/46f4a349b88915787fea3fb91348bb1665831bbb#diff-9478f2787e3ae9668a15123b165c23ac | https://github.com/python-pillow/Pillow/pull/4538,,https://github.com/python-pillow/Pillow/commit/46f4a349b88915787fea3fb91348bb1665831bbb#diff-9478f2787e3ae9668a15123b165c23ac | https://github.com/python-pillow/Pillow/pull/4538,,,,f0fe60ae9f930faeda2f0c22f602bed1f8a0f1c7 | 46f4a349b88915787fea3fb91348bb1665831bbb,7.8,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,3.1
CVE-2020-10994,pillow,,High,False,,0.00424,0.62204,no,,https://github.com/python-pillow/Pillow/pull/4505 | https://github.com/python-pillow/Pillow/pull/4538 | https://github.com/python-pillow/Pillow/commits/master/src/libImaging/,,https://github.com/python-pillow/Pillow/pull/4505 | https://github.com/python-pillow/Pillow/pull/4538 | https://github.com/python-pillow/Pillow/commits/master/src/libImaging/,,,,f0fe60ae9f930faeda2f0c22f602bed1f8a0f1c7,5.5,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:H,3.1
CVE-2020-11538,pillow,,Critical,False,,0.00267,0.50181,no,,https://github.com/python-pillow/Pillow/pull/4504 | https://github.com/python-pillow/Pillow/pull/4538,,https://github.com/python-pillow/Pillow/pull/4504 | https://github.com/python-pillow/Pillow/pull/4538,,,,,8.1,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:H,3.1
CVE-2020-28493,jinja2,,Medium,False,,0.00207,0.43005,no,,https://github.com/pallets/jinja/pull/1343,,https://github.com/pallets/jinja/pull/1343,,,,cf215390d4a4d6f0a4de27e2687eed176878f13d,5.3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L,3.1
CVE-2020-35653,pillow,,High,False,,0.00293,0.52668,no,,,,,,,,fcc42e0d344146ee9d265d1f43c094ce5a0ec4cf,7.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:L/I:N/A:H,3.1
CVE-2020-35654,pillow,,High,False,,0.00199,0.41993,no,,,,,,,,fcc42e0d344146ee9d265d1f43c094ce5a0ec4cf,8.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,3.1
CVE-2020-35655,pillow,,Medium,False,,0.00269,0.50429,no,,,,,,,636dc62f0e8f9b233f1f2b287292b45325df135d,fcc42e0d344146ee9d265d1f43c094ce5a0ec4cf,5.4,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:L/I:N/A:L,3.1
CVE-2020-5310,pillow,,Critical,False,,0.00611,0.69829,no,,https://github.com/python-pillow/Pillow/commit/4e2def2539ec13e53a82e06c4b3daf00454100c4,,https://github.com/python-pillow/Pillow/commit/4e2def2539ec13e53a82e06c4b3daf00454100c4,,,,a45c8583ff90312a2fddc38567ed736cef4af563 | 4e2def2539ec13e53a82e06c4b3daf00454100c4,8.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,3.1
CVE-2020-5311,pillow,,Critical,False,,0.01304,0.79785,no,,https://github.com/python-pillow/Pillow/commit/a79b65c47c7dc6fe623aadf09aa6192fc54548f3,,https://github.com/python-pillow/Pillow/commit/a79b65c47c7dc6fe623aadf09aa6192fc54548f3,,,,a45c8583ff90312a2fddc38567ed736cef4af563 | a79b65c47c7dc6fe623aadf09aa6192fc54548f3,9.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,3.1
CVE-2020-5312,pillow,,Critical,False,,0.0173,0.82494,no,,https://github.com/python-pillow/Pillow/commit/93b22b846e0269ee9594ff71a72bec02d2bea8fd,,https://github.com/python-pillow/Pillow/commit/93b22b846e0269ee9594ff71a72bec02d2bea8fd,,,,a45c8583ff90312a2fddc38567ed736cef4af563 | 93b22b846e0269ee9594ff71a72bec02d2bea8fd,9.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,3.1
CVE-2020-5313,pillow,,High,False,,0.00551,0.68008,no,,https://github.com/python-pillow/Pillow/commit/a09acd0decd8a87ccce939d5ff65dab59e7d365b,,https://github.com/python-pillow/Pillow/commit/a09acd0decd8a87ccce939d5ff65dab59e7d365b,,,,a45c8583ff90312a2fddc38567ed736cef4af563 | a09acd0decd8a87ccce939d5ff65dab59e7d365b,7.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:L/I:N/A:H,3.1
CVE-2021-20270,pygments,,High,False,,0.00223,0.44911,no,,,,,,,,,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.1
CVE-2021-23437,pillow,,High,False,,0.00226,0.45402,no,,https://github.com/python-pillow/Pillow/commit/9e08eb8f78fdfd2f476e1b20b7cf38683754866b,,https://github.com/python-pillow/Pillow/commit/9e08eb8f78fdfd2f476e1b20b7cf38683754866b,,,c28bf86b7e752a9257a0d4451ca878c1385db15c,8013f130a5077b238a4346b73e149432b180a8ea | 9e08eb8f78fdfd2f476e1b20b7cf38683754866b,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.1
CVE-2021-25287,pillow,,High,False,,0.00353,0.57699,no,,,,,,,,e0e353c0ef7516979a9aedce3792596649ce4433,9.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:H,3.1
CVE-2021-25288,pillow,,High,False,,0.00274,0.50917,no,,,,,,,,e0e353c0ef7516979a9aedce3792596649ce4433,9.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:H,3.1
CVE-2021-25289,pillow,,Critical,False,,0.00762,0.73401,no,,,,,,,,741d8744a54bedbc49f16922c61a06fcb3681f53,9.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,3.1
CVE-2021-25290,pillow,,High,False,,0.00247,0.47959,no,,,,,,,,741d8744a54bedbc49f16922c61a06fcb3681f53,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.1
CVE-2021-25291,pillow,,High,False,,0.00536,0.67503,no,,,,,,,,741d8744a54bedbc49f16922c61a06fcb3681f53,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.1
CVE-2021-25292,pillow,,Medium,False,,0.00185,0.40129,no,,,,,,,,741d8744a54bedbc49f16922c61a06fcb3681f53,6.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:H,3.1
CVE-2021-25293,pillow,,High,False,,0.00169,0.38018,no,,,,,,,,741d8744a54bedbc49f16922c61a06fcb3681f53,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.1
CVE-2021-27291,pygments,,High,False,,0.034,0.8743,no,,https://github.com/pygments/pygments/commit/2e7e8c4a7b318f4032493773732754e418279a14,,https://github.com/pygments/pygments/commit/2e7e8c4a7b318f4032493773732754e418279a14,,,f534f990331df660f5a5ea6947943e184672ac51,4d555d0fffc914a2a4ac9874416cdaaf8f8c9e74 | 2e7e8c4a7b318f4032493773732754e418279a14,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.1
CVE-2021-27921,pillow,,High,False,,0.00425,0.62258,no,,,,,,,,741d8744a54bedbc49f16922c61a06fcb3681f53,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.1
CVE-2021-27922,pillow,,High,False,,0.00315,0.54591,no,,,,,,,,741d8744a54bedbc49f16922c61a06fcb3681f53,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.1
CVE-2021-27923,pillow,,High,False,,0.00425,0.62258,no,,,,,,,,741d8744a54bedbc49f16922c61a06fcb3681f53,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.1
CVE-2021-28675,pillow,,High,False,,0.00148,0.35257,no,,,,,,,,e0e353c0ef7516979a9aedce3792596649ce4433,5.5,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:H,3.1
CVE-2021-28676,pillow,,High,False,,0.00377,0.59261,no,,https://github.com/python-pillow/Pillow/commit/bb6c11fb889e6c11b0ee122b828132ee763b5856,,https://github.com/python-pillow/Pillow/commit/bb6c11fb889e6c11b0ee122b828132ee763b5856,,,,e0e353c0ef7516979a9aedce3792596649ce4433 | bb6c11fb889e6c11b0ee122b828132ee763b5856,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.1
CVE-2021-28677,pillow,,High,False,,0.00271,0.5057,no,,https://github.com/python-pillow/Pillow/pull/5377,,https://github.com/python-pillow/Pillow/pull/5377,,,,e0e353c0ef7516979a9aedce3792596649ce4433,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.1
CVE-2021-28678,pillow,,Medium,False,,0.0011,0.29345,no,,https://github.com/python-pillow/Pillow/pull/5377,,https://github.com/python-pillow/Pillow/pull/5377,,,,e0e353c0ef7516979a9aedce3792596649ce4433,5.5,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:H,3.1
CVE-2021-33430,numpy,,Medium,False,,0.00173,0.38641,no,,,,,,,07601a64cdfeb1c0247bde1294ad6380413cab66,,5.3,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:N/I:N/A:H,3.1
CVE-2021-34141,numpy,,Medium,False,,0.00064,0.20016,no,,,,,,,,4adc87dff15a247e417d50f10cc4def8e1c17a03,5.3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L,3.1
CVE-2021-34552,pillow,,Critical,False,,0.00337,0.56536,no,,,,,,,fb47c498ef1bed2fd5e8bf5c84427bd7ab410da5,,9.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,3.1
CVE-2021-41495,numpy,,High,False,,0.00107,0.28916,no,,,,,,,,,5.3,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:N/I:N/A:H,3.1
CVE-2021-41496,numpy,,Medium,False,,0.00037,0.10932,no,,,,,,,,92ebe1e9a6aeb47a881a1226b08218175776f9ea,5.5,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,3.1
CVE-2022-22815,pillow,,Medium,False,,0.00095,0.26277,no,,,,,,,,82541b6dec8452cb612067fcebba1c5a1a2bfdc8,6.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:L,3.1
CVE-2022-22816,pillow,,Medium,False,,0.00137,0.3348,no,,,,,,,,82541b6dec8452cb612067fcebba1c5a1a2bfdc8,6.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:L,3.1
CVE-2022-24303,pillow,,High,False,,0.01428,0.8067,no,,,,,,,,6deac9e3a23caffbfdd75c00d3f0a1cd36cdbd5d,9.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:H,3.1
CVE-2022-30595,pillow,,High,False,,0.0048,0.65102,no,,,,,,,,,9.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,3.1
CVE-2022-40896,pygments,,Medium,False,,0.00066,0.20462,no,,,,,,,,,5.5,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:H,3.1
CVE-2022-40897,setuptools,,High,False,,0.00513,0.66519,no,,https://github.com/pypa/setuptools/commit/43a9c9bfa6aa626ec2a22540bea28d2ca77964be,,https://github.com/pypa/setuptools/commit/43a9c9bfa6aa626ec2a22540bea28d2ca77964be,,,,a462cb5edb324dcc56f903524b742305e4087014 | 43a9c9bfa6aa626ec2a22540bea28d2ca77964be,5.9,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:N/A:H,3.1
CVE-2022-45198,pillow,,High,False,,0.0028,0.5141,no,,https://github.com/python-pillow/Pillow/commit/11918eac0628ec8ac0812670d9838361ead2d6a4 | https://github.com/python-pillow/Pillow/pull/6402,,https://github.com/python-pillow/Pillow/commit/11918eac0628ec8ac0812670d9838361ead2d6a4 | https://github.com/python-pillow/Pillow/pull/6402,,,,58acec3312fb8671c9d84829197e1c8150085589 | 11918eac0628ec8ac0812670d9838361ead2d6a4,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.1
CVE-2022-45199,pillow,,High,False,,0.00122,0.31343,no,,https://github.com/python-pillow/Pillow/commit/2444cddab2f83f28687c7c20871574acbb6dbcf3 | https://github.com/python-pillow/Pillow/pull/6700,,https://github.com/python-pillow/Pillow/commit/2444cddab2f83f28687c7c20871574acbb6dbcf3 | https://github.com/python-pillow/Pillow/pull/6700,,,,d594f4cb8dc47fb0c69ae58d9fff86faae4515bd | 2444cddab2f83f28687c7c20871574acbb6dbcf3,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.1
CVE-2023-44271,pillow,,High,False,,0.00224,0.45083,no,,https://github.com/python-pillow/Pillow/commit/1fe1bb49c452b0318cad12ea9d97c3bef188e9a7 | https://github.com/python-pillow/Pillow/pull/7244,,https://github.com/python-pillow/Pillow/commit/1fe1bb49c452b0318cad12ea9d97c3bef188e9a7 | https://github.com/python-pillow/Pillow/pull/7244,,,,6e28ed1f36d0eb74053af54e1eddc9c29db698cd | 1fe1bb49c452b0318cad12ea9d97c3bef188e9a7,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.1
CVE-2023-45139,fonttools,,High,False,,0.00172,0.38393,no,,https://github.com/fonttools/fonttools/commit/9f61271dc1ca82ed91f529b130fe5dc5c9bf1f4c,,https://github.com/fonttools/fonttools/commit/9f61271dc1ca82ed91f529b130fe5dc5c9bf1f4c,,,5b62a8846f0958908d75be64b8ab4fd8926c385a,145460e77f772767608e677737f2d00147152620,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,3.1
CVE-2023-4863,pillow,,High,True,2023-09-13,0.94117,0.99911,no,,https://github.com/webmproject/libwebp/commit/902bc9190331343b2017211debcec8d2ab87e17a,,https://github.com/webmproject/libwebp/commit/902bc9190331343b2017211debcec8d2ab87e17a,,,,ca332209cb5567c9b249c86788cb2dbf8847e760 | 902bc9190331343b2017211debcec8d2ab87e17a,8.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,3.1
CVE-2024-22195,jinja2,,Medium,False,,0.00151,0.3566,no,,,,,,,,d9de4bb215fd1cc8092a410fb834c7c4060b1fc1,6.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,3.1
CVE-2024-34062,tqdm,,Low,False,,0.00091,0.25516,no,,https://github.com/tqdm/tqdm/commit/4e613f84ed2ae029559f539464df83fa91feb316,,https://github.com/tqdm/tqdm/commit/4e613f84ed2ae029559f539464df83fa91feb316,,,,4e613f84ed2ae029559f539464df83fa91feb316,,,
CVE-2024-34064,jinja2,,Medium,False,,0.00838,0.74721,no,,https://github.com/pallets/jinja/commit/0668239dc6b44ef38e7a6c9f91f312fd4ca581cb,,https://github.com/pallets/jinja/commit/0668239dc6b44ef38e7a6c9f91f312fd4ca581cb,,,,dd4a8b5466d8790540c181590b14db4d4d889d57,,,
