cve,package,version,severity,kev,kev_date_added,epss,epss_percentile,exploitdb,exploitdb_ids,commit_links,patch_links,fix_commits,repo_urls,ghsa_ids,introduced_versions,fixed_versions,cvss_base,cvss_vector,cvss_version
CVE-2012-0805,sqlalchemy,,Critical,False,,0.01649,0.82038,no,,,,,,,,,7.5,AV:N/AC:L/Au:N/C:P/I:P/A:P,2.0
CVE-2013-4251,scipy,,High,False,,0.00086,0.24765,no,,,,,,,,,7.8,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,3.1
CVE-2014-1829,requests,,Medium,False,,0.00495,0.65792,no,,,,,,,,,5,AV:N/AC:L/Au:N/C:P/I:N/A:N,2.0
CVE-2014-1830,requests,,Medium,False,,0.00464,0.64342,no,,,,,,,,,5,AV:N/AC:L/Au:N/C:P/I:N/A:N,2.0
CVE-2014-1932,pillow,,High,False,,0.00098,0.26928,no,,https://github.com/python-imaging/Pillow/commit/4e9f367dfd3f04c8f5d23f7f759ec12782e10ee7,,https://github.com/python-imaging/Pillow/commit/4e9f367dfd3f04c8f5d23f7f759ec12782e10ee7,,,,,4.4,AV:L/AC:M/Au:N/C:P/I:P/A:P,2.0
CVE-2014-1933,pillow,,Medium,False,,0.00111,0.29405,no,,https://github.com/python-imaging/Pillow/commit/4e9f367dfd3f04c8f5d23f7f759ec12782e10ee7,,https://github.com/python-imaging/Pillow/commit/4e9f367dfd3f04c8f5d23f7f759ec12782e10ee7,,,,,2.1,AV:L/AC:L/Au:N/C:N/I:P/A:N,2.0
CVE-2014-3007,pillow,,Critical,False,,0.03008,0.86601,no,,,,,,,,,10,AV:N/AC:L/Au:N/C:C/I:C/A:C,2.0
CVE-2014-3589,pillow,,High,False,,0.01389,0.80376,no,,https://github.com/python-pillow/Pillow/commit/205e056f8f9b06ed7b925cf8aa0874bc4aaf8a7d,,https://github.com/python-pillow/Pillow/commit/205e056f8f9b06ed7b925cf8aa0874bc4aaf8a7d,,,,,5,AV:N/AC:L/Au:N/C:N/I:N/A:P,2.0
CVE-2014-3598,pillow,,High,False,,0.00403,0.60878,no,,,,,,,,,5,AV:N/AC:L/Au:N/C:N/I:N/A:P,2.0
CVE-2014-9601,pillow,,High,False,,0.01034,0.77396,no,,,,,,,,,5,AV:N/AC:L/Au:N/C:N/I:N/A:P,2.0
CVE-2015-2296,requests,,Medium,False,,0.0114,0.78434,no,,https://github.com/kennethreitz/requests/commit/3bd8afbff29e50b38f889b2f688785a669b9aafc,,https://github.com/kennethreitz/requests/commit/3bd8afbff29e50b38f889b2f688785a669b9aafc,,,,,6.8,AV:N/AC:M/Au:N/C:P/I:P/A:P,2.0
CVE-2016-0740,pillow,,Medium,False,,0.00146,0.3496,no,,https://github.com/python-pillow/Pillow/commit/6dcbf5bd96b717c58d7b642949da8d323099928e,,https://github.com/python-pillow/Pillow/commit/6dcbf5bd96b717c58d7b642949da8d323099928e,,,,6dcbf5bd96b717c58d7b642949da8d323099928e,6.5,CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:U/C:N/I:H/A:N,3.0
CVE-2016-0775,pillow,,High,False,,0.01069,0.77754,no,,https://github.com/python-pillow/Pillow/commit/893a40850c2d5da41537958e40569c029a6e127b,,https://github.com/python-pillow/Pillow/commit/893a40850c2d5da41537958e40569c029a6e127b,,,,893a40850c2d5da41537958e40569c029a6e127b,6.5,CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:H,3.0
CVE-2016-10075,tqdm,,High,False,,0.00088,0.25143,no,,,,,,,,,7.8,CVSS:3.0/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,3.0
CVE-2016-2533,pillow,,High,False,,0.02195,0.84426,no,,https://github.com/python-pillow/Pillow/commit/5bdf54b5a76b54fb00bd05f2d733e0a4173eefc9#diff-8ff6909c159597e22288ad818938fd6b | https://github.com/python-pillow/Pillow/commit/ae453aa18b66af54e7ff716f4ccb33adca60afd4#diff-8ff6909c159597e22288ad818938fd6b | https://github.com/python-pillow/Pillow/pull/1706,,https://github.com/python-pillow/Pillow/commit/5bdf54b5a76b54fb00bd05f2d733e0a4173eefc9#diff-8ff6909c159597e22288ad818938fd6b | https://github.com/python-pillow/Pillow/commit/ae453aa18b66af54e7ff716f4ccb33adca60afd4#diff-8ff6909c159597e22288ad818938fd6b | https://github.com/python-pillow/Pillow/pull/1706,,,,5bdf54b5a76b54fb00bd05f2d733e0a4173eefc9 | ae453aa18b66af54e7ff716f4ccb33adca60afd4,6.5,CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:H,3.0
CVE-2016-3076,pillow,,High,False,,0.00457,0.63953,no,,,,,,,,,5.5,CVSS:3.0/AV:L/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:H,3.0
CVE-2016-4009,pillow,,Critical,False,,0.05263,0.90003,no,,https://github.com/python-pillow/Pillow/commit/4e0d9b0b9740d258ade40cce248c93777362ac1e | https://github.com/python-pillow/Pillow/pull/1714,,https://github.com/python-pillow/Pillow/commit/4e0d9b0b9740d258ade40cce248c93777362ac1e | https://github.com/python-pillow/Pillow/pull/1714,,,,4e0d9b0b9740d258ade40cce248c93777362ac1e,9.8,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,3.0
CVE-2016-9189,pillow,,Medium,False,,0.00358,0.58033,no,,https://github.com/python-pillow/Pillow/pull/2146/commits/c50ebe6459a131a1ea8ca531f10da616d3ceaa0f,,https://github.com/python-pillow/Pillow/pull/2146/commits/c50ebe6459a131a1ea8ca531f10da616d3ceaa0f,,,,,5.5,CVSS:3.0/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:N/A:N,3.0
CVE-2016-9190,pillow,,High,False,,0.00566,0.68481,no,,https://github.com/python-pillow/Pillow/pull/2146/commits/5d8a0be45aad78c5a22c8d099118ee26ef8144af,,https://github.com/python-pillow/Pillow/pull/2146/commits/5d8a0be45aad78c5a22c8d099118ee26ef8144af,,,,,7.8,CVSS:3.0/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,3.0
CVE-2017-18342,pyyaml,,Critical,False,,0.0447,0.89103,no,,https://github.com/yaml/pyyaml/pull/74,,https://github.com/yaml/pyyaml/pull/74,,,,e471e86bf6dabdad45a1438c20a4a5c033eb9034,9.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,3.1
CVE-2019-16865,pillow,,High,False,,0.03942,0.88354,no,,,,,,,,8a30d135378dc6a1c3c08fa4bb9fbc15370feedf,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.1
CVE-2019-18874,psutil,,High,False,,0.00134,0.33073,no,,,,,,,,,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.1
CVE-2019-19911,pillow,,High,False,,0.00965,0.76597,no,,,,,,,,a45c8583ff90312a2fddc38567ed736cef4af563,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.1
CVE-2019-20477,pyyaml,,Critical,False,,0.00467,0.64445,no,,,,,,,e471e86bf6dabdad45a1438c20a4a5c033eb9034,,9.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,3.1
CVE-2019-7164,sqlalchemy,,Critical,False,,0.0189,0.83224,no,,,,,,,,,9.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,3.1
CVE-2019-7548,sqlalchemy,,Critical,False,,0.01088,0.77951,no,,,,,,,,,7.8,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,3.1
CVE-2020-10177,pillow,,High,False,,0.00319,0.54996,no,,https://github.com/python-pillow/Pillow/pull/4503 | https://github.com/python-pillow/Pillow/pull/4538,,https://github.com/python-pillow/Pillow/pull/4503 | https://github.com/python-pillow/Pillow/pull/4538,,,,f0fe60ae9f930faeda2f0c22f602bed1f8a0f1c7,5.5,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:N/A:N,3.1
CVE-2020-10378,pillow,,High,False,,0.00319,0.54975,no,,https://github.com/python-pillow/Pillow/commit/6a83e4324738bb0452fbe8074a995b1c73f08de7#diff-9478f2787e3ae9668a15123b165c23ac | https://github.com/python-pillow/Pillow/pull/4538,,https://github.com/python-pillow/Pillow/commit/6a83e4324738bb0452fbe8074a995b1c73f08de7#diff-9478f2787e3ae9668a15123b165c23ac | https://github.com/python-pillow/Pillow/pull/4538,,,,f0fe60ae9f930faeda2f0c22f602bed1f8a0f1c7 | 6a83e4324738bb0452fbe8074a995b1c73f08de7,5.5,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:N/A:N,3.1
