cve,package,version,severity,kev,kev_date_added,epss,epss_percentile,exploitdb,exploitdb_ids,commit_links,patch_links,fix_commits,repo_urls,ghsa_ids,introduced_versions,fixed_versions,cvss_base,cvss_vector,cvss_version
CVE-2008-0299,paramiko,,High,False,,0.01316,0.79873,no,,,,,,,,,4.3,AV:N/AC:M/Au:N/C:P/I:N/A:N,2.0
CVE-2011-4617,virtualenv,,Medium,False,,0.00038,0.11284,no,,,,,,,,,1.2,AV:L/AC:H/Au:N/C:N/I:P/A:N,2.0
CVE-2012-2417,pycrypto,,Medium,False,,0.04088,0.88583,no,,,,,,,,,4.3,AV:N/AC:M/Au:N/C:N/I:P/A:N,2.0
CVE-2013-1445,pycrypto,,High,False,,0.00424,0.62209,no,,,,,,,,,4.3,AV:N/AC:M/Au:N/C:P/I:N/A:N,2.0
CVE-2013-7459,pycrypto,,Critical,False,,0.14532,0.94478,no,,,,,,,,,9.8,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,3.0
CVE-2014-1829,requests,,Medium,False,,0.00495,0.65792,no,,,,,,,,,5,AV:N/AC:L/Au:N/C:P/I:N/A:N,2.0
CVE-2014-1830,requests,,Medium,False,,0.00464,0.64342,no,,,,,,,,,5,AV:N/AC:L/Au:N/C:P/I:N/A:N,2.0
CVE-2015-2296,requests,,Medium,False,,0.0114,0.78434,no,,https://github.com/kennethreitz/requests/commit/3bd8afbff29e50b38f889b2f688785a669b9aafc,,https://github.com/kennethreitz/requests/commit/3bd8afbff29e50b38f889b2f688785a669b9aafc,,,,,6.8,AV:N/AC:M/Au:N/C:P/I:P/A:P,2.0
CVE-2016-9243,cryptography,,High,False,,0.0165,0.82046,no,,https://github.com/pyca/cryptography/commit/b924696b2e8731f39696584d12cceeb3aeb2d874,,https://github.com/pyca/cryptography/commit/b924696b2e8731f39696584d12cceeb3aeb2d874,,,,b924696b2e8731f39696584d12cceeb3aeb2d874,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N,3.1
CVE-2018-1000805,paramiko,,High,False,,0.00421,0.6205,no,,,,,,,,,8.8,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,3.1
CVE-2018-10903,cryptography,,High,False,,0.00214,0.43874,no,,https://github.com/pyca/cryptography/pull/4342/commits/688e0f673bfbf43fa898994326c6877f00ab19ef,,https://github.com/pyca/cryptography/pull/4342/commits/688e0f673bfbf43fa898994326c6877f00ab19ef,,,,0a846e294806478770469219a26cd49dcb5502d7,7.5,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,3.0
CVE-2018-6594,pycrypto,,High,False,,0.00798,0.74061,no,,,,,,,,,7.5,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,3.0
CVE-2018-7750,paramiko,,Critical,False,,0.13825,0.94309,no,,https://github.com/paramiko/paramiko/commit/fa29bd8446c8eab237f5187d28787727b4610516,,https://github.com/paramiko/paramiko/commit/fa29bd8446c8eab237f5187d28787727b4610516,,,6dd47a677e0e919c4c10c3fed3a4173e9c49199c | f43d125c9156e84b50718a6bdad3a92d9ae9d14b | e0692f411287a814425d6835278b1c0caa91c82e | 353e628d34d2ffab6bfb447ecd7bb44df6ad86ac | 975bcf1e19b1efc5a84ef2eb639939e516f7f633,ac3f78648d2f48c3a99bbf0295245954a34ab46d | 3a50a3eb09168343af2d06ff7f269d2493af4e0b | 30452567c69096ad4aabd159ed3f3ad1ef83ab47 | e62f35a71bcc90447f3eee6f5b48f174a7bfb83e | 04f0d9fc74f6219d2932252b6ba7d835bb4914ef | c07b6e6b8b94fe8a946a8120c1d1b4039c1fe4f0 | fa29bd8446c8eab237f5187d28787727b4610516,9.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,3.1
