cve,package,version,severity,kev,kev_date_added,epss,epss_percentile,exploitdb,exploitdb_ids,commit_links,patch_links,fix_commits,repo_urls,ghsa_ids,introduced_versions,fixed_versions,cvss_base,cvss_vector,cvss_version
CVE-2011-4969,jquery,^4.0.0,Medium,False,,0.05712,0.9045,no,,https://github.com/jquery/jquery/commit/db9e023e62c1ff5d8f21ed9868ab6878da2005e9,,https://github.com/jquery/jquery/commit/db9e023e62c1ff5d8f21ed9868ab6878da2005e9,,,,1.6.4-1,4.3,AV:N/AC:M/Au:N/C:N/I:P/A:N,2.0
CVE-2012-6708,jquery,^4.0.0,Medium,False,,0.00927,0.76141,no,,https://github.com/jquery/jquery/commit/05531fc4080ae24070930d15ae0cea7ae056457d,,https://github.com/jquery/jquery/commit/05531fc4080ae24070930d15ae0cea7ae056457d,,,,,6.1,CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,3.0
CVE-2015-8860,tar,^7.5.2,High,False,,0.00367,0.5865,no,,,,,,,,,7.5,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N,3.0
CVE-2015-9251,jquery,^4.0.0,Medium,False,,0.27164,0.96403,no,,https://github.com/jquery/jquery/commit/f60729f3903d17917dc351f3ac87794de379b0cc | https://github.com/jquery/jquery/pull/2588 | https://github.com/jquery/jquery/pull/2588/commits/c254d308a7d3f1eac4d0b42837804cfffcba4bb2,,https://github.com/jquery/jquery/commit/f60729f3903d17917dc351f3ac87794de379b0cc | https://github.com/jquery/jquery/pull/2588 | https://github.com/jquery/jquery/pull/2588/commits/c254d308a7d3f1eac4d0b42837804cfffcba4bb2,,,,,6.1,CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,3.0
CVE-2018-1002204,adm-zip,^0.5.16,Medium,False,,0.17577,0.95111,no,,https://github.com/cthackers/adm-zip/pull/212 | https://github.com/cthackers/adm-zip/commit/62f64004fefb894c523a7143e8a88ebe6c84df25,,https://github.com/cthackers/adm-zip/pull/212 | https://github.com/cthackers/adm-zip/commit/62f64004fefb894c523a7143e8a88ebe6c84df25,,,,89b6f6788d92c28ff2c6df3c90957d22b6376c7f | 62f64004fefb894c523a7143e8a88ebe6c84df25,5.5,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:N/I:H/A:N,3.1
CVE-2018-16487,lodash,^4.17.21,High,False,,0.0051,0.66442,no,,,,,,,,3e273e915d1c4176a987fa6ad65e849f59d60453,5.6,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:L/I:L/A:L,3.1
CVE-2018-20834,tar,^7.5.2,High,False,,0.00719,0.72543,no,,https://github.com/npm/node-tar/commit/7ecef07da6a9e72cc0c4d0c9c6a8e85b6b52395d | https://github.com/npm/node-tar/commit/b0c58433c22f5e7fe8b1c76373f27e3f81dcd4c8,,https://github.com/npm/node-tar/commit/7ecef07da6a9e72cc0c4d0c9c6a8e85b6b52395d | https://github.com/npm/node-tar/commit/b0c58433c22f5e7fe8b1c76373f27e3f81dcd4c8,,,1098f4b91d2f51aab7301279fdfa104b12eb45e8,523c5c7fef48b10811fccd12b42803c61b6aead8 | a5f77792dd158603b93cb00e230ef957bc3ce55b | 7ecef07da6a9e72cc0c4d0c9c6a8e85b6b52395d | b0c58433c22f5e7fe8b1c76373f27e3f81dcd4c8,7.5,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N,3.0
CVE-2018-3721,lodash,^4.17.21,Medium,False,,0.00256,0.48905,no,,https://github.com/lodash/lodash/commit/d8e069cc3410082e44eb18fcf8e7f3d08ebe1d4a,,https://github.com/lodash/lodash/commit/d8e069cc3410082e44eb18fcf8e7f3d08ebe1d4a,,,,0e314104d6f37539ed08820d8547cdd953451657 | d8e069cc3410082e44eb18fcf8e7f3d08ebe1d4a,6.5,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:H/A:N,3.1
CVE-2019-10742,axios,^1.13.2,High,False,,0.1309,0.94135,no,,https://github.com/axios/axios/pull/1485,,https://github.com/axios/axios/pull/1485,,,,,7.5,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.0
CVE-2019-10744,lodash,^4.17.21,Critical,False,,0.03341,0.87344,no,,,,,,,,793f983629f5ccef831360f4d31881bbf6264f8b,9.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:H,3.1
CVE-2019-5786,puppeteer,^24.33.0,Medium,True,2022-05-23,0.89384,0.99551,no,,,,,,,,,6.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:H,3.1
CVE-2020-15366,ajv,^8.17.1,Medium,False,,0.00352,0.57589,no,,,,,,,,521c3a53f15f5502fb4a734194932535d311267c,5.6,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:L/I:L/A:L,3.1
CVE-2020-28168,axios,^1.13.2,Medium,False,,0.00446,0.63496,no,,,,,,,8d0b92b2678d96770304dd767cd05a59d37f12cf,484aa4fe6addccbd32206a31eb3d2d000843066e,5.9,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:N/A:N,3.1
CVE-2020-7598,minimist,^1.2.8,Medium,False,,0.00214,0.43807,no,,,,,,,,,5.6,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:L/I:L/A:L,3.1
CVE-2020-7789,node-notifier,^10.0.1,Medium,False,,0.00197,0.41416,no,,,,,,,,5d62799dab88505a709cd032653b2320c5813fce,5.6,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:L/I:L/A:L,3.1
CVE-2021-23337,lodash,^4.17.21,High,False,,0.04314,0.88935,no,,,,,,,,c6e281b878b315c7a10d90f9c2af4cdb112d9625 | 506f585d78d236075f5d47b240518f3e1fdf5811,7.2,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H,3.1
CVE-2021-23341,prismjs,^1.30.0,High,False,,0.01762,0.82697,no,,https://github.com/PrismJS/prism/commit/c2f6a64426f44497a675cb32dccb079b3eff1609 | https://github.com/PrismJS/prism/pull/2584,,https://github.com/PrismJS/prism/commit/c2f6a64426f44497a675cb32dccb079b3eff1609 | https://github.com/PrismJS/prism/pull/2584,,,,88a17b4ff586c8bbd0faf1b1524cee9e039fa580 | c2f6a64426f44497a675cb32dccb079b3eff1609,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.1
CVE-2021-32723,prismjs,^1.30.0,High,False,,0.00373,0.58991,no,,https://github.com/PrismJS/prism/pull/2688 | https://github.com/PrismJS/prism/pull/2774,,https://github.com/PrismJS/prism/pull/2688 | https://github.com/PrismJS/prism/pull/2774,,,,3432b4b1e4440d6592ed82b6b5b9e72f660e43a8,6.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:H,3.1
