cve,package,version,severity,kev,kev_date_added,epss,epss_percentile,exploitdb,exploitdb_ids,commit_links,patch_links,fix_commits,repo_urls,ghsa_ids,introduced_versions,fixed_versions,cvss_base,cvss_vector,cvss_version
CVE-2017-16137,debug,4.1.1,Low,False,,0.00097,0.26455,no,,https://github.com/visionmedia/debug/pull/504,,https://github.com/visionmedia/debug/pull/504,,,c61ae82bde19c6fdedfc6684817ff7eb541ff029 | 52b894cd798f492ead1866fca4d76a649f0e62c6,13abeae468fea297d0dccc50bc55590809241083 | f073e056f33efdd5b311381eb6bca2bc850745bf,5.3,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L,3.0
CVE-2021-3795,semver-regex,2.0.0,High,False,,0.00468,0.64554,no,,https://github.com/sindresorhus/semver-regex/commit/11c66245f4e1976dccc52977ed183696a21a3fd7,,https://github.com/sindresorhus/semver-regex/commit/11c66245f4e1976dccc52977ed183696a21a3fd7,,,,11c66245f4e1976dccc52977ed183696a21a3fd7,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.1
CVE-2021-43307,semver-regex,2.0.0,Low,False,,0.00585,0.69161,no,,,,,,,80cd2f24ea12f55e69b179b633e9c3a133221819,906cf402ca0509a17343c02527bcf3cc42194973 | 65fc4a43703fd1432fa10c6a1c60568dbe9b5032,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.1
CVE-2022-25881,http-cache-semantics,3.8.1,High,False,,0.00175,0.38604,no,,,,,,,,,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.1
CVE-2022-25883,semver,6.3.0,High,False,,0.00598,0.69484,no,,https://github.com/npm/node-semver/commit/717534ee353682f3bcf33e60a8af4292626d4441 | https://github.com/npm/node-semver/pull/564,,https://github.com/npm/node-semver/commit/717534ee353682f3bcf33e60a8af4292626d4441 | https://github.com/npm/node-semver/pull/564,,,5fb517b2906a0763518e1941a3f4a163956a81d3 | f56505b1c08856a7e6139f6ee5d4580f5f2feed8,f8cc313550691a50d9662d8c94f0c033717efd7d | 44d27bc007e4827e9b797d6145f1076c127005f2 | 7fdf1ef223826b428d7f8aaf906e9eeefa9469f9 | 717534ee353682f3bcf33e60a8af4292626d4441,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.1
CVE-2022-33987,got,7.1.0,Medium,False,,0.0083,0.74616,no,,https://github.com/sindresorhus/got/pull/2047,,https://github.com/sindresorhus/got/pull/2047,,,,5e17bb748c260b02e4cf716c2f4079a1c6a7481e,5.3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:N,3.1
CVE-2023-26136,tough-cookie,2.5.0,Medium,False,,0.06587,0.91201,no,,https://github.com/salesforce/tough-cookie/commit/12d474791bb856004e858fdb1c47b7608d09cf6e,,https://github.com/salesforce/tough-cookie/commit/12d474791bb856004e858fdb1c47b7608d09cf6e,,,,4ff4d29f6cefd279a412b8d62a21142ebd410b36 | 12d474791bb856004e858fdb1c47b7608d09cf6e,9.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,3.1
CVE-2023-28155,request,2.88.2,Medium,False,,0.00557,0.68247,no,,https://github.com/request/request/pull/3444,,https://github.com/request/request/pull/3444,,,,,6.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,3.1
CVE-2024-21538,cross-spawn,5.1.0,High,False,,0.00067,0.20505,no,,https://github.com/moxystudio/node-cross-spawn/commit/5ff3a07d9add449021d806e45c4168203aa833ff | https://github.com/moxystudio/node-cross-spawn/commit/640d391fde65388548601d95abedccc12943374f | https://github.com/moxystudio/node-cross-spawn/pull/160,,https://github.com/moxystudio/node-cross-spawn/commit/5ff3a07d9add449021d806e45c4168203aa833ff | https://github.com/moxystudio/node-cross-spawn/commit/640d391fde65388548601d95abedccc12943374f | https://github.com/moxystudio/node-cross-spawn/pull/160,,,,d35c865b877d2f9ded7c1ed87521c2fdb689c8dd | 085268352dcbcad8064c64c5efb25268b4023184 | 5ff3a07d9add449021d806e45c4168203aa833ff | 640d391fde65388548601d95abedccc12943374f,,,
CVE-2024-36751,parseuri,0.0.6,Medium,False,,0.00093,0.25871,no,,,,,,,,,,,
CVE-2024-4067,micromatch,3.1.10,Medium,False,,0.0013,0.31996,no,,https://github.com/micromatch/micromatch/commit/03aa8052171e878897eee5d7bb2ae0ae83ec2ade | https://github.com/micromatch/micromatch/pull/266 | https://github.com/micromatch/micromatch/pull/247,,https://github.com/micromatch/micromatch/commit/03aa8052171e878897eee5d7bb2ae0ae83ec2ade | https://github.com/micromatch/micromatch/pull/266 | https://github.com/micromatch/micromatch/pull/247,,,,8bd704ec0d9894693d35da425d827819916be920 | 03aa8052171e878897eee5d7bb2ae0ae83ec2ade,5.3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L,3.1
CVE-2024-4068,braces,2.3.2,High,False,,0.00203,0.42151,no,,https://github.com/micromatch/braces/pull/40 | https://github.com/micromatch/braces/commit/415d660c3002d1ab7e63dbf490c9851da80596ff | https://github.com/micromatch/braces/pull/37,,https://github.com/micromatch/braces/pull/40 | https://github.com/micromatch/braces/commit/415d660c3002d1ab7e63dbf490c9851da80596ff | https://github.com/micromatch/braces/pull/37,,,,74b2db2938fad48a2ea54a9c8bf27a37a62c350d | 415d660c3002d1ab7e63dbf490c9851da80596ff,,,
