cve,package,version,severity,kev,kev_date_added,epss,epss_percentile,exploitdb,exploitdb_ids,commit_links,patch_links,fix_commits,repo_urls,ghsa_ids,introduced_versions,fixed_versions,cvss_base,cvss_vector,cvss_version
CVE-2020-7753,trim,0.0.1,High,False,,0.04015,0.88487,no,,,,,,,,,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.1
CVE-2022-25883,semver,7.0.0,High,False,,0.00598,0.69484,no,,https://github.com/npm/node-semver/commit/717534ee353682f3bcf33e60a8af4292626d4441 | https://github.com/npm/node-semver/pull/564,,https://github.com/npm/node-semver/commit/717534ee353682f3bcf33e60a8af4292626d4441 | https://github.com/npm/node-semver/pull/564,,,5fb517b2906a0763518e1941a3f4a163956a81d3 | f56505b1c08856a7e6139f6ee5d4580f5f2feed8,f8cc313550691a50d9662d8c94f0c033717efd7d | 44d27bc007e4827e9b797d6145f1076c127005f2 | 7fdf1ef223826b428d7f8aaf906e9eeefa9469f9 | 717534ee353682f3bcf33e60a8af4292626d4441,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.1
CVE-2022-25967,eta,1.12.3,High,False,,0.19024,0.95347,no,,https://github.com/eta-dev/eta/commit/5651392462ee0ff19d77c8481081a99e5b9138dd,,https://github.com/eta-dev/eta/commit/5651392462ee0ff19d77c8481081a99e5b9138dd,,,,5651392462ee0ff19d77c8481081a99e5b9138dd | 48ac365eaf382d06e9feb4a0d0b4959e098ac59f,8.8,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,3.1
CVE-2022-33987,got,9.6.0,Medium,False,,0.0083,0.74616,no,,https://github.com/sindresorhus/got/pull/2047,,https://github.com/sindresorhus/got/pull/2047,,,,5e17bb748c260b02e4cf716c2f4079a1c6a7481e,5.3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:N,3.1
CVE-2022-3517,minimatch,3.0.4,High,False,,0.0049,0.65612,no,,https://github.com/isaacs/minimatch/commit/a8763f4388e51956be62dc6025cec1126beeb5e6,,https://github.com/isaacs/minimatch/commit/a8763f4388e51956be62dc6025cec1126beeb5e6,,,,707e1b231d5ddf5b00040bd04968a1a092992d1a | a8763f4388e51956be62dc6025cec1126beeb5e6,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.1
CVE-2022-37599,loader-utils,3.2.0,High,False,,0.04206,0.88774,no,,,,,,,8cda6ab3c53791851b1528b3d7d8d7f537ae344f | d9f4e23cf411d8556f8bac2d3bf05a6e0103b568 | e1e9f895df7802a859a0e627081fc8fb5ddd7c86,331ad5067d9a1a7b8d646692e6959639969210d1 | 6688b5028106f144ee9f543bebc8e6a87b57829f | a3fd3ca1a5287d217a2370b0902997544e6b9aa9,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.1
CVE-2022-37603,loader-utils,3.2.0,High,False,,0.01331,0.80041,no,,,,,,,d9f4e23cf411d8556f8bac2d3bf05a6e0103b568 | e1e9f895df7802a859a0e627081fc8fb5ddd7c86,331ad5067d9a1a7b8d646692e6959639969210d1 | 6688b5028106f144ee9f543bebc8e6a87b57829f | a3fd3ca1a5287d217a2370b0902997544e6b9aa9,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.1
CVE-2023-23630,eta,1.12.3,High,False,,0.00404,0.60994,no,,https://github.com/eta-dev/eta/commit/5651392462ee0ff19d77c8481081a99e5b9138dd,,https://github.com/eta-dev/eta/commit/5651392462ee0ff19d77c8481081a99e5b9138dd,,,,5651392462ee0ff19d77c8481081a99e5b9138dd | 48ac365eaf382d06e9feb4a0d0b4959e098ac59f,6.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,3.1
CVE-2023-26140,@excalidraw/excalidraw,*,Medium,False,,0.00153,0.35561,no,,https://github.com/excalidraw/excalidraw/commit/b33fa6d6f64d27adc3a47b25c0aa55711740d0af,,https://github.com/excalidraw/excalidraw/commit/b33fa6d6f64d27adc3a47b25c0aa55711740d0af,,,,b33fa6d6f64d27adc3a47b25c0aa55711740d0af,6.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,3.1
CVE-2023-26159,follow-redirects,1.15.1,Medium,False,,0.00101,0.27446,no,,https://github.com/follow-redirects/follow-redirects/pull/236,,https://github.com/follow-redirects/follow-redirects/pull/236,,,,65858205e59f1e23c9bf173348a7a7cbb8ac47f5,6.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,3.1
