cve,package,version,severity,kev,kev_date_added,epss,epss_percentile,exploitdb,exploitdb_ids,commit_links,patch_links,fix_commits,repo_urls,ghsa_ids,introduced_versions,fixed_versions,cvss_base,cvss_vector,cvss_version
CVE-2013-4660,js-yaml,^4.1.0,Critical,False,,0.64507,0.98464,no,,,,,,,,,6.8,AV:N/AC:M/Au:N/C:P/I:P/A:P,2.0
CVE-2018-14732,webpack-dev-server,^5.2.2,High,False,,0.00195,0.41157,no,,https://github.com/webpack/webpack-dev-server/commit/f18e5adf123221a1015be63e1ca2491ca45b8d10,,https://github.com/webpack/webpack-dev-server/commit/f18e5adf123221a1015be63e1ca2491ca45b8d10,,,,0e1f0c1b740f5123bd05179a959752f39273dc62 | f18e5adf123221a1015be63e1ca2491ca45b8d10,7.5,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,3.0
CVE-2018-16487,lodash,^4.17.21,High,False,,0.0051,0.66442,no,,,,,,,,3e273e915d1c4176a987fa6ad65e849f59d60453,5.6,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:L/I:L/A:L,3.1
CVE-2018-3721,lodash,^4.17.21,Medium,False,,0.00256,0.48905,no,,https://github.com/lodash/lodash/commit/d8e069cc3410082e44eb18fcf8e7f3d08ebe1d4a,,https://github.com/lodash/lodash/commit/d8e069cc3410082e44eb18fcf8e7f3d08ebe1d4a,,,,0e314104d6f37539ed08820d8547cdd953451657 | d8e069cc3410082e44eb18fcf8e7f3d08ebe1d4a,6.5,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:H/A:N,3.1
CVE-2019-10744,lodash,^4.17.21,Critical,False,,0.03341,0.87344,no,,,,,,,,793f983629f5ccef831360f4d31881bbf6264f8b,9.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:H,3.1
CVE-2021-23337,lodash,^4.17.21,High,False,,0.04314,0.88935,no,,,,,,,,c6e281b878b315c7a10d90f9c2af4cdb112d9625 | 506f585d78d236075f5d47b240518f3e1fdf5811,7.2,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H,3.1
CVE-2021-23341,prismjs,^1.29.0,High,False,,0.01762,0.82697,no,,https://github.com/PrismJS/prism/commit/c2f6a64426f44497a675cb32dccb079b3eff1609 | https://github.com/PrismJS/prism/pull/2584,,https://github.com/PrismJS/prism/commit/c2f6a64426f44497a675cb32dccb079b3eff1609 | https://github.com/PrismJS/prism/pull/2584,,,,88a17b4ff586c8bbd0faf1b1524cee9e039fa580 | c2f6a64426f44497a675cb32dccb079b3eff1609,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.1
CVE-2021-23382,postcss,^8.5.4,Medium,False,,0.00071,0.21439,no,,https://github.com/postcss/postcss/commit/2b1d04c867995e55124e0a165b7c6622c1735956,,https://github.com/postcss/postcss/commit/2b1d04c867995e55124e0a165b7c6622c1735956,,,d41a37605adc16b3eb17f806ce0259a8b316e603,67e3d7b3402c5d3d036ab7c1e781f86910d6ca72 | 030bd25ed90bcd5b790b58cabe6628e48cf0026c | 2b1d04c867995e55124e0a165b7c6622c1735956,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.1
CVE-2021-23433,algoliasearch-helper,^3.26.0,Critical,False,,0.00235,0.46396,no,,https://github.com/algolia/algoliasearch-helper-js/commit/4ff542b70b92a6b81cce8b9255700b0bc0817edd,,https://github.com/algolia/algoliasearch-helper-js/commit/4ff542b70b92a6b81cce8b9255700b0bc0817edd,,,,0da37cc540275a7500db246155a8d783b45b514e | 4ff542b70b92a6b81cce8b9255700b0bc0817edd,9.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,3.1
CVE-2021-32723,prismjs,^1.29.0,High,False,,0.00373,0.58991,no,,https://github.com/PrismJS/prism/pull/2688 | https://github.com/PrismJS/prism/pull/2774,,https://github.com/PrismJS/prism/pull/2688 | https://github.com/PrismJS/prism/pull/2774,,,,3432b4b1e4440d6592ed82b6b5b9e72f660e43a8,6.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:H,3.1
