cve,package,version,severity,kev,kev_date_added,epss,epss_percentile,exploitdb,exploitdb_ids,commit_links,patch_links,fix_commits,repo_urls,ghsa_ids,introduced_versions,fixed_versions,cvss_base,cvss_vector,cvss_version
CVE-2025-71176,pytest,9.0.2,Medium,False,,6e-05,0.0041,no,,,,,,,,,,,
CVE-2026-22815,aiohttp,3.13.3,Medium,False,,0.00052,0.16369,no,,,,,,,,,,,
CVE-2026-34073,cryptography,46.0.5,Low,False,,9e-05,0.0084,no,,,,,,,,91d728897bdad30cd5c79a2b23e207f1f050d587,5.3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:N,3.1
CVE-2026-34513,aiohttp,3.13.3,Low,False,,0.00052,0.16369,no,,,,,,,,,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.1
CVE-2026-34514,aiohttp,3.13.3,Low,False,,0.00039,0.1181,no,,,,,,,,,5.3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:N,3.1
CVE-2026-34515,aiohttp,3.13.3,Medium,False,,0.00061,0.18942,no,,,,,,,,,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,3.1
CVE-2026-34516,aiohttp,3.13.3,Medium,False,,0.00052,0.16369,no,,,,,,,,,,,
CVE-2026-34517,aiohttp,3.13.3,Low,False,,0.00051,0.15796,no,,,,,,,,,5.3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L,3.1
CVE-2026-34518,aiohttp,3.13.3,Low,False,,0.00038,0.11337,no,,,,,,,,,5.3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N,3.1
CVE-2026-34519,aiohttp,3.13.3,Low,False,,0.00039,0.1181,no,,,,,,,,,5.3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:N,3.1
CVE-2026-34520,aiohttp,3.13.3,Low,False,,0.00057,0.17948,no,,,,,,,,,,,
CVE-2026-34525,aiohttp,3.13.3,Medium,False,,0.00119,0.3086,no,,,,,,,,,5.3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:N,3.1
CVE-2026-35523,strawberry-graphql,0.307.1,High,False,,0.00125,0.31742,no,,,,,,,,,,,
CVE-2026-35526,strawberry-graphql,0.307.1,High,False,,0.00063,0.19716,no,,,,,,,,,,,
CVE-2026-39892,cryptography,46.0.5,Medium,False,,0.00021,0.05897,no,,,,,,,,,9.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,3.1
CVE-2026-40192,pillow,12.1.1,High,False,,0.00018,0.04594,no,,,,,,,,,,,
CVE-2026-40347,python-multipart,0.0.22,Medium,False,,0.00014,0.02807,no,,,,,,,,,,,
CVE-2026-4539,pygments,2.19.2,Low,False,,6e-05,0.00441,no,,,,,,,,,,,
