cve,package,version,severity,kev,kev_date_added,epss,epss_percentile,exploitdb,exploitdb_ids,commit_links,patch_links,fix_commits,repo_urls,ghsa_ids,introduced_versions,fixed_versions,cvss_base,cvss_vector,cvss_version
CVE-2013-4251,scipy,,High,False,,0.00086,0.24765,no,,,,,,,,,7.8,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,3.1
CVE-2015-5237,protobuf,,High,False,,0.00763,0.73413,no,,,,,,,,,8.8,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,3.1
CVE-2019-14751,nltk,,High,False,,0.03222,0.87069,no,,https://github.com/nltk/nltk/commit/f59d7ed8df2e0e957f7f247fe218032abdbe9a10,,https://github.com/nltk/nltk/commit/f59d7ed8df2e0e957f7f247fe218032abdbe9a10,,,,acca8d573878e173379fe190d7f14f298b12dac9 | f59d7ed8df2e0e957f7f247fe218032abdbe9a10,7.5,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N,3.0
CVE-2019-18874,psutil,,High,False,,0.00134,0.33073,no,,,,,,,,,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.1
CVE-2020-13092,scikit-learn,,Critical,False,,0.00883,0.75437,no,,,,,,,,,9.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,3.1
CVE-2020-28975,scikit-learn,,High,False,,0.0025,0.48354,no,,https://github.com/scikit-learn/scikit-learn/commit/1bf13d567d3cd74854aa8343fd25b61dd768bb85,,https://github.com/scikit-learn/scikit-learn/commit/1bf13d567d3cd74854aa8343fd25b61dd768bb85,,,0fb307bf39bbdacd6ed713c00724f8f871d60370,0d378913be6d7e485b792ea36e9268be31ed52d0 | 1bf13d567d3cd74854aa8343fd25b61dd768bb85,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.1
CVE-2021-3828,nltk,,High,False,,0.00433,0.62758,no,,https://github.com/nltk/nltk/commit/277711ab1dec729e626b27aab6fa35ea5efbd7e6,,https://github.com/nltk/nltk/commit/277711ab1dec729e626b27aab6fa35ea5efbd7e6,,,,277711ab1dec729e626b27aab6fa35ea5efbd7e6,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.1
CVE-2021-3842,nltk,,High,False,,0.00411,0.61422,no,,https://github.com/nltk/nltk/commit/2a50a3edc9d35f57ae42a921c621edc160877f4d,,https://github.com/nltk/nltk/commit/2a50a3edc9d35f57ae42a921c621edc160877f4d,,,,4862b094ae4a9aa04396e06335ae52f7920e48c7 | 2a50a3edc9d35f57ae42a921c621edc160877f4d,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.1
CVE-2021-43854,nltk,,High,False,,0.00836,0.74672,no,,https://github.com/nltk/nltk/commit/1405aad979c6b8080dbbc8e0858f89b2e3690341 | https://github.com/nltk/nltk/pull/2869,,https://github.com/nltk/nltk/commit/1405aad979c6b8080dbbc8e0858f89b2e3690341 | https://github.com/nltk/nltk/pull/2869,,,,b42236425456418b64803f099f6ca1fc3d24031f | 1405aad979c6b8080dbbc8e0858f89b2e3690341,5,AV:N/AC:L/Au:N/C:N/I:N/A:P,2.0
CVE-2022-1941,protobuf,,High,False,,0.00171,0.38254,no,,,,,,,17b30e96476be70b8773b2b807bab857fd3ceb39 | bc799d78f81115940eec953e2937245c70e3e6e4 | 7062d0a2d0075d5e7d5c294fd3984df67a976da3,a902b39270841beafc307dfa709610aa1cac2f06 | b464cfbee18c71c40e761a5273ad369f3547294b | a20c65f2cd549445fda907f7b83894c8eb7427d6 | 24487dd1045c7f3d64a21f38a3f0c06cc4cf2edb,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.1
