cve,package,version,severity,kev,kev_date_added,epss,epss_percentile,exploitdb,exploitdb_ids,commit_links,patch_links,fix_commits,repo_urls,ghsa_ids,introduced_versions,fixed_versions,cvss_base,cvss_vector,cvss_version
CVE-2025-62718,axios,1.13.6,Medium,False,,0.00035,0.10362,no,,,,,,,,,9.9,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:L/A:L,3.1
CVE-2026-2950,lodash,4.17.23,Medium,False,,0.00023,0.06428,no,,,,,,,,,5.3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:N,3.1
CVE-2026-33671,picomatch,2.3.1,High,False,,0.00019,0.05318,no,,https://github.com/micromatch/picomatch/commit/5eceecd27543b8e056b9307d69e105ea03618a7d,,https://github.com/micromatch/picomatch/commit/5eceecd27543b8e056b9307d69e105ea03618a7d,,,bc719c4c7ee0b1f7e1d1bdd27d60ae1779a43d89,e5474fc1a4d7991870058170407dda8a42be5334 | 81cba8d4b767cab3cb29d26eb4f691eed75b73b2 | a2197c6e7ddddda3733f9d738622a668d41c3b6a,,,
CVE-2026-33672,picomatch,2.3.1,Medium,False,,0.00057,0.17549,no,,https://github.com/micromatch/picomatch/commit/4516eb521f13a46b2fe1a1d2c9ef6b20ddc0e903,,https://github.com/micromatch/picomatch/commit/4516eb521f13a46b2fe1a1d2c9ef6b20ddc0e903,,,bc719c4c7ee0b1f7e1d1bdd27d60ae1779a43d89,e5474fc1a4d7991870058170407dda8a42be5334 | 81cba8d4b767cab3cb29d26eb4f691eed75b73b2 | a2197c6e7ddddda3733f9d738622a668d41c3b6a,,,
CVE-2026-33750,brace-expansion,1.1.12,Medium,False,,0.00024,0.06638,no,,https://github.com/juliangruber/brace-expansion/commit/311ac0d54994158c0a384e286a7d6cbb17ee8ed5 | https://github.com/juliangruber/brace-expansion/commit/7fd684f89fdde3549563d0a6522226a9189472a2 | https://github.com/juliangruber/brace-expansion/commit/b9cacd9e55e7a1fa588fe4b7bb1159d52f1d902a | https://github.com/juliangruber/brace-expansion/pull/95 | https://github.com/juliangruber/brace-expansion/pull/96 | https://github.com/juliangruber/brace-expansion/pull/97,,https://github.com/juliangruber/brace-expansion/commit/311ac0d54994158c0a384e286a7d6cbb17ee8ed5 | https://github.com/juliangruber/brace-expansion/commit/7fd684f89fdde3549563d0a6522226a9189472a2 | https://github.com/juliangruber/brace-expansion/commit/b9cacd9e55e7a1fa588fe4b7bb1159d52f1d902a | https://github.com/juliangruber/brace-expansion/pull/95 | https://github.com/juliangruber/brace-expansion/pull/96 | https://github.com/juliangruber/brace-expansion/pull/97,,,6a39bdddcf944374b475d99b0e8292d3727c7ebe | b01a637b0578a7c59acc7d8386f11f8d0710b512 | 0b6a022491103b806770bc037654744bef3e63be,87939017c6cb6be56b98c6fa2059b073315cd534 | 67ff947eb70ec5d57961f9e09b205487498fc4ed | 73b5459d2ab973c984d01324769d306f66440c7e | 6c353caf23beb9644f858eb3fe38d43a68b82898,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.1
CVE-2026-34601,@xmldom/xmldom,0.8.11,High,False,,0.00054,0.16641,no,,,,,,,,,,,
CVE-2026-40175,axios,1.13.6,Medium,False,,0.00028,0.07855,no,,,,,,,,,4.8,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:L/I:L/A:N,3.1
CVE-2026-41672,@xmldom/xmldom,0.8.11,High,False,,,,no,,,,,,,,,,,
CVE-2026-41673,@xmldom/xmldom,0.8.11,High,False,,,,no,,,,,,,,,,,
CVE-2026-41674,@xmldom/xmldom,0.8.11,High,False,,,,no,,,,,,,,,,,
CVE-2026-41675,@xmldom/xmldom,0.8.11,High,False,,,,no,,,,,,,,,,,
CVE-2026-4800,lodash,4.17.23,High,False,,0.00046,0.13895,no,,,,,,,,,9.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,3.1
