cve,package,version,severity,kev,kev_date_added,epss,epss_percentile,exploitdb,exploitdb_ids,commit_links,patch_links,fix_commits,repo_urls,ghsa_ids,introduced_versions,fixed_versions,cvss_base,cvss_vector,cvss_version
CVE-2023-44270,postcss,7.0.39,Medium,False,,0.00219,0.44357,no,,https://github.com/postcss/postcss/commit/58cc860b4c1707510c9cd1bc1fa30b423a9ad6c5,,https://github.com/postcss/postcss/commit/58cc860b4c1707510c9cd1bc1fa30b423a9ad6c5,,,,90208de8805dd762596c0028b8637ffbed23e371 | 58cc860b4c1707510c9cd1bc1fa30b423a9ad6c5,5.3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:N,3.1
CVE-2023-48795,russh,0.37.1,Medium,False,,0.58603,0.9822,no,,https://github.com/connectbot/sshlib/commit/5c8b534f6e97db7ac0e0e579331213aa25c173ab | https://github.com/jtesta/ssh-audit/commit/8e972c5e94b460379fe0c7d20209c16df81538a5 | https://github.com/openssh/openssh-portable/commits/master | https://github.com/TeraTermProject/teraterm/commit/7279fbd6ef4d0c8bdd6a90af4ada2899d786eec0 | https://github.com/golang/crypto/commit/9d2ee975ef9fe627bf0a6f01c1f69e8ef1d4f05d | https://github.com/mscdex/ssh2/commit/97b223f8891b96d6fc054df5ab1d5a1a545da2a3 | https://github.com/libssh2/libssh2/pull/1291 | https://git.libssh.org/projects/libssh.git/commit/?h=stable-0.10&id=10e09e273f69e149389b3e0e5d44b8c221c2e7f6,,https://github.com/connectbot/sshlib/commit/5c8b534f6e97db7ac0e0e579331213aa25c173ab | https://github.com/jtesta/ssh-audit/commit/8e972c5e94b460379fe0c7d20209c16df81538a5 | https://github.com/openssh/openssh-portable/commits/master | https://github.com/TeraTermProject/teraterm/commit/7279fbd6ef4d0c8bdd6a90af4ada2899d786eec0 | https://github.com/golang/crypto/commit/9d2ee975ef9fe627bf0a6f01c1f69e8ef1d4f05d | https://github.com/mscdex/ssh2/commit/97b223f8891b96d6fc054df5ab1d5a1a545da2a3 | https://github.com/libssh2/libssh2/pull/1291 | https://git.libssh.org/projects/libssh.git/commit/?h=stable-0.10&id=10e09e273f69e149389b3e0e5d44b8c221c2e7f6,,GHSA-45x7-px36-x8w8,7a8d04dbcb388a5d837a213ad249c1b96e19e998 | 583cba31eb09c14abd0b217fe7ac2e9a60425d51 | 4ed7957623e5ccbd420a09a506bd6bc9930fe93c | 8c0ea6bd3306cfd6ca19730d180a2a93a716e1ee | 79a1bc918ffd2e81b5bd39cfdf87dfc81390fbb5,dca6a021b5889d3723845694132c9d8dd3f8d348 | 891c1b1e7313268f85fbfbf1c7e58d401dc370f8 | 5c8b534f6e97db7ac0e0e579331213aa25c173ab | df84c42e7e8a1675769fa9065b2781a6abc8ab1b | a6a92f0d69b8cf5e72e38ffa5e693057aa2dc776 | 106609456818d9983c932db2cdbaaad8577b98f9 | 60c60ff27b37b34b79218aef0ceb92f68e54f83f | 85be379c3f1c0021ccb8d6ae9eb69f4e6712a150,5.9,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:H/A:N,3.1
CVE-2024-4067,micromatch,3.1.10,Medium,False,,0.0013,0.31996,no,,https://github.com/micromatch/micromatch/commit/03aa8052171e878897eee5d7bb2ae0ae83ec2ade | https://github.com/micromatch/micromatch/pull/266 | https://github.com/micromatch/micromatch/pull/247,,https://github.com/micromatch/micromatch/commit/03aa8052171e878897eee5d7bb2ae0ae83ec2ade | https://github.com/micromatch/micromatch/pull/266 | https://github.com/micromatch/micromatch/pull/247,,,,8bd704ec0d9894693d35da425d827819916be920 | 03aa8052171e878897eee5d7bb2ae0ae83ec2ade,5.3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L,3.1
CVE-2024-4068,braces,2.3.2,High,False,,0.00203,0.42151,no,,https://github.com/micromatch/braces/pull/40 | https://github.com/micromatch/braces/commit/415d660c3002d1ab7e63dbf490c9851da80596ff | https://github.com/micromatch/braces/pull/37,,https://github.com/micromatch/braces/pull/40 | https://github.com/micromatch/braces/commit/415d660c3002d1ab7e63dbf490c9851da80596ff | https://github.com/micromatch/braces/pull/37,,,,74b2db2938fad48a2ea54a9c8bf27a37a62c350d | 415d660c3002d1ab7e63dbf490c9851da80596ff,,,
CVE-2024-43410,russh,0.37.1,High,False,,0.00582,0.69045,no,,https://github.com/Eugeny/russh/commit/f660ea3f64b86d11d19e33076012069f02431e55,,https://github.com/Eugeny/russh/commit/f660ea3f64b86d11d19e33076012069f02431e55,,,,ba8bde99990bdeced9203b98efcfebf0c667460c | 53b0a9095be16ae79a1c4434171cc651787cf3ec,,,
CVE-2025-13465,lodash,4.17.21,Medium,False,,0.00029,0.08333,no,,,,,,,d35a9c40beb594d09814ba7f7673b81d4d67a816,835a537f36ee2fd5fb7f524e213ff9ba2d8698f8,5.3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:N,3.1
CVE-2025-54804,russh,0.37.1,Medium,False,,0.00107,0.28454,no,,https://github.com/Eugeny/russh/commit/0eb5e406780890e21ff71dd25d731b30676478e5,,https://github.com/Eugeny/russh/commit/0eb5e406780890e21ff71dd25d731b30676478e5,,,,4a5f69b914081f79d6448f48644a2f5fae91cc9f | 32e7e3a14d59bf61469f1115027a44ada9981d8d,,,
CVE-2026-24001,diff,7.0.0,Low,False,,0.0002,0.05431,no,,https://github.com/kpdecker/jsdiff/commit/15a1585230748c8ae6f8274c202e0c87309142f5 | https://github.com/kpdecker/jsdiff/pull/649,,https://github.com/kpdecker/jsdiff/commit/15a1585230748c8ae6f8274c202e0c87309142f5 | https://github.com/kpdecker/jsdiff/pull/649,,,e80648d06dd3dd967622dc418bcad821b003ed4a | d358a573dc38fb89dd5ee296805e29f75c932a58 | 84d12ca26ae06631ac70151d75b919d78638c060,13576bfbcc444ce48f71cfd1e08529bd13962411 | b7b6339dea15baa636bebe7092ec1cbabf001dea | f06f3e4cacad5955caf891a8a02c5bb1c954bcb5 | e8bb42240c6adbbcdad7754f37b094081c9e7112,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.1
CVE-2026-2950,lodash,4.17.21,Medium,False,,0.00023,0.06428,no,,,,,,,,,5.3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:N,3.1
CVE-2026-33750,brace-expansion,2.0.2,Medium,False,,0.00024,0.06638,no,,https://github.com/juliangruber/brace-expansion/commit/311ac0d54994158c0a384e286a7d6cbb17ee8ed5 | https://github.com/juliangruber/brace-expansion/commit/7fd684f89fdde3549563d0a6522226a9189472a2 | https://github.com/juliangruber/brace-expansion/commit/b9cacd9e55e7a1fa588fe4b7bb1159d52f1d902a | https://github.com/juliangruber/brace-expansion/pull/95 | https://github.com/juliangruber/brace-expansion/pull/96 | https://github.com/juliangruber/brace-expansion/pull/97,,https://github.com/juliangruber/brace-expansion/commit/311ac0d54994158c0a384e286a7d6cbb17ee8ed5 | https://github.com/juliangruber/brace-expansion/commit/7fd684f89fdde3549563d0a6522226a9189472a2 | https://github.com/juliangruber/brace-expansion/commit/b9cacd9e55e7a1fa588fe4b7bb1159d52f1d902a | https://github.com/juliangruber/brace-expansion/pull/95 | https://github.com/juliangruber/brace-expansion/pull/96 | https://github.com/juliangruber/brace-expansion/pull/97,,,6a39bdddcf944374b475d99b0e8292d3727c7ebe | b01a637b0578a7c59acc7d8386f11f8d0710b512 | 0b6a022491103b806770bc037654744bef3e63be,87939017c6cb6be56b98c6fa2059b073315cd534 | 67ff947eb70ec5d57961f9e09b205487498fc4ed | 73b5459d2ab973c984d01324769d306f66440c7e | 6c353caf23beb9644f858eb3fe38d43a68b82898,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.1
