cve,package,version,severity,kev,kev_date_added,epss,epss_percentile,exploitdb,exploitdb_ids,commit_links,patch_links,fix_commits,repo_urls,ghsa_ids,introduced_versions,fixed_versions,cvss_base,cvss_vector,cvss_version
CVE-2014-1858,numpy,,High,False,,0.00041,0.12443,no,,,,,,,,,5.5,CVSS:3.0/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:H/A:N,3.0
CVE-2014-1859,numpy,,High,False,,0.00048,0.14806,no,,https://github.com/numpy/numpy/commit/0bb46c1448b0d3f5453d5182a17ea7ac5854ee15,,https://github.com/numpy/numpy/commit/0bb46c1448b0d3f5453d5182a17ea7ac5854ee15,,,,1:1.8.1~rc1-1,5.5,CVSS:3.0/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:H/A:N,3.0
CVE-2016-10075,tqdm,,High,False,,0.00088,0.25143,no,,,,,,,,,7.8,CVSS:3.0/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,3.0
CVE-2017-12852,numpy,,High,False,,0.00808,0.74227,no,,,,,,,,,7.5,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.0
CVE-2019-6446,numpy,,Critical,False,,0.71492,0.98731,no,,https://github.com/numpy/numpy/pull/12889 | https://github.com/numpy/numpy/commit/89b688732b37616c9d26623f81aaee1703c30ffb | https://github.com/numpy/numpy/pull/13359,,https://github.com/numpy/numpy/pull/12889 | https://github.com/numpy/numpy/commit/89b688732b37616c9d26623f81aaee1703c30ffb | https://github.com/numpy/numpy/pull/13359,,,,89b688732b37616c9d26623f81aaee1703c30ffb,9.8,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,3.0
CVE-2021-33430,numpy,,Medium,False,,0.00173,0.38641,no,,,,,,,07601a64cdfeb1c0247bde1294ad6380413cab66,,5.3,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:N/I:N/A:H,3.1
CVE-2021-34141,numpy,,Medium,False,,0.00064,0.20016,no,,,,,,,,4adc87dff15a247e417d50f10cc4def8e1c17a03,5.3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L,3.1
CVE-2021-41495,numpy,,High,False,,0.00107,0.28916,no,,,,,,,,,5.3,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:N/I:N/A:H,3.1
CVE-2021-41496,numpy,,Medium,False,,0.00037,0.10932,no,,,,,,,,92ebe1e9a6aeb47a881a1226b08218175776f9ea,5.5,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,3.1
CVE-2022-45907,torch,,Critical,False,,0.00942,0.76306,no,,https://github.com/pytorch/pytorch/commit/767f6aa49fe20a2766b9843d01e3b7f7793df6a3,,https://github.com/pytorch/pytorch/commit/767f6aa49fe20a2766b9843d01e3b7f7793df6a3,,,,49444c3e546bf240bed24a101e747422d1f8a0ee | 767f6aa49fe20a2766b9843d01e3b7f7793df6a3,9.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,3.1
CVE-2024-31580,torch,,High,False,,0.00024,0.06562,no,,https://github.com/pytorch/pytorch/commit/b5c3a17c2c207ebefcb85043f0cf94be9b2fef81,,https://github.com/pytorch/pytorch/commit/b5c3a17c2c207ebefcb85043f0cf94be9b2fef81,,,,8ac9b20d4b090c213799e81acf48a55ea8d437d6 | b5c3a17c2c207ebefcb85043f0cf94be9b2fef81,,,
CVE-2024-31583,torch,,High,False,,0.00049,0.15191,no,,https://github.com/pytorch/pytorch/commit/9c7071b0e324f9fb68ab881283d6b8d388a4bcd2,,https://github.com/pytorch/pytorch/commit/9c7071b0e324f9fb68ab881283d6b8d388a4bcd2,,,,8ac9b20d4b090c213799e81acf48a55ea8d437d6 | 9c7071b0e324f9fb68ab881283d6b8d388a4bcd2,,,
CVE-2024-34062,tqdm,,Low,False,,0.00091,0.25516,no,,https://github.com/tqdm/tqdm/commit/4e613f84ed2ae029559f539464df83fa91feb316,,https://github.com/tqdm/tqdm/commit/4e613f84ed2ae029559f539464df83fa91feb316,,,,4e613f84ed2ae029559f539464df83fa91feb316,,,
CVE-2025-2953,torch,,Low,False,,0.00151,0.35733,no,,,,,,,,,5.5,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,3.1
CVE-2025-32434,torch,,Critical,False,,0.01219,0.79078,no,,,,,,,,1eba9b3aa3c43f86f4a2c807ac8e12c4a7767340,9.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,3.1
CVE-2025-3730,torch,,Medium,False,,0.0005,0.15485,no,,https://github.com/pytorch/pytorch/pull/150981 | https://github.com/timocafe/tewart-pytorch/commit/46fc5d8e360127361211cb237d5f9eef0223e567,,https://github.com/pytorch/pytorch/pull/150981 | https://github.com/timocafe/tewart-pytorch/commit/46fc5d8e360127361211cb237d5f9eef0223e567,,,,46fc5d8e360127361211cb237d5f9eef0223e567,5.5,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,3.1
