cve,package,version,severity,kev,kev_date_added,epss,epss_percentile,exploitdb,exploitdb_ids,commit_links,patch_links,fix_commits,repo_urls,ghsa_ids,introduced_versions,fixed_versions,cvss_base,cvss_vector,cvss_version
CVE-2011-4356,celery,,Medium,False,,0.00047,0.14412,no,,https://github.com/ask/celery/pull/544,,https://github.com/ask/celery/pull/544,,,,,6.9,AV:L/AC:M/Au:N/C:C/I:C/A:C,2.0
CVE-2018-1000656,flask,,High,False,,0.00583,0.69021,no,,https://github.com/pallets/flask/pull/2691,,https://github.com/pallets/flask/pull/2691,,,,1a9e58e8c97c47c969736d46410f724f4e834f54,7.5,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.0
CVE-2019-1010083,flask,,High,False,,0.00399,0.60659,no,,,,,,,,d92b64aa275841b0c9aea3903aba72fbc4275d91,7.5,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.0
CVE-2023-46136,werkzeug,2.3.3,Medium,False,,0.00573,0.68716,no,,https://github.com/pallets/werkzeug/commit/f3c803b3ade485a45f12b6d6617595350c0f03e2,,https://github.com/pallets/werkzeug/commit/f3c803b3ade485a45f12b6d6617595350c0f03e2,,,,ce4eff5902d4a6b41a20ecc6e4029741284a87fd,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.1
CVE-2024-22195,jinja2,3.1.2,Medium,False,,0.00151,0.3566,no,,,,,,,,d9de4bb215fd1cc8092a410fb834c7c4060b1fc1,6.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,3.1
CVE-2024-34064,jinja2,3.1.2,Medium,False,,0.00838,0.74721,no,,https://github.com/pallets/jinja/commit/0668239dc6b44ef38e7a6c9f91f312fd4ca581cb,,https://github.com/pallets/jinja/commit/0668239dc6b44ef38e7a6c9f91f312fd4ca581cb,,,,dd4a8b5466d8790540c181590b14db4d4d889d57,,,
CVE-2024-34069,werkzeug,2.3.3,High,False,,0.38929,0.97278,no,,https://github.com/pallets/werkzeug/commit/3386395b24c7371db11a5b8eaac0c91da5362692,,https://github.com/pallets/werkzeug/commit/3386395b24c7371db11a5b8eaac0c91da5362692,,,,f9995e967979eb694d6b31536cc65314fd7e9c8c,,,
CVE-2024-49766,werkzeug,2.3.3,Medium,False,,0.01392,0.80404,no,,https://github.com/pallets/werkzeug/commit/2767bcb10a7dd1c297d812cc5e6d11a474c1f092,,https://github.com/pallets/werkzeug/commit/2767bcb10a7dd1c297d812cc5e6d11a474c1f092,,,,5eaefc3996aa5cc8c5237d8b82f1b89eed6ea624,5.3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N,3.1
CVE-2024-49767,werkzeug,2.3.3,Medium,False,,0.0109,0.77967,no,,https://github.com/pallets/quart/commit/5e78c4169b8eb66b91ead3e62d44721b9e1644ee | https://github.com/pallets/quart/commit/abb04a512496206de279225340ed022852fbf51f | https://github.com/pallets/werkzeug/commit/50cfeebcb0727e18cc52ffbeb125f4a66551179b,,https://github.com/pallets/quart/commit/5e78c4169b8eb66b91ead3e62d44721b9e1644ee | https://github.com/pallets/quart/commit/abb04a512496206de279225340ed022852fbf51f | https://github.com/pallets/werkzeug/commit/50cfeebcb0727e18cc52ffbeb125f4a66551179b,,,,0c91e8e5cd35eb0b8629672627decd528f1f2bbf | 5e78c4169b8eb66b91ead3e62d44721b9e1644ee | abb04a512496206de279225340ed022852fbf51f | 5eaefc3996aa5cc8c5237d8b82f1b89eed6ea624,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.1
CVE-2024-56201,jinja2,3.1.2,Medium,False,,0.00459,0.64058,no,,https://github.com/pallets/jinja/commit/767b23617628419ae3709ccfb02f9602ae9fe51f,,https://github.com/pallets/jinja/commit/767b23617628419ae3709ccfb02f9602ae9fe51f,,,417f822196f66155e8c121e5229cc12a6b02ce14,877f6e51be8e1765b06d911cfaa9033775f051d1,8.8,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H,3.1
CVE-2024-56326,jinja2,3.1.2,Medium,False,,0.00456,0.6392,no,,https://github.com/pallets/jinja/commit/48b0687e05a5466a91cd5812d604fa37ad0943b4,,https://github.com/pallets/jinja/commit/48b0687e05a5466a91cd5812d604fa37ad0943b4,,,,877f6e51be8e1765b06d911cfaa9033775f051d1,,,
CVE-2025-27516,jinja2,3.1.2,Medium,False,,0.00121,0.31128,no,,https://github.com/pallets/jinja/commit/90457bbf33b8662926ae65cdde4c4c32e756e403,,https://github.com/pallets/jinja/commit/90457bbf33b8662926ae65cdde4c4c32e756e403,,,,15206881c006c79667fe5154fe80c01c65410679,8.8,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H,3.1
CVE-2025-47278,flask,,Low,False,,0.00106,0.28585,no,,https://github.com/pallets/flask/commit/73d6504063bfa00666a92b07a28aaf906c532f09,,https://github.com/pallets/flask/commit/73d6504063bfa00666a92b07a28aaf906c532f09,,,,73d6504063bfa00666a92b07a28aaf906c532f09 | 7fff56f5172c48b6f3aedf17ee14ef5c2533dfd1,,,
CVE-2025-66221,werkzeug,2.3.3,Medium,False,,0.00032,0.09256,no,,https://github.com/pallets/werkzeug/commit/4b833376a45c323a189cd11d2362bcffdb1c0c13,,https://github.com/pallets/werkzeug/commit/4b833376a45c323a189cd11d2362bcffdb1c0c13,,,,1c7beb671d1af67a07684ffa1fffdb0fc76c7fa4,5.3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L,3.1
CVE-2025-71176,pytest,9.0.2,Medium,False,,6e-05,0.0041,no,,,,,,,,,,,
CVE-2026-21860,werkzeug,2.3.3,Medium,False,,0.00022,0.06073,no,,https://github.com/pallets/werkzeug/commit/7ae1d254e04a0c33e241ac1cca4783ce6c875ca3,,https://github.com/pallets/werkzeug/commit/7ae1d254e04a0c33e241ac1cca4783ce6c875ca3,,,,e3d06f4b1f7ff40a63eba78f81d9cda18f805d6d,5.3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L,3.1
CVE-2026-27199,werkzeug,2.3.3,Medium,False,,0.0002,0.05461,no,,https://github.com/pallets/werkzeug/commit/f407712fdc60a09c2b3f4fe7db557703e5d9338d,,https://github.com/pallets/werkzeug/commit/f407712fdc60a09c2b3f4fe7db557703e5d9338d,,,,04da1b5221b7a7b57e82246e4b5741d37a6b2e56,5.3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L,3.1
CVE-2026-27205,flask,2.3.2,Low,False,,0.00011,0.01432,no,,https://github.com/pallets/flask/commit/089cb86dd22bff589a4eafb7ab8e42dc357623b4,,https://github.com/pallets/flask/commit/089cb86dd22bff589a4eafb7ab8e42dc357623b4,,,,22d924701a6ae2e4cd01e9a15bbaf3946094af65,4.3,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:L/I:N/A:N,3.1
CVE-2026-39892,cryptography,46.0.6,Medium,False,,0.00021,0.05897,no,,,,,,,,,9.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,3.1
