cve,package,version,severity,kev,kev_date_added,epss,epss_percentile,exploitdb,exploitdb_ids,commit_links,patch_links,fix_commits,repo_urls,ghsa_ids,introduced_versions,fixed_versions,cvss_base,cvss_vector,cvss_version
CVE-2017-16116,string,1.1.1,High,False,,0.00366,0.58531,no,,,,,,,,,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.1
CVE-2019-16769,serialize-javascript,^6.0.0,Medium,False,,0.00406,0.61089,no,,,,,,,,433fc9cafe375b3f376efd12730b226035c3ee3a,5.4,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:C/C:L/I:L/A:N,3.1
CVE-2020-7660,serialize-javascript,^6.0.0,High,False,,0.02901,0.86398,no,,https://github.com/yahoo/serialize-javascript/commit/f21a6fb3ace2353413761e79717b2d210ba6ccbd,,https://github.com/yahoo/serialize-javascript/commit/f21a6fb3ace2353413761e79717b2d210ba6ccbd,,,,b54341e3f4be20b415148219767049173f0974d8 | f21a6fb3ace2353413761e79717b2d210ba6ccbd,8.1,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:H,3.1
CVE-2021-21353,pug,^3.0.2,Medium,False,,0.01375,0.80338,no,,https://github.com/pugjs/pug/commit/991e78f7c4220b2f8da042877c6f0ef5a4683be0 | https://github.com/pugjs/pug/pull/3314,,https://github.com/pugjs/pug/commit/991e78f7c4220b2f8da042877c6f0ef5a4683be0 | https://github.com/pugjs/pug/pull/3314,,,c077df4a8d523fe42e52f83b62d3c8ba3822d3b3,991e78f7c4220b2f8da042877c6f0ef5a4683be0 | 56d803caaa8a93a040b7be0b8a36abdc4ce8c509 | d4b7f602ba38212c2a5ad9431479ce959c466c4b,9,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:C/C:H/I:H/A:H,3.1
CVE-2021-23337,lodash.template,4.5.0,High,False,,0.04314,0.88935,no,,,,,,,,c6e281b878b315c7a10d90f9c2af4cdb112d9625 | 506f585d78d236075f5d47b240518f3e1fdf5811,7.2,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H,3.1
CVE-2021-23382,postcss,^8.4.14,Medium,False,,0.00071,0.21439,no,,https://github.com/postcss/postcss/commit/2b1d04c867995e55124e0a165b7c6622c1735956,,https://github.com/postcss/postcss/commit/2b1d04c867995e55124e0a165b7c6622c1735956,,,d41a37605adc16b3eb17f806ce0259a8b316e603,67e3d7b3402c5d3d036ab7c1e781f86910d6ca72 | 030bd25ed90bcd5b790b58cabe6628e48cf0026c | 2b1d04c867995e55124e0a165b7c6622c1735956,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.1
CVE-2023-26159,follow-redirects,1.15.3,Medium,False,,0.00101,0.27446,no,,https://github.com/follow-redirects/follow-redirects/pull/236,,https://github.com/follow-redirects/follow-redirects/pull/236,,,,65858205e59f1e23c9bf173348a7a7cbb8ac47f5,6.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,3.1
CVE-2023-44270,postcss,^8.4.14,Medium,False,,0.00219,0.44357,no,,https://github.com/postcss/postcss/commit/58cc860b4c1707510c9cd1bc1fa30b423a9ad6c5,,https://github.com/postcss/postcss/commit/58cc860b4c1707510c9cd1bc1fa30b423a9ad6c5,,,,90208de8805dd762596c0028b8637ffbed23e371 | 58cc860b4c1707510c9cd1bc1fa30b423a9ad6c5,5.3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:N,3.1
CVE-2024-11831,serialize-javascript,6.0.1,Medium,False,,0.01129,0.78396,no,,https://github.com/yahoo/serialize-javascript/pull/173 | https://github.com/yahoo/serialize-javascript/commit/f27d65d3de42affe2aac14607066c293891cec4e,,https://github.com/yahoo/serialize-javascript/pull/173 | https://github.com/yahoo/serialize-javascript/commit/f27d65d3de42affe2aac14607066c293891cec4e,,,,f27d65d3de42affe2aac14607066c293891cec4e,,,
CVE-2024-12905,tar-fs,2.1.1,High,False,,0.0132,0.79967,no,,https://github.com/mafintosh/tar-fs/commit/a1dd7e7c7f4b4a8bd2ab60f513baca573b44e2ed,,https://github.com/mafintosh/tar-fs/commit/a1dd7e7c7f4b4a8bd2ab60f513baca573b44e2ed,,,0f54a78bcc8735c4257177fd004c2f9e55c588bb | 6d66143dc5e40480dd6135a4453f6da26a5602e0,ff6510d7ba63b6ee200442b80f4326f369e7d4bd | d97731b0e1b8a244ab859784b514cfcf5585ad3d | e4a7a401e80267247b8e9e39d8e5ba82c4fe2f7b | a1dd7e7c7f4b4a8bd2ab60f513baca573b44e2ed,,,
