cve,package,version,severity,kev,kev_date_added,epss,epss_percentile,exploitdb,exploitdb_ids,commit_links,patch_links,fix_commits,repo_urls,ghsa_ids,introduced_versions,fixed_versions,cvss_base,cvss_vector,cvss_version
CVE-2013-1633,setuptools,,High,False,,0.00765,0.73477,no,,,,,,,,,6.8,AV:N/AC:M/Au:N/C:P/I:P/A:P,2.0
CVE-2014-1829,requests,,Medium,False,,0.00495,0.65792,no,,,,,,,,,5,AV:N/AC:L/Au:N/C:P/I:N/A:N,2.0
CVE-2014-1830,requests,,Medium,False,,0.00464,0.64342,no,,,,,,,,,5,AV:N/AC:L/Au:N/C:P/I:N/A:N,2.0
CVE-2014-1858,numpy,,High,False,,0.00041,0.12443,no,,,,,,,,,5.5,CVSS:3.0/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:H/A:N,3.0
CVE-2014-1859,numpy,,High,False,,0.00048,0.14806,no,,https://github.com/numpy/numpy/commit/0bb46c1448b0d3f5453d5182a17ea7ac5854ee15,,https://github.com/numpy/numpy/commit/0bb46c1448b0d3f5453d5182a17ea7ac5854ee15,,,,1:1.8.1~rc1-1,5.5,CVSS:3.0/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:H/A:N,3.0
CVE-2014-1932,pillow,,High,False,,0.00098,0.26928,no,,https://github.com/python-imaging/Pillow/commit/4e9f367dfd3f04c8f5d23f7f759ec12782e10ee7,,https://github.com/python-imaging/Pillow/commit/4e9f367dfd3f04c8f5d23f7f759ec12782e10ee7,,,,,4.4,AV:L/AC:M/Au:N/C:P/I:P/A:P,2.0
CVE-2014-1933,pillow,,Medium,False,,0.00111,0.29405,no,,https://github.com/python-imaging/Pillow/commit/4e9f367dfd3f04c8f5d23f7f759ec12782e10ee7,,https://github.com/python-imaging/Pillow/commit/4e9f367dfd3f04c8f5d23f7f759ec12782e10ee7,,,,,2.1,AV:L/AC:L/Au:N/C:N/I:P/A:N,2.0
CVE-2014-3007,pillow,,Critical,False,,0.03008,0.86601,no,,,,,,,,,10,AV:N/AC:L/Au:N/C:C/I:C/A:C,2.0
CVE-2014-3589,pillow,,High,False,,0.01389,0.80376,no,,https://github.com/python-pillow/Pillow/commit/205e056f8f9b06ed7b925cf8aa0874bc4aaf8a7d,,https://github.com/python-pillow/Pillow/commit/205e056f8f9b06ed7b925cf8aa0874bc4aaf8a7d,,,,,5,AV:N/AC:L/Au:N/C:N/I:N/A:P,2.0
CVE-2014-3598,pillow,,High,False,,0.00403,0.60878,no,,,,,,,,,5,AV:N/AC:L/Au:N/C:N/I:N/A:P,2.0
