cve,package,severity,kev,kev_date_added,epss,epss_percentile,exploitdb,exploitdb_ids,commit_links,patch_links,fix_commits,repo_urls,ghsa_ids,introduced_versions,fixed_versions,cvss_base,cvss_vector,cvss_version
CVE-2023-24531,stdlib,Critical,False,,0.00481,0.65068,no,,,,,,,,,,,
CVE-2023-39318,stdlib,Medium,False,,0.00105,0.28726,no,,,,,,,c19c4c566c63818dfd059b352e52c4710eecf14d,d5b851804329aa547dafa278a0c35dd62298d651 | 2c1e5b05fe39fc5e6c730dd60e82946b8e67c6ba,,,
CVE-2023-39319,stdlib,Medium,False,,0.00105,0.28726,no,,,,,,,c19c4c566c63818dfd059b352e52c4710eecf14d,d5b851804329aa547dafa278a0c35dd62298d651 | 2c1e5b05fe39fc5e6c730dd60e82946b8e67c6ba,,,
CVE-2023-39323,stdlib,High,False,,0.0006,0.18946,no,,,,,,,c19c4c566c63818dfd059b352e52c4710eecf14d,68f9a6e2addc828246992e66e79c6a51a32d1d71 | 26b5783b72376acd0386f78295e678b9a6bff30e,,,
CVE-2023-39325,stdlib,High,False,,0.0015,0.35579,no,,,,,,,c19c4c566c63818dfd059b352e52c4710eecf14d,8042fd87f37a725e34407994c9a11aaf95f5af45 | 883f062fc0a097bf561030ad453fd3e300896975,,,
CVE-2023-39326,stdlib,Medium,False,,0.00123,0.31657,no,,,,,,,,97c8ff8d53759e7a82b1862403df1694f2b6e073 | 6018ad99a4a951581b2d846a8ccd6f1d4e74fd11,,,
CVE-2023-44487,stdlib,High,True,2023-10-10,0.94385,0.99971,no,,https://github.com/nghttp2/nghttp2/pull/1961 | https://github.com/microsoft/CBL-Mariner/pull/6381 | https://github.com/apache/trafficserver/pull/10564 | https://github.com/linkerd/website/pull/1695/commits/4b9c6836471bc8270ab48aae6fd2181bc73fd632 | https://github.com/envoyproxy/envoy/pull/30055 | https://github.com/netty/netty/commit/58f75f665aa81a8cbcf6ffa74820042a285c5e61 | https://github.com/kazu-yamamoto/http2/commit/f61d41a502bd0f60eb24e1ce14edc7b6df6722a1 | https://github.com/grpc/grpc-go/pull/6703,,https://github.com/nghttp2/nghttp2/pull/1961 | https://github.com/microsoft/CBL-Mariner/pull/6381 | https://github.com/apache/trafficserver/pull/10564 | https://github.com/linkerd/website/pull/1695/commits/4b9c6836471bc8270ab48aae6fd2181bc73fd632 | https://github.com/envoyproxy/envoy/pull/30055 | https://github.com/netty/netty/commit/58f75f665aa81a8cbcf6ffa74820042a285c5e61 | https://github.com/kazu-yamamoto/http2/commit/f61d41a502bd0f60eb24e1ce14edc7b6df6722a1 | https://github.com/grpc/grpc-go/pull/6703,,GHSA-qppj-fm5r-hxr3 | GHSA-vx74-f528-fxqg | GHSA-xpw8-rcwv-8f8p,3bd4b8a9566a8de9ecd730b50552b580ba3fe4c2 | 24d1ec762e4bee402cc98b5ca57a08531f3c0b51 | e37b977db6f47e4380ad67114a49e8568951c953 | 16bf392c67833ad549733b58c350ff92b5ee782a | b310e3566f58dd04ec2b15b111ec86ea70e20019 | b14030656330ed623cd1f9efe2f4f9abd9d16e29 | ee849590a02cc5cd61eff18aa64bf985ec45124d | 63772e2191a750dd3cafa75914cacdb038c7520c,7e11c65e70778a3c6757dab45b56e579c539050b | 4298fb738cff7fd7679a9b415f569e7728dae566 | 4317e7187c28af82fe94ab09b37d5f5fbca7fff4 | 1a3b131141fed9468d9da1167c7fcb37902935ed | df3dbfbb8344844fdf4f9a2b3d8aebe3793bfc56 | 1a6238dbb383b68833499b4425342900e8fd6abd | 7d430ba73e5b5915970a89f0b9f4bbbfc86e7960 | 796ffd3a329b4b1f2ec0dd51158e62c94914c4ca,,,
CVE-2023-45283,stdlib,High,False,,0.00318,0.54808,no,,,,,,,,1d0d4b149ce71083ec474d0491851ab2d2dc695e | ed817f1c4055a559a94afffecbb91c78e4f39942,,,
CVE-2023-45284,stdlib,Medium,False,,0.00028,0.08052,no,,,,,,,,1d0d4b149ce71083ec474d0491851ab2d2dc695e | ed817f1c4055a559a94afffecbb91c78e4f39942,,,
CVE-2023-45285,stdlib,High,False,,0.00055,0.17322,no,,,,,,,,97c8ff8d53759e7a82b1862403df1694f2b6e073 | 6018ad99a4a951581b2d846a8ccd6f1d4e74fd11,,,
CVE-2023-45288,stdlib,High,False,,0.71463,0.98715,no,,,,,,,,,,,
CVE-2023-45289,stdlib,Medium,False,,0.00615,0.69846,no,,,,,,,,,,,
CVE-2023-45290,stdlib,Medium,False,,0.00491,0.65559,no,,,,,,,,,,,
CVE-2024-24783,stdlib,Medium,False,,0.00602,0.69466,no,,,,,,,,,,,
CVE-2024-24784,stdlib,High,False,,0.02017,0.83691,no,,,,,,,,,,,
CVE-2024-24785,stdlib,Medium,False,,0.01251,0.79295,no,,,,,,,,,,,
CVE-2024-24787,stdlib,Medium,False,,0.02711,0.85854,no,,,,,,,,,,,
CVE-2024-24789,stdlib,Medium,False,,7e-05,0.00518,no,,,,,,,a10e42f219abb9c5bc4e7d86d9464700a42c7d57,48103d97a84d549b44bc4764df6958f73ba5ee02 | ace5bb40d027b718b67556afcd31bf54cff050ab,,,
CVE-2024-24790,stdlib,Critical,False,,0.00172,0.38506,no,,,,,,,a10e42f219abb9c5bc4e7d86d9464700a42c7d57,48103d97a84d549b44bc4764df6958f73ba5ee02 | ace5bb40d027b718b67556afcd31bf54cff050ab,,,
CVE-2024-24791,stdlib,High,False,,0.01018,0.77152,no,,,,,,,,,,,
CVE-2024-34155,stdlib,Medium,False,,0.00081,0.24043,no,,,,,,,,,,,
CVE-2024-34156,stdlib,High,False,,0.00298,0.53102,no,,,,,,,,,,,
CVE-2024-34158,stdlib,High,False,,0.00163,0.37367,no,,,,,,,,,,,
CVE-2024-45336,stdlib,Medium,False,,0.00142,0.3451,no,,,,,,,,,,,
CVE-2024-45341,stdlib,Medium,False,,0.00119,0.30923,no,,,,,,,,,,,
CVE-2025-0913,stdlib,Medium,False,,0.00015,0.03037,no,,,,,,,3901409b5d0fb7c85a3e6730a59943cc93b2835c,d375ae50633cdf1cd8536f2a199c382f9053b638 | 6796ebb2cb66b316a07998cdcd69b1c486b8579e,,,
CVE-2025-22866,stdlib,Medium,False,,0.00022,0.05855,no,,,,,,,,,,,
CVE-2025-22871,stdlib,Critical,False,,0.00127,0.32204,no,,,,,,,,,,,
