cve,package,severity,kev,kev_date_added,epss,epss_percentile,exploitdb,exploitdb_ids,commit_links,patch_links,fix_commits,repo_urls,ghsa_ids,introduced_versions,fixed_versions,cvss_base,cvss_vector,cvss_version
CVE-2017-16082,pg,Critical,False,,0.70815,0.98687,no,,,,,,,,,9.8,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,3.0
CVE-2019-16728,dompurify,Medium,False,,0.00962,0.76448,no,,,,,,,,4c8ca9db5b4b2a79ed6c779ac6f22587ba16a3e1,6.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,3.1
CVE-2019-25155,dompurify,Medium,False,,0.00242,0.47451,no,,https://github.com/cure53/DOMPurify/pull/337/files,,https://github.com/cure53/DOMPurify/pull/337/files,,,,3c1c0d7e11cda896b0c69cf82e0ca6e0c0e7dd38,6.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,3.1
CVE-2020-26870,dompurify,Medium,False,,0.00417,0.61684,no,,https://github.com/cure53/DOMPurify/commit/02724b8eb048dd219d6725b05c3000936f11d62d,,https://github.com/cure53/DOMPurify/commit/02724b8eb048dd219d6725b05c3000936f11d62d,,,,f04574b5c1761ace5fa4c60f3e452c0c2eb02ff4 | 02724b8eb048dd219d6725b05c3000936f11d62d,6.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,3.1
CVE-2020-5284,next,Medium,False,,0.8195,0.99197,no,,,,,,,,ee0081356d7ea166dfed4765f134730c11ecaecf,4.3,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:N/A:N,3.1
CVE-2021-37699,next,Medium,False,,0.0043,0.62492,no,,,,,,,ef32e16fb1e65e0b8278a295cc584bbc696ae6f4 | 0ca24563be9658732eac158c31046ff58bfe78ca,ce4adfc02d3532e2c62ed8088660df1655e66278,6.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,3.1
CVE-2021-41945,httpx,Critical,False,,0.00691,0.71758,no,,,,,,,,89cdd903b2f339c6ae319773c31b8c9352bd9cd8,9.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:N,3.1
CVE-2021-43803,next,High,False,,0.0218,0.84294,no,,https://github.com/vercel/next.js/commit/6d98b4fb4315dec1badecf0e9bdc212a4272b264 | https://github.com/vercel/next.js/pull/32080,,https://github.com/vercel/next.js/commit/6d98b4fb4315dec1badecf0e9bdc212a4272b264 | https://github.com/vercel/next.js/pull/32080,,,ce4adfc02d3532e2c62ed8088660df1655e66278 | 8a450db14a1b29d506ec86df1a002bc525ab0da7,ec1a0f7643172e5beba96e7be7d000471813cf69 | b6162bb6b6b46788ef2ae700d81c99e94d903900 | 6d98b4fb4315dec1badecf0e9bdc212a4272b264,4.3,AV:N/AC:M/Au:N/C:N/I:N/A:P,2.0
CVE-2022-35204,vite,High,False,,0.0097,0.76575,no,,,,,,,,d93ac8eca16534eb5474c19899bc130019b30a71 | d5c50997dca46c6b901fd951eac492f96271b511,4.3,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:L/I:N/A:N,3.1
CVE-2023-32325,posthog-js,Medium,False,,0.00621,0.7002,no,,https://github.com/PostHog/posthog-js/commit/67e07eb8bb271a3a6f4aa251382e4d25abb385a0,,https://github.com/PostHog/posthog-js/commit/67e07eb8bb271a3a6f4aa251382e4d25abb385a0,,,,9f75a06d5a1575b39d96c257f9e4b90cd2b5ad7d | 67e07eb8bb271a3a6f4aa251382e4d25abb385a0,6.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,3.1
