cve,package,version,severity,kev,kev_date_added,epss,epss_percentile,exploitdb,exploitdb_ids,commit_links,patch_links,fix_commits,repo_urls,ghsa_ids,introduced_versions,fixed_versions,cvss_base,cvss_vector,cvss_version
CVE-2016-10516,werkzeug,0.11,Medium,False,,0.00411,0.61395,no,,,,,,,,938a331ddb0c7009f4286e962f8a9c1ebad62be2,6.1,CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,3.0
CVE-2016-10931,openssl,0.8.3,High,False,,0.00183,0.3997,no,,,,,,,,a0b56c437803a08413755928040a0970a93a7b83,8.1,CVSS:3.0/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:H,3.0
CVE-2016-7798,openssl,1.1.1q,High,False,,0.00792,0.73949,no,,https://github.com/ruby/openssl/commit/8108e0a6db133f3375608303fdd2083eb5115062,,https://github.com/ruby/openssl/commit/8108e0a6db133f3375608303fdd2083eb5115062,,,,4ff95439d0b13aac7b9b2e3674f0a6662c715ec6 | 8108e0a6db133f3375608303fdd2083eb5115062,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,3.1
CVE-2017-14033,openssl,1.1.1q,High,False,,0.0818,0.92207,no,,,,,,,,,7.5,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.0
CVE-2017-15095,jackson-databind,2.9.1,Critical,False,,0.08606,0.92441,no,,,,,,,e8df0987e3034d102ee6d704d30a05a2e3ac7089 | 50791cc7856376949287e0be3e96147665ab8f68 | 81929fad84189ce59ef82e7a6d0df795eb0c7cdb,fab5c3877f7b8ae28a8e3a14d805bc9dcc8c153d | 9e170e1a28221cf273e8a63e01f1731a9fcd11bc | 0b6e589c1c0ee20854ac0efeafacbf2782fc9f1c,9.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,3.1
CVE-2017-17485,jackson-databind,2.9.1,Critical,False,,0.84949,0.99352,no,,,,,,,50791cc7856376949287e0be3e96147665ab8f68 | 81929fad84189ce59ef82e7a6d0df795eb0c7cdb | e969f0a31b781f5dfb74e16ddd5ee4b4fa36e8d8,ec1adf8c72625fd51b30105afad7464c4332d542 | 9e170e1a28221cf273e8a63e01f1731a9fcd11bc | a6efd882b6df2f8fd1fc20dc24e938d24e91c4db | 8b1b40f3a8ab910a065d216e71cd40e7f0828415,9.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,3.1
CVE-2018-11307,jackson-databind,2.9.1,Critical,False,,0.12636,0.93993,no,,,,,,,e8df0987e3034d102ee6d704d30a05a2e3ac7089 | 50791cc7856376949287e0be3e96147665ab8f68 | 81929fad84189ce59ef82e7a6d0df795eb0c7cdb | e969f0a31b781f5dfb74e16ddd5ee4b4fa36e8d8,ec1adf8c72625fd51b30105afad7464c4332d542 | cc654cacb5adcab1e7ddcfb2c2c733d1c61b4147 | 0dbab948c8e995f786ad31adc0d6f669ddb27642 | 18eb3683f5527ced27fc0a467f687054d1f98d39,9.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,3.1
CVE-2018-12022,jackson-databind,2.9.1,High,False,,0.03035,0.86678,no,,https://github.com/FasterXML/jackson-databind/commit/28badf7ef60ac3e7ef151cd8e8ec010b8479226a,,https://github.com/FasterXML/jackson-databind/commit/28badf7ef60ac3e7ef151cd8e8ec010b8479226a,,,e8df0987e3034d102ee6d704d30a05a2e3ac7089 | 50791cc7856376949287e0be3e96147665ab8f68 | 81929fad84189ce59ef82e7a6d0df795eb0c7cdb | e969f0a31b781f5dfb74e16ddd5ee4b4fa36e8d8,ec1adf8c72625fd51b30105afad7464c4332d542 | cc654cacb5adcab1e7ddcfb2c2c733d1c61b4147 | 0dbab948c8e995f786ad31adc0d6f669ddb27642 | 18eb3683f5527ced27fc0a467f687054d1f98d39 | 28badf7ef60ac3e7ef151cd8e8ec010b8479226a,7.5,CVSS:3.1/AV:N/AC:H/PR:N/UI:R/S:U/C:H/I:H/A:H,3.1
CVE-2018-12023,jackson-databind,2.9.1,High,False,,0.04812,0.89512,no,,https://github.com/FasterXML/jackson-databind/commit/28badf7ef60ac3e7ef151cd8e8ec010b8479226a,,https://github.com/FasterXML/jackson-databind/commit/28badf7ef60ac3e7ef151cd8e8ec010b8479226a,,,50791cc7856376949287e0be3e96147665ab8f68 | 81929fad84189ce59ef82e7a6d0df795eb0c7cdb | e969f0a31b781f5dfb74e16ddd5ee4b4fa36e8d8,cc654cacb5adcab1e7ddcfb2c2c733d1c61b4147 | 0dbab948c8e995f786ad31adc0d6f669ddb27642 | 18eb3683f5527ced27fc0a467f687054d1f98d39 | 28badf7ef60ac3e7ef151cd8e8ec010b8479226a,7.5,CVSS:3.0/AV:N/AC:H/PR:N/UI:R/S:U/C:H/I:H/A:H,3.0
CVE-2018-14718,jackson-databind,2.9.1,Critical,False,,0.14515,0.94475,no,,https://github.com/FasterXML/jackson-databind/commit/87d29af25e82a249ea15858e2d4ecbf64091db44,,https://github.com/FasterXML/jackson-databind/commit/87d29af25e82a249ea15858e2d4ecbf64091db44,,,e8df0987e3034d102ee6d704d30a05a2e3ac7089 | 50791cc7856376949287e0be3e96147665ab8f68 | 81929fad84189ce59ef82e7a6d0df795eb0c7cdb | e969f0a31b781f5dfb74e16ddd5ee4b4fa36e8d8,ec1adf8c72625fd51b30105afad7464c4332d542 | 2723191696b098f9b7566a5094a932baf5f7563e | 71c8143d4b1e2696b27d10cc969b22248e1ab6b6 | b36c8ac5d8cfce192059fc7c278766e685bf8a6c | 87d29af25e82a249ea15858e2d4ecbf64091db44,9.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,3.1
