cve,package,version,severity,kev,kev_date_added,epss,epss_percentile,exploitdb,exploitdb_ids,commit_links,patch_links,fix_commits,repo_urls,ghsa_ids,introduced_versions,fixed_versions,cvss_base,cvss_vector,cvss_version
CVE-2022-33987,got,9.6.0,Medium,False,,0.00807,0.74219,no,,https://github.com/sindresorhus/got/pull/2047,,https://github.com/sindresorhus/got/pull/2047,,,,5e17bb748c260b02e4cf716c2f4079a1c6a7481e,5.3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:N,3.1
CVE-2023-24531,stdlib,go1.20.12,Critical,False,,0.00481,0.65131,no,,,,,,,,,,,
CVE-2023-4316,zod,3.21.4,Medium,False,,0.00144,0.3464,no,,,,,,,,,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.1
CVE-2023-44270,postcss,8.4.14,Medium,False,,0.00197,0.41638,no,,https://github.com/postcss/postcss/commit/58cc860b4c1707510c9cd1bc1fa30b423a9ad6c5,,https://github.com/postcss/postcss/commit/58cc860b4c1707510c9cd1bc1fa30b423a9ad6c5,,,,90208de8805dd762596c0028b8637ffbed23e371 | 58cc860b4c1707510c9cd1bc1fa30b423a9ad6c5,5.3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:N,3.1
CVE-2023-45288,stdlib,go1.20.12,High,False,,0.71463,0.9873,no,,,,,,,,,,,
CVE-2023-45289,stdlib,go1.20.12,Medium,False,,0.00615,0.69929,no,,,,,,,,,,,
CVE-2023-45290,stdlib,go1.20.12,Medium,False,,0.00491,0.65626,no,,,,,,,,,,,
CVE-2023-46298,next,13.4.19,Low,False,,0.00417,0.61802,no,,https://github.com/vercel/next.js/pull/54732,,https://github.com/vercel/next.js/pull/54732,,,,f1c286fff2e03218b863e0b9ceff4dd7db2ca820,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.1
CVE-2024-21538,cross-spawn,5.1.0,High,False,,0.00067,0.2069,no,,https://github.com/moxystudio/node-cross-spawn/commit/5ff3a07d9add449021d806e45c4168203aa833ff | https://github.com/moxystudio/node-cross-spawn/commit/640d391fde65388548601d95abedccc12943374f | https://github.com/moxystudio/node-cross-spawn/pull/160,,https://github.com/moxystudio/node-cross-spawn/commit/5ff3a07d9add449021d806e45c4168203aa833ff | https://github.com/moxystudio/node-cross-spawn/commit/640d391fde65388548601d95abedccc12943374f | https://github.com/moxystudio/node-cross-spawn/pull/160,,,,d35c865b877d2f9ded7c1ed87521c2fdb689c8dd | 085268352dcbcad8064c64c5efb25268b4023184 | 5ff3a07d9add449021d806e45c4168203aa833ff | 640d391fde65388548601d95abedccc12943374f,,,
CVE-2024-24783,stdlib,go1.20.12,Medium,False,,0.00602,0.6955,no,,,,,,,,,,,
CVE-2024-24784,stdlib,go1.20.12,High,False,,0.02017,0.83779,no,,,,,,,,,,,
CVE-2024-24785,stdlib,go1.20.12,Medium,False,,0.01065,0.77712,no,,,,,,,,,,,
CVE-2024-24787,stdlib,go1.20.12,Medium,False,,0.02711,0.85924,no,,,,,,,,,,,
CVE-2024-24789,stdlib,go1.20.12,Medium,False,,7e-05,0.00536,no,,,,,,,a10e42f219abb9c5bc4e7d86d9464700a42c7d57,48103d97a84d549b44bc4764df6958f73ba5ee02 | ace5bb40d027b718b67556afcd31bf54cff050ab,,,
CVE-2024-24790,stdlib,go1.20.12,Critical,False,,0.00172,0.38368,no,,,,,,,a10e42f219abb9c5bc4e7d86d9464700a42c7d57,48103d97a84d549b44bc4764df6958f73ba5ee02 | ace5bb40d027b718b67556afcd31bf54cff050ab,,,
CVE-2024-24791,stdlib,go1.20.12,High,False,,0.01018,0.7724,no,,,,,,,,,,,
CVE-2024-34155,stdlib,go1.20.12,Medium,False,,0.00081,0.23875,no,,,,,,,,,,,
CVE-2024-34156,stdlib,go1.20.12,High,False,,0.00298,0.53187,no,,,,,,,,,,,
CVE-2024-34158,stdlib,go1.20.12,High,False,,0.00163,0.3721,no,,,,,,,,,,,
CVE-2024-34350,next,13.4.19,High,False,,0.00888,0.75518,no,,,,,,,fb12a6dc877c5ce2f21246f4921494a1b8e356a6,0c1c7f847ee820f93bdf08e809b1e2e62230ab4b,,,
CVE-2024-34351,next,13.4.19,High,False,,0.92751,0.99758,no,,https://github.com/vercel/next.js/commit/8f7a6ca7d21a97bc9f7a1bbe10427b5ad74b9085 | https://github.com/vercel/next.js/pull/62561,,https://github.com/vercel/next.js/commit/8f7a6ca7d21a97bc9f7a1bbe10427b5ad74b9085 | https://github.com/vercel/next.js/pull/62561,,,fb12a6dc877c5ce2f21246f4921494a1b8e356a6,5f59ee5f197a09275da7a9fa876986f22f4b7711,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N,3.1
CVE-2024-39693,next,13.4.19,High,False,,0.00514,0.666,no,,,,,,,642328545117f202aee2c9d290fdd5d7b0c2f5b2,ffafad2c35a3f9677bb520f68e989f58f192b931,,,
CVE-2024-4067,micromatch,4.0.5,Medium,False,,0.0013,0.32399,no,,https://github.com/micromatch/micromatch/commit/03aa8052171e878897eee5d7bb2ae0ae83ec2ade | https://github.com/micromatch/micromatch/pull/266 | https://github.com/micromatch/micromatch/pull/247,,https://github.com/micromatch/micromatch/commit/03aa8052171e878897eee5d7bb2ae0ae83ec2ade | https://github.com/micromatch/micromatch/pull/266 | https://github.com/micromatch/micromatch/pull/247,,,,8bd704ec0d9894693d35da425d827819916be920 | 03aa8052171e878897eee5d7bb2ae0ae83ec2ade,5.3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L,3.1
CVE-2024-4068,braces,3.0.2,High,False,,0.00203,0.42318,no,,https://github.com/micromatch/braces/pull/40 | https://github.com/micromatch/braces/commit/415d660c3002d1ab7e63dbf490c9851da80596ff | https://github.com/micromatch/braces/pull/37,,https://github.com/micromatch/braces/pull/40 | https://github.com/micromatch/braces/commit/415d660c3002d1ab7e63dbf490c9851da80596ff | https://github.com/micromatch/braces/pull/37,,,,74b2db2938fad48a2ea54a9c8bf27a37a62c350d | 415d660c3002d1ab7e63dbf490c9851da80596ff,,,
CVE-2024-45336,stdlib,go1.20.12,Medium,False,,0.00142,0.34397,no,,,,,,,,,,,
CVE-2024-45341,stdlib,go1.20.12,Medium,False,,0.00119,0.30764,no,,,,,,,,,,,
CVE-2024-47831,next,13.4.19,Medium,False,,0.01699,0.82321,no,,https://github.com/vercel/next.js/commit/d11cbc9ff0b1aaefabcba9afe1e562e0b1fde65a,,https://github.com/vercel/next.js/commit/d11cbc9ff0b1aaefabcba9afe1e562e0b1fde65a,,,118ab7992bc8f7a7e5a7bb996510d9b56ffe4f68,a1c3a0370ef465c1b788c7bf75d770ca92897cf7,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.1
CVE-2024-51479,next,13.4.19,High,False,,0.66731,0.98548,no,,,,,,,e334c4ece8c97ea14fcd974b4510e580a11bcf84,737c29e49f9532cce3da8e25d88bc82cf5f5fe9a,,,
CVE-2024-55565,nanoid,3.3.6,Medium,False,,0.00107,0.2886,no,,https://github.com/ai/nanoid/pull/510,,https://github.com/ai/nanoid/pull/510,,,,65a38ac63a0709c420b9de30b15511b84e87c423,,,
CVE-2024-56332,next,13.4.19,Medium,False,,0.00339,0.567,no,,,,,,,63aab20a2ca4f0340e7ca5baff00a5f261dd12d2 | b546d8b22c0f0749022cd84c22e67ec3628eb027 | 51bfe3c1863b191f4b039bc230e8ed5c57b0baf3,cde2a1ad12b8ce1e50a28ef2120a457e561516a4 | 2655f6efd3379cf68205b3b5c5173399294f7731 | df392a1b9748d5e88eeffbab6ba9e00c0aa9473a,,,
CVE-2025-0913,stdlib,go1.20.12,Medium,False,,0.0004,0.12094,no,,,,,,,3901409b5d0fb7c85a3e6730a59943cc93b2835c,d375ae50633cdf1cd8536f2a199c382f9053b638 | 6796ebb2cb66b316a07998cdcd69b1c486b8579e,,,
CVE-2025-13465,lodash,4.17.21,Medium,False,,0.00029,0.08421,no,,,,,,,d35a9c40beb594d09814ba7f7673b81d4d67a816,835a537f36ee2fd5fb7f524e213ff9ba2d8698f8,5.3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:N,3.1
CVE-2025-22866,stdlib,go1.20.12,Medium,False,,0.00022,0.06048,no,,,,,,,,,,,
CVE-2025-22871,stdlib,go1.20.12,Critical,False,,0.00094,0.26092,no,,,,,,,,,,,
CVE-2025-22873,stdlib,go1.20.12,Low,False,,3e-05,0.00136,no,,,,,,,3901409b5d0fb7c85a3e6730a59943cc93b2835c,f77084d15d53e6aa09d2e7f867e69cc9766da2c5 | 34c8b14ca9f4096383d658fbd748322a993a2bd2,,,
CVE-2025-27789,@babel/helpers,7.26.9,Medium,False,,0.00082,0.23943,no,,https://github.com/babel/babel/pull/17173,,https://github.com/babel/babel/pull/17173,,,bdbaca37bf5ec7fb879e729b39d48673f45842f3,e1ce99df422971175249509e7bbc2b327b8f7957 | 786b4357423fb650084503352648af44c8ffc409,,,
