cve,package,severity,kev,kev_date_added,epss,epss_percentile,exploitdb,exploitdb_ids,commit_links,patch_links,fix_commits,repo_urls,ghsa_ids,introduced_versions,fixed_versions,cvss_base,cvss_vector,cvss_version
CVE-2024-21503,black,Medium,False,,0.0006,0.18937,no,,https://github.com/psf/black/commit/f00093672628d212b8965a8993cee8bedf5fe9b8,,https://github.com/psf/black/commit/f00093672628d212b8965a8993cee8bedf5fe9b8,,,,552baf822992936134cbd31a38f69c8cfe7c0f05 | f00093672628d212b8965a8993cee8bedf5fe9b8,,,
CVE-2024-31207,vite,Medium,False,,0.00182,0.40013,no,,https://github.com/vitejs/vite/commit/011bbca350e447d1b499d242804ce62738c12bc0 | https://github.com/vitejs/vite/commit/5a056dd2fc80dbafed033062fe6aaf4717309f48 | https://github.com/vitejs/vite/commit/89c7c645f09d16a38f146ef4a1528f218e844d67 | https://github.com/vitejs/vite/commit/96a7f3a41ef2f9351c46f3ab12489bb4efa03cc9 | https://github.com/vitejs/vite/commit/ba5269cca81de3f5fbb0f49d58a1c55688043258 | https://github.com/vitejs/vite/commit/d2db33f7d4b96750b35370c70dd2c35ec3b9b649,,https://github.com/vitejs/vite/commit/011bbca350e447d1b499d242804ce62738c12bc0 | https://github.com/vitejs/vite/commit/5a056dd2fc80dbafed033062fe6aaf4717309f48 | https://github.com/vitejs/vite/commit/89c7c645f09d16a38f146ef4a1528f218e844d67 | https://github.com/vitejs/vite/commit/96a7f3a41ef2f9351c46f3ab12489bb4efa03cc9 | https://github.com/vitejs/vite/commit/ba5269cca81de3f5fbb0f49d58a1c55688043258 | https://github.com/vitejs/vite/commit/d2db33f7d4b96750b35370c70dd2c35ec3b9b649,,,,011bbca350e447d1b499d242804ce62738c12bc0 | 5a056dd2fc80dbafed033062fe6aaf4717309f48 | 89c7c645f09d16a38f146ef4a1528f218e844d67 | 96a7f3a41ef2f9351c46f3ab12489bb4efa03cc9 | ba5269cca81de3f5fbb0f49d58a1c55688043258 | d2db33f7d4b96750b35370c70dd2c35ec3b9b649,,,
CVE-2024-45811,vite,Medium,False,,0.00015,0.02908,no,,https://github.com/vitejs/vite/commit/6820bb3b9a54334f3268fc5ee1e967d2e1c0db34,,https://github.com/vitejs/vite/commit/6820bb3b9a54334f3268fc5ee1e967d2e1c0db34,,,cf50e548d4ae7f6ed9ade507d70acbd39b4e0b93 | 29a260cb16025408defc2e8186d1fbf17ee099ac | 0c3125833033fec4356ab4e90e806e02e8644c40 | 566d4c7bb51cf56550a5374ee46e1e1cbea1cf1f,f9691767ad763720065cc7c5c7f369f97b4e7ea8 | f469ceb5d883f00b2c60a7d6361ac2e2a4b35df6 | 673ae1607dde2f4296dfd2a90f7de77897c4bd5e | f1d8845fff4842c3a0fec69309d9475c12c30cd9 | 45b8644543f1adfb9c02bf88461278d9f7119642,,,
CVE-2024-45812,vite,Medium,False,,0.00256,0.48961,no,,https://github.com/vitejs/vite/commit/ade1d89660e17eedfd35652165b0c26905259fad,,https://github.com/vitejs/vite/commit/ade1d89660e17eedfd35652165b0c26905259fad,,,cf50e548d4ae7f6ed9ade507d70acbd39b4e0b93 | 29a260cb16025408defc2e8186d1fbf17ee099ac | 0c3125833033fec4356ab4e90e806e02e8644c40 | 566d4c7bb51cf56550a5374ee46e1e1cbea1cf1f,f9691767ad763720065cc7c5c7f369f97b4e7ea8 | f469ceb5d883f00b2c60a7d6361ac2e2a4b35df6 | 673ae1607dde2f4296dfd2a90f7de77897c4bd5e | f1d8845fff4842c3a0fec69309d9475c12c30cd9 | 45b8644543f1adfb9c02bf88461278d9f7119642,,,
CVE-2024-47068,rollup,High,False,,0.02837,0.86135,no,,https://github.com/rollup/rollup/commit/2ef77c00ec2635d42697cff2c0567ccc8db34fb4 | https://github.com/rollup/rollup/commit/e2552c9e955e0a61f70f508200ee9f752f85a541,,https://github.com/rollup/rollup/commit/2ef77c00ec2635d42697cff2c0567ccc8db34fb4 | https://github.com/rollup/rollup/commit/e2552c9e955e0a61f70f508200ee9f752f85a541,,,d1a825a74af094260d76e01a3c1a8633bf2139a2 | 2f261358c62b4f9e62cb86bf99de8d4ff3668994,dfd233d3a9feb18aa69b49b6c1da0248a4f1c6e3 | 79c0aba353ca84c0e22c3cfe9eee433ba83f3670 | c9bd03d12e96c46122a0372d3bbe9b468cee57da,6.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,3.1
CVE-2024-47874,starlette,High,False,,0.00125,0.31824,no,,https://github.com/encode/starlette/commit/fd038f3070c302bff17ef7d173dbb0b007617733,,https://github.com/encode/starlette/commit/fd038f3070c302bff17ef7d173dbb0b007617733,,,,4ded4b7ac517bd301cee69f5c189b1cb48c069b6 | fd038f3070c302bff17ef7d173dbb0b007617733,,,
CVE-2024-53382,prismjs,Medium,False,,0.00083,0.24468,no,,,,,,,,,5.4,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:C/C:L/I:L/A:N,3.1
CVE-2025-24010,vite,Medium,False,,0.00092,0.25923,no,,,,,,,814120f2ad387ca3d1e16c7dd403b04ca4b97f75 | 0c3125833033fec4356ab4e90e806e02e8644c40,a55f8ba3e43108de340610d4d021dcd926be5876 | f428aa9af8534b214abb09fe4456653eb09913e7 | 9e460f58f91f95972ff9683f664fa4df44b6d2af,,,
CVE-2025-27789,@babel/helpers,Medium,False,,0.00139,0.34159,no,,https://github.com/babel/babel/pull/17173,,https://github.com/babel/babel/pull/17173,,,bdbaca37bf5ec7fb879e729b39d48673f45842f3,e1ce99df422971175249509e7bbc2b327b8f7957 | 786b4357423fb650084503352648af44c8ffc409,,,
CVE-2025-30208,vite,Medium,False,,0.88956,0.9952,no,,https://github.com/vitejs/vite/commit/315695e9d97cc6cfa7e6d9e0229fb50cdae3d9f4 | https://github.com/vitejs/vite/commit/80381c38d6f068b12e6e928cd3c616bd1d64803c | https://github.com/vitejs/vite/commit/807d7f06d33ab49c48a2a3501da3eea1906c0d41 | https://github.com/vitejs/vite/commit/92ca12dc79118bf66f2b32ff81ed09e0d0bd07ca | https://github.com/vitejs/vite/commit/f234b5744d8b74c95535a7b82cc88ed2144263c1,,https://github.com/vitejs/vite/commit/315695e9d97cc6cfa7e6d9e0229fb50cdae3d9f4 | https://github.com/vitejs/vite/commit/80381c38d6f068b12e6e928cd3c616bd1d64803c | https://github.com/vitejs/vite/commit/807d7f06d33ab49c48a2a3501da3eea1906c0d41 | https://github.com/vitejs/vite/commit/92ca12dc79118bf66f2b32ff81ed09e0d0bd07ca | https://github.com/vitejs/vite/commit/f234b5744d8b74c95535a7b82cc88ed2144263c1,,,0c3125833033fec4356ab4e90e806e02e8644c40 | 814120f2ad387ca3d1e16c7dd403b04ca4b97f75 | 051370a332df99d107365ed6beab418ef017eff6 | d8461b5b4f2884105bab2175b86af4aac521cb5c,86e7a6b8e40cd2fd545744b82b2bc805ced92847 | 9b0f4c80eea8b136d262c705234353e96abfbe75 | 9d981f9d380e974f8435ab604ce4dc68496f0733 | 0044d54c6d773cb1a8a687b129c6c776180854ae | 16869d7c9917eb58d9a0101e30064ab65e64fa91,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,3.1
